Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
760560,2025-11-01,20:00,HANNUT BC,RBC HANEFFE B (+ 5),CPE PROV DAMES,
774105,2025-11-02,12:00,RBC HANEFFE,MAIL. COMBLAIN,CPE PROV PUPILLES DD,
414074,2025-10-19,12:00,RBC HANEFFE B,PRAYON TROOZ B,DD - DIVISION 2 A,
414052,2025-10-26,11:00,BC SPRIMONT B,RBC HANEFFE B,DD - DIVISION 2 A,
414114,2025-11-16,12:00,RBC HANEFFE B,LA VILLERSOISE A,DD - DIVISION 2 A,
414123,2025-11-23,17:00,ROYALE US AWANS,RBC HANEFFE B,DD - DIVISION 2 A,
414134,2025-11-30,12:00,RBC HANEFFE B,RBC STAVELOT,DD - DIVISION 2 A,
414147,2025-12-07,13:00,COLLEGE S LOUIS,RBC HANEFFE B,DD - DIVISION 2 A,
414154,2025-12-14,16:00,RBC HANEFFE B,RBC DISON-ANDRIMONT A,DD - DIVISION 2 A,
414167,2025-12-19,21:00,RBC BLEGNY B,RBC HANEFFE B,DD - DIVISION 2 A,
414185,2026-01-03,21:00,PRAYON TROOZ B,RBC HANEFFE B,DD - DIVISION 2 A,
414196,2026-01-10,19:00,ATLAS A JUPILLE,RBC HANEFFE B,DD - DIVISION 2 A,
414204,2026-01-18,12:00,RBC HANEFFE B,ABC WAREMME A,DD - DIVISION 2 A,
414211,2026-01-25,15:00,ALL. FLEMALLE A,RBC HANEFFE B,DD - DIVISION 2 A,
414224,2026-02-01,11:00,RBC HANEFFE B,BC SPRIMONT B,DD - DIVISION 2 A,
414261,2026-03-01,17:00,LA VILLERSOISE A,RBC HANEFFE B,DD - DIVISION 2 A,
414274,2026-03-08,12:00,RBC HANEFFE B,ROYAL BC NINANE A,DD - DIVISION 2 A,
414294,2026-03-22,12:00,RBC HANEFFE B,COLLEGE S LOUIS,DD - DIVISION 2 A,
414302,2026-03-28,17:00,RBC STAVELOT,RBC HANEFFE B,DD - DIVISION 2 A,
414314,2026-04-05,14:00,RBC HANEFFE B,ROYALE US AWANS,DD - DIVISION 2 A,
414324,2026-04-12,13:00,RBC DISON-ANDRIMONT A,RBC HANEFFE B,DD - DIVISION 2 A,
414334,2026-04-19,12:00,RBC HANEFFE B,RBC BLEGNY B,DD - DIVISION 2 A,
415074,2025-10-19,16:00,RBC HANEFFE C,CRISTAL SGH A,DD - DIVISION 2 B,
415106,2025-11-08,19:00,ROYAL BC NINANE B,RBC HANEFFE C,DD - DIVISION 2 B,
415114,2025-11-16,14:00,RBC HANEFFE C,R.UN.BELLAIRE B,DD - DIVISION 2 B,
415123,2025-11-22,21:00,VAIL. JUPILLE,RBC HANEFFE C,DD - DIVISION 2 B,
415134,2025-11-30,16:00,RBC HANEFFE C,PEPINSTER EAST BELG C,DD - DIVISION 2 B,
415147,2025-12-07,9:00,RBC ALLEUR D,RBC HANEFFE C,DD - DIVISION 2 B,
415154,2025-12-14,12:00,RBC HANEFFE C,R 4A AYWAILLE-HAMOIR A,DD - DIVISION 2 B,
415167,2025-12-20,19:00,ABC WAREMME B,RBC HANEFFE C,DD - DIVISION 2 B,
415185,2026-01-03,19:00,CRISTAL SGH A,RBC HANEFFE C,DD - DIVISION 2 B,
415024,2026-01-11,12:00,RBC HANEFFE C,HENRI-CHAPELLE B,DD - DIVISION 2 B,
415204,2026-01-18,16:00,RBC HANEFFE C,BC VERLAINE A,DD - DIVISION 2 B,
415211,2026-01-24,21:00,RBC VISE A,RBC HANEFFE C,DD - DIVISION 2 B,
415224,2026-02-01,15:00,RBC HANEFFE C,AVENIR JUPILLE B,DD - DIVISION 2 B,
415243,2026-02-15,13:00,ROYAL ANS BC,RBC HANEFFE C,DD - DIVISION 2 B,
415261,2026-03-01,11:00,R.UN.BELLAIRE B,RBC HANEFFE C,DD - DIVISION 2 B,
415274,2026-03-08,10:00,RBC HANEFFE C,ROYAL BC NINANE B,DD - DIVISION 2 B,
415294,2026-03-22,16:00,RBC HANEFFE C,RBC ALLEUR D,DD - DIVISION 2 B,
415302,2026-03-29,15:00,PEPINSTER EAST BELG C,RBC HANEFFE C,DD - DIVISION 2 B,
415314,2026-04-05,12:00,RBC HANEFFE C,VAIL. JUPILLE,DD - DIVISION 2 B,
415324,2026-04-11,19:00,R 4A AYWAILLE-HAMOIR A,RBC HANEFFE C,DD - DIVISION 2 B,
415334,2026-04-19,16:00,RBC HANEFFE C,ABC WAREMME B,DD - DIVISION 2 B,
417074,2025-10-19,14:00,RBC HANEFFE D,REBOND NEUVILLE,DD - DIVISION 3 B,
417134,2025-11-30,14:00,RBC HANEFFE D,ROYAL BASKET OTHEE,DD - DIVISION 3 B,
417167,2025-12-06,21:00,ORP JAUCHE,RBC HANEFFE D,DD - DIVISION 3 B,
417154,2025-12-14,14:00,RBC HANEFFE D,GIANTS BRAIVES,DD - DIVISION 3 B,
417185,2026-01-04,11:00,REBOND NEUVILLE,RBC HANEFFE D,DD - DIVISION 3 B,
417196,2026-01-10,19:00,R HT-PRE OUGREE B,RBC HANEFFE D,DD - DIVISION 3 B,
417204,2026-01-17,17:00,RBC HANEFFE D,BC VERLAINE B,DD - DIVISION 3 B,
417211,2026-01-25,13:00,ALL. FLEMALLE B,RBC HANEFFE D,DD - DIVISION 3 B,
417224,2026-02-01,13:00,RBC HANEFFE D,UN HUY BASKET C,DD - DIVISION 3 B,
417243,2026-03-07,19:00,RBC AWANS,RBC HANEFFE D,DD - DIVISION 3 B,
417302,2026-03-29,11:45,ROYAL BASKET OTHEE,RBC HANEFFE D,DD - DIVISION 3 B,
417324,2026-04-11,17:00,GIANTS BRAIVES,RBC HANEFFE D,DD - DIVISION 3 B,
417334,2026-04-19,14:00,RBC HANEFFE D,ORP JAUCHE,DD - DIVISION 3 B,
AW106039,2025-10-18,19:00,RBC HANEFFE A,BC COINTE A,DD - REGIONALE 2 B,
AW106062,2025-11-09,17:00,MONS CAPITALE,RBC HANEFFE A,DD - REGIONALE 2 B,
