Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
AW245061,2026-01-31,10:00,BC BELLEFLAMME,COLLEGE S LOUIS,COUPE AWBB U12 -GARCONS,(Salle Waremme)
413196,2026-02-08,11:00,HENRI-CHAPELLE,BC BELLEFLAMME B,DD - DIVISION 1,
413243,2026-02-14,18:00,R.UN.BELLAIRE A,BC BELLEFLAMME B,DD - DIVISION 1,
413261,2026-02-28,17:00,ROYAL SPA BC A,BC BELLEFLAMME B,DD - DIVISION 1,
413274,2026-03-07,19:00,BC BELLEFLAMME B,R HT-PRE OUGREE A,DD - DIVISION 1,
413224,2026-03-15,17:00,BC BELLEFLAMME B,BC SPRIMONT A,DD - DIVISION 1,
413294,2026-03-22,17:00,BC BELLEFLAMME B,HANNUT BC,DD - DIVISION 1,
413302,2026-03-28,17:00,PEPINSTER EAST BELG B,BC BELLEFLAMME B,DD - DIVISION 1,
413314,2026-04-05,17:00,BC BELLEFLAMME B,RABC ENSIVAL A,DD - DIVISION 1,
413324,2026-04-12,10:00,RBC ESNEUX B,BC BELLEFLAMME B,DD - DIVISION 1,
413334,2026-04-19,17:00,BC BELLEFLAMME B,RBC BLEGNY A,DD - DIVISION 1,
AW105110,2026-01-25,17:00,BC BELLEFLAMME A,RBC ALLEUR A,DD - REGIONALE 2 A,
AW105113,2026-01-31,20:30,LIEGE PANTHERS C,BC BELLEFLAMME A,DD - REGIONALE 2 A,
AW105124,2026-02-07,19:00,BC BELLEFLAMME A,BBC LIBRAMONT,DD - REGIONALE 2 A,
AW105130,2026-02-13,21:00,RBC ESNEUX A,BC BELLEFLAMME A,DD - REGIONALE 2 A,
AW105173,2026-02-20,21:00,BC BELLEFLAMME A,REBOND OTTIGNIES,DD - REGIONALE 2 A,
AW105145,2026-03-01,17:00,BC BELLEFLAMME A,BC CENTRE GAUME,DD - REGIONALE 2 A,
AW105154,2026-03-08,17:00,BC BONINNE,BC BELLEFLAMME A,DD - REGIONALE 2 A,
AW105138,2026-03-21,19:00,BC BELLEFLAMME A,RB ALLIANCE ARLON,DD - REGIONALE 2 A,
AW105061,2026-03-29,17:00,BC BELLEFLAMME A,BC BONINNE,DD - REGIONALE 2 A,
AW105176,2026-04-18,19:00,PROFONDEVILLE SHARKS,BC BELLEFLAMME A,DD - REGIONALE 2 A,
AW105166,2026-04-25,19:00,CEP FLEURUS,BC BELLEFLAMME A,DD - REGIONALE 2 A,
401213,2026-01-23,21:00,BC BELLEFLAMME B,RABC ENSIVAL A,MM - DIVISION 1,
401244,2026-02-27,20:00,BC COINTE B,BC BELLEFLAMME B,MM - DIVISION 1,
401271,2026-03-08,13:00,HARIMALIA BC A,BC BELLEFLAMME B,MM - DIVISION 1,
401263,2026-03-14,21:00,BC BELLEFLAMME B,THEUX BC A,MM - DIVISION 1,
401295,2026-03-21,18:30,RB UNION LIEGE A,BC BELLEFLAMME B,MM - DIVISION 1,
401303,2026-03-29,15:00,BC BELLEFLAMME B,ETOILE JUPILLE A,MM - DIVISION 1,
401314,2026-04-04,21:00,RBC HANEFFE A,BC BELLEFLAMME B,MM - DIVISION 1,
401223,2026-04-07,21:00,BC BELLEFLAMME B,MAIL. COMBLAIN B,MM - DIVISION 1,
401323,2026-04-10,21:00,BC BELLEFLAMME B,CRISTAL SGH A,MM - DIVISION 1,
401336,2026-04-17,19:00,ESL UNITED C,BC BELLEFLAMME B,MM - DIVISION 1,
402211,2026-01-25,17:00,HARIMALIA BC C,BC BELLEFLAMME C,MM - DIVISION 2 A,
402224,2026-01-31,21:00,BC BELLEFLAMME C,BC SPRIMONT C,MM - DIVISION 2 A,
402243,2026-02-14,21:00,RBC AWANS A,BC BELLEFLAMME C,MM - DIVISION 2 A,
402261,2026-02-28,17:00,ABC WAREMME B,BC BELLEFLAMME C,MM - DIVISION 2 A,
402274,2026-03-07,21:00,BC BELLEFLAMME C,ESL UNITED E,MM - DIVISION 2 A,
402185,2026-03-15,13:00,FLERON BBC A,BC BELLEFLAMME C,MM - DIVISION 2 A,
402294,2026-03-20,21:00,BC BELLEFLAMME C,RBC VISE A,MM - DIVISION 2 A,
402302,2026-03-28,19:00,RBC STAVELOT A,BC BELLEFLAMME C,MM - DIVISION 2 A,
402314,2026-04-05,15:00,BC BELLEFLAMME C,ROYAL SPA BC C,MM - DIVISION 2 A,
402324,2026-04-11,17:30,BC VERVIERS B,BC BELLEFLAMME C,MM - DIVISION 2 A,
402334,2026-04-19,11:00,BC BELLEFLAMME C,RBC ALLEUR C,MM - DIVISION 2 A,
404214,2026-01-25,13:00,BC BELLEFLAMME E,ALL. FLEMALLE B,MM - DIVISION 3 A,
404222,2026-01-31,19:00,ROYAL HERVE-BATTICE B,BC BELLEFLAMME E,MM - DIVISION 3 A,
404244,2026-02-15,13:00,BC BELLEFLAMME E,ROYALE US AWANS A,MM - DIVISION 3 A,
