Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
403217,2026-01-25,13:00,RBC ALLEUR B,ROYAL MOSA AC 1941 A,MM - DIVISION 2 B,
403225,2026-02-01,11:30,ROYAL MOSA AC 1941 A,HARIMALIA BC B,MM - DIVISION 2 B,
403242,2026-02-15,11:00,ROYAL HERVE-BATTICE A,ROYAL MOSA AC 1941 A,MM - DIVISION 2 B,
403205,2026-02-22,11:30,ROYAL MOSA AC 1941 A,BC VERVIERS C,MM - DIVISION 2 B,
403266,2026-02-28,21:00,RBC DISON-ANDRIMONT A,ROYAL MOSA AC 1941 A,MM - DIVISION 2 B,
403275,2026-03-08,11:30,ROYAL MOSA AC 1941 A,PEPINSTER EAST BELG C,MM - DIVISION 2 B,
403293,2026-03-13,20:15,R.UN.BELLAIRE A,ROYAL MOSA AC 1941 A,MM - DIVISION 2 B,
403307,2026-03-29,11:00,RBC VISE B,ROYAL MOSA AC 1941 A,MM - DIVISION 2 B,
403315,2026-04-05,11:30,ROYAL MOSA AC 1941 A,RB TILFF B,MM - DIVISION 2 B,
403323,2026-04-12,10:00,VAIL. JUPILLE A,ROYAL MOSA AC 1941 A,MM - DIVISION 2 B,
403335,2026-04-19,11:30,ROYAL MOSA AC 1941 A,ROYAL SPA BC B,MM - DIVISION 2 B,
407217,2026-01-24,18:30,RBC ALLEUR D,ROYAL MOSA AC 1941 B,MM - DIVISION 4 A,
407225,2026-02-01,13:30,ROYAL MOSA AC 1941 B,RBC VISE D,MM - DIVISION 4 A,
407194,2026-02-07,21:00,RBC DISON-ANDRIMONT D,ROYAL MOSA AC 1941 B,MM - DIVISION 4 A,
407242,2026-02-14,21:00,THEUX BC C,ROYAL MOSA AC 1941 B,MM - DIVISION 4 A,
407266,2026-03-01,15:00,ROYAL BC NINANE D,ROYAL MOSA AC 1941 B,MM - DIVISION 4 A,
407275,2026-03-08,13:30,ROYAL MOSA AC 1941 B,RSW LIEGE BASKET C,MM - DIVISION 4 A,
407293,2026-03-20,19:00,ETOILE JUPILLE B,ROYAL MOSA AC 1941 B,MM - DIVISION 4 A,
407307,2026-03-28,21:00,ORP JAUCHE A,ROYAL MOSA AC 1941 B,MM - DIVISION 4 A,
407315,2026-04-05,13:30,ROYAL MOSA AC 1941 B,BC VERLAINE,MM - DIVISION 4 A,
407323,2026-04-11,17:00,VAIL. JUPILLE C,ROYAL MOSA AC 1941 B,MM - DIVISION 4 A,
407335,2026-04-19,13:30,ROYAL MOSA AC 1941 B,LA VILLERSOISE C,MM - DIVISION 4 A,
530216,2026-01-25,9:00,ROYAL BC WANZE B,ROYAL MOSA AC 1941,U 10 - MM K,
