Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
1027,2023-11-05,11:00,RBC ALLEUR A,BC BELLEFLAMME B,COUPE AWBB MINIMES DD,
1120,2023-11-04,15:00,BC BELLEFLAMME,LADIES CHARLEROI,COUPE AWBB PUPILLES DD,
760222,2023-11-03,20:30,RBC ALLEUR E (+ 5),BC BELLEFLAMME C,CPE PROV MESSIEURS,
760217,2023-11-04,21:00,AVENIR JUPILLE A,BC BELLEFLAMME E (+ 5),CPE PROV MESSIEURS,
764140,2023-11-05,15:00,RBC ALLEUR B,BC BELLEFLAMME,CPE PROV U 14 MM,
763132,2023-11-04,11:00,BC BELLEFLAMME A,ACSA MOSA ANGL.,CPE PROV U 16 MM,
762127,2023-11-05,13:00,BC BELLEFLAMME,BC NINANE,CPE PROV U 18,
772110,2023-11-05,15:00,BC BELLEFLAMME,BC NINANE,CPE PROV U 19,
413074,2023-10-15,13:00,US AWANS,BC BELLEFLAMME B,DD - DIVISION 1,
413085,2023-10-21,21:00,BC BELLEFLAMME B,HERVE-BATTICE B,DD - DIVISION 1,
413112,2023-11-12,15:00,RABC ENSIVAL,BC BELLEFLAMME B,DD - DIVISION 1,
413125,2023-11-18,19:00,BC BELLEFLAMME B,RBC HANEFFE B,DD - DIVISION 1,
413135,2023-11-26,13:00,RBC AUBEL,BC BELLEFLAMME B,DD - DIVISION 1,
413145,2023-12-02,21:00,BC BELLEFLAMME B,R.UN.BELLAIRE A,DD - DIVISION 1,
413155,2023-12-09,21:00,BC BELLEFLAMME B,PEPINSTER EAST BELG B,DD - DIVISION 1,
413161,2023-12-16,18:45,RBC ALLEUR C,BC BELLEFLAMME B,DD - DIVISION 1,
413192,2024-01-06,17:00,BC COINTE A,BC BELLEFLAMME B,DD - DIVISION 1,
413203,2024-01-14,17:00,R.UN.BELLAIRE A,BC BELLEFLAMME B,DD - DIVISION 1,
413215,2024-01-21,17:00,BC BELLEFLAMME B,RBC ALLEUR C,DD - DIVISION 1,
413235,2024-02-03,21:00,BC BELLEFLAMME B,R HT-PRE OUGREE A,DD - DIVISION 1,
413244,2024-02-10,17:00,ROYAL SPA BC A,BC BELLEFLAMME B,DD - DIVISION 1,
413257,2024-02-16,19:00,RBC BLEGNY A,BC BELLEFLAMME B,DD - DIVISION 1,
413265,2024-02-24,19:00,BC BELLEFLAMME B,COLLEGE S LOUIS,DD - DIVISION 1,
413285,2024-03-10,17:00,BC BELLEFLAMME B,US AWANS,DD - DIVISION 1,
413295,2024-03-16,19:00,BC BELLEFLAMME B,RABC ENSIVAL,DD - DIVISION 1,
