Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
772107,2025-02-02,14:45,ROYAL BC NINANE,RBC VISE,CPE PROV CADETTES,(Salle d'Oupeye)
415222,2025-01-24,21:00,RBC BLEGNY B,ROYAL BC NINANE A,DD - DIVISION 2 B,
415244,2025-02-09,17:00,ROYAL BC NINANE A,RBC DISON-ANDRIMONT A,DD - DIVISION 2 B,
415256,2025-02-15,19:00,RBC VISE,ROYAL BC NINANE A,DD - DIVISION 2 B,
415264,2025-02-23,17:00,ROYAL BC NINANE A,BC BELLEFLAMME C,DD - DIVISION 2 B,
415284,2025-03-16,17:00,ROYAL BC NINANE A,LA VILLERSOISE A,DD - DIVISION 2 B,
415302,2025-03-23,15:00,ROYAL ANS BC,ROYAL BC NINANE A,DD - DIVISION 2 B,
415313,2025-03-30,10:00,RBC HANEFFE C,ROYAL BC NINANE A,DD - DIVISION 2 B,
415324,2025-04-06,17:00,ROYAL BC NINANE A,AVENIR JUPILLE B,DD - DIVISION 2 B,
415337,2025-04-13,17:00,PEPINSTER EAST BELG C,ROYAL BC NINANE A,DD - DIVISION 2 B,
415344,2025-04-20,17:00,ROYAL BC NINANE A,BC VERLAINE,DD - DIVISION 2 B,
418222,2025-01-25,20:00,ABC WAREMME C,ROYAL BC NINANE B,DD - DIVISION 3 C,
418214,2025-02-12,19:00,ROYAL BC NINANE B,BC SPRIMONT C,DD - DIVISION 3 C,
418264,2025-02-22,19:00,ROYAL BC NINANE B,RBC AWANS B,DD - DIVISION 3 C,
418302,2025-03-23,13:00,RBC HANEFFE D,ROYAL BC NINANE B,DD - DIVISION 3 C,
418313,2025-03-29,19:00,R HT-PRE OUGREE B,ROYAL BC NINANE B,DD - DIVISION 3 C,
418337,2025-04-13,17:00,ROYAL HERVE-BATTICE C,ROYAL BC NINANE B,DD - DIVISION 3 C,
418344,2025-04-20,13:00,ROYAL BC NINANE B,CS OUTREMEUSE,DD - DIVISION 3 C,
404224,2025-01-25,17:00,ROYAL BC NINANE C,ROYAL ANS BC A,MM - DIVISION 3 A,
404245,2025-02-09,17:00,RBC VISE C,ROYAL BC NINANE C,MM - DIVISION 3 A,
404254,2025-02-15,17:00,ROYAL BC NINANE C,BC REVEIL A,MM - DIVISION 3 A,
404266,2025-02-22,18:00,R.UN.BELLAIRE B,ROYAL BC NINANE C,MM - DIVISION 3 A,
404281,2025-03-08,19:00,RB TILFF C,ROYAL BC NINANE C,MM - DIVISION 3 A,
404304,2025-03-22,19:00,ROYAL BC NINANE C,LA VILLERSOISE C,MM - DIVISION 3 A,
404314,2025-03-29,17:00,ROYAL BC NINANE C,RBC HANEFFE B,MM - DIVISION 3 A,
404324,2025-04-05,17:00,BC VERVIERS C,ROYAL BC NINANE C,MM - DIVISION 3 A,
404334,2025-04-13,15:00,ROYAL BC NINANE C,ROYAL HERVE-BATTICE B,MM - DIVISION 3 A,
404342,2025-04-19,19:00,R 4A AYWAILLE-HAMOIR B,ROYAL BC NINANE C,MM - DIVISION 3 A,(Hall d'Hamoir)
410222,2025-01-26,15:30,BC TORES LIEGE,ROYAL BC NINANE E,MM - DIVISION 4 D,
410206,2025-02-02,10:00,FLERON BBC B,ROYAL BC NINANE E,MM - DIVISION 4 D,
410256,2025-02-16,17:00,ALL. FLEMALLE D,ROYAL BC NINANE E,MM - DIVISION 4 D,
410264,2025-02-23,15:00,ROYAL BC NINANE E,REBOND NEUVILLE,MM - DIVISION 4 D,
410284,2025-03-16,15:00,ROYAL BC NINANE E,BC VERLAINE B,MM - DIVISION 4 D,
410302,2025-03-23,17:00,ROYAL ANS BC B,ROYAL BC NINANE E,MM - DIVISION 4 D,
410313,2025-03-29,19:00,DF BC MALMEDY,ROYAL BC NINANE E,MM - DIVISION 4 D,
410324,2025-04-06,15:00,ROYAL BC NINANE E,UN HUY BASKET C,MM - DIVISION 4 D,
410337,2025-04-11,20:30,RBC ALLEUR E,ROYAL BC NINANE E,MM - DIVISION 4 D,
410344,2025-04-20,15:00,ROYAL BC NINANE E,GRACE-HOLLOGNE C,MM - DIVISION 4 D,
411224,2025-01-26,11:00,ROYAL BC NINANE D,HENRI-CHAPELLE C,MM - DIVISION 4 E,
411245,2025-02-08,21:00,RBC AWANS C,ROYAL BC NINANE D,MM - DIVISION 4 E,
