Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
760230,2023-12-07,20:00,DISON-ANDRIMONT A,LA SPECIALE (+ 10),CPE PROV MESSIEURS,
414162,2023-12-17,17:00,ROYAL BC NINANE A,DISON-ANDRIMONT A,DD - DIVISION 2 A,
414206,2024-01-14,14:00,RBC ESNEUX B,DISON-ANDRIMONT A,DD - DIVISION 2 A,
414212,2024-01-20,19:00,DISON-ANDRIMONT A,ROYAL BC NINANE A,DD - DIVISION 2 A,
414287,2024-01-28,11:00,HENRI-CHAPELLE A,DISON-ANDRIMONT A,DD - DIVISION 2 A,
414232,2024-02-03,19:00,DISON-ANDRIMONT A,RBC BLEGNY B,DD - DIVISION 2 A,
414241,2024-02-11,9:00,BC SPRIMONT B,DISON-ANDRIMONT A,DD - DIVISION 2 A,
414252,2024-02-17,19:00,DISON-ANDRIMONT A,ATLAS A JUPILLE B,DD - DIVISION 2 A,
414264,2024-02-24,19:00,AVENIR JUPILLE A,DISON-ANDRIMONT A,DD - DIVISION 2 A,
414292,2024-03-16,19:00,DISON-ANDRIMONT A,ROYAL SPA BC B,DD - DIVISION 2 A,
414322,2024-04-06,19:00,DISON-ANDRIMONT A,BC VERLAINE A,DD - DIVISION 2 A,
414192,2024-04-14,15:00,DISON-ANDRIMONT A,ALL. FLEMALLE A,DD - DIVISION 2 A,
414352,2024-04-27,19:00,DISON-ANDRIMONT A,CRISTAL SERAING A,DD - DIVISION 2 A,
416154,2023-12-10,11:00,ETOILE JUPILLE,DISON-ANDRIMONT B,DD - DIVISION 3 A,
416195,2024-01-06,19:00,ALL. FLEMALLE C,DISON-ANDRIMONT B,DD - DIVISION 3 A,
416212,2024-01-21,15:00,ROYAL BC NINANE B,DISON-ANDRIMONT B,DD - DIVISION 3 A,
416262,2024-01-27,21:00,DISON-ANDRIMONT B,RBC AWANS,DD - DIVISION 3 A,
416237,2024-02-03,18:00,ABC WAREMME B,DISON-ANDRIMONT B,DD - DIVISION 3 A,
416242,2024-02-10,21:00,DISON-ANDRIMONT B,RBC HANEFFE D,DD - DIVISION 3 A,
416253,2024-02-18,11:00,RBC ALLEUR D,DISON-ANDRIMONT B,DD - DIVISION 3 A,
416282,2024-03-09,19:00,DISON-ANDRIMONT B,ROYAL SPA BC C,DD - DIVISION 3 A,
416295,2024-03-17,13:00,RBC WELKENRAEDT,DISON-ANDRIMONT B,DD - DIVISION 3 A,
416302,2024-03-23,21:00,DISON-ANDRIMONT B,RBC STAVELOT,DD - DIVISION 3 A,
416321,2024-04-07,11:00,REBOND NEUVILLE,DISON-ANDRIMONT B,DD - DIVISION 3 A,
416342,2024-04-21,17:00,DISON-ANDRIMONT B,ETOILE JUPILLE,DD - DIVISION 3 A,
416357,2024-04-27,21:00,RBC BLEGNY C,DISON-ANDRIMONT B,DD - DIVISION 3 A,
401154,2023-12-10,13:00,ETOILE JUPILLE A,DISON-ANDRIMONT A,MM - DIVISION 1,
401195,2024-01-07,17:00,ROYAL BC WANZE A,DISON-ANDRIMONT A,MM - DIVISION 1,
401212,2024-01-19,20:15,R.UN.BELLAIRE A,DISON-ANDRIMONT A,MM - DIVISION 1,
401262,2024-01-27,19:00,DISON-ANDRIMONT A,HANNUT BC A,MM - DIVISION 1,
401237,2024-02-03,17:00,RSW LIEGE BASKET C,DISON-ANDRIMONT A,MM - DIVISION 1,
401242,2024-02-10,19:00,DISON-ANDRIMONT A,RB TILFF A,MM - DIVISION 1,
401253,2024-02-17,18:45,RBC ALLEUR B,DISON-ANDRIMONT A,MM - DIVISION 1,
401282,2024-03-09,19:00,GRACE-HOLLOGNE A,DISON-ANDRIMONT A,MM - DIVISION 1,
401295,2024-03-17,17:00,UN HUY BASKET A,DISON-ANDRIMONT A,MM - DIVISION 1,
