Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
415267,2026-03-01,15:00,RBC ALLEUR D,RBC VISE A,DD - DIVISION 2 B,
415271,2026-03-07,21:00,RBC VISE A,VAIL. JUPILLE,DD - DIVISION 2 B,
415311,2026-03-14,19:00,RBC VISE A,HENRI-CHAPELLE B,DD - DIVISION 2 B,
415291,2026-03-21,21:00,RBC VISE A,PEPINSTER EAST BELG C,DD - DIVISION 2 B,
415304,2026-03-27,20:30,R 4A AYWAILLE-HAMOIR A,RBC VISE A,DD - DIVISION 2 B,
415327,2026-04-11,19:00,ABC WAREMME B,RBC VISE A,DD - DIVISION 2 B,
415331,2026-04-18,21:00,RBC VISE A,BC VERLAINE A,DD - DIVISION 2 B,(Salle de Fourons)
418297,2026-03-21,19:00,RBC VISE B,ROYAL SPA BC B,DD - DIVISION 3 C,
418306,2026-03-29,12:00,MAIL. COMBLAIN,RBC VISE B,DD - DIVISION 3 C,
418327,2026-04-11,19:00,RBC VISE B,RBC WELKENRAEDT,DD - DIVISION 3 C,
418167,2026-04-18,19:00,RBC VISE B,PRAYON TROOZ C,DD - DIVISION 3 C,(Salle de Fourons)
402337,2026-02-21,19:00,RBC VISE A,BC VERVIERS B,MM - DIVISION 2 A,
402267,2026-02-28,21:00,RBC VISE A,HARIMALIA BC C,MM - DIVISION 2 A,
402276,2026-03-08,15:00,ROYAL BC WANZE B,RBC VISE A,MM - DIVISION 2 A,
402294,2026-03-20,21:00,BC BELLEFLAMME C,RBC VISE A,MM - DIVISION 2 A,
402307,2026-03-28,19:00,RBC VISE A,FLERON BBC A,MM - DIVISION 2 A,
402316,2026-04-04,19:00,ESL UNITED E,RBC VISE A,MM - DIVISION 2 A,
402321,2026-04-11,17:00,ABC WAREMME B,RBC VISE A,MM - DIVISION 2 A,
403267,2026-02-28,19:00,RBC VISE B,HARIMALIA BC B,MM - DIVISION 2 B,
403276,2026-03-08,11:00,BC VERVIERS C,RBC VISE B,MM - DIVISION 2 B,
403337,2026-03-14,17:00,RBC VISE B,ESL UNITED D,MM - DIVISION 2 B,
403294,2026-03-21,17:00,PRAYON TROOZ A,RBC VISE B,MM - DIVISION 2 B,
403307,2026-03-29,11:00,RBC VISE B,ROYAL MOSA AC 1941 A,MM - DIVISION 2 B,
403316,2026-04-04,21:00,RBC DISON-ANDRIMONT A,RBC VISE B,MM - DIVISION 2 B,
403321,2026-04-11,19:00,ROYAL SPA BC B,RBC VISE B,MM - DIVISION 2 B,
406261,2026-02-28,17:00,RBC VISE C,BC SANKT VITH,MM - DIVISION 3 C,
406273,2026-03-08,17:00,UN HUY BASKET A,RBC VISE C,MM - DIVISION 3 C,
406192,2026-03-13,21:00,RBC STAVELOT B,RBC VISE C,MM - DIVISION 3 C,
406297,2026-03-22,11:00,ESL UNITED F,RBC VISE C,MM - DIVISION 3 C,
406301,2026-03-28,21:00,RBC VISE C,BBC EUPEN,MM - DIVISION 3 C,
406312,2026-04-05,11:00,THEUX BC B,RBC VISE C,MM - DIVISION 3 C,
406321,2026-04-11,17:00,RBC VISE C,RBC BLEGNY A,MM - DIVISION 3 C,
406335,2026-04-18,21:00,R 4A AYWAILLE-HAMOIR B,RBC VISE C,MM - DIVISION 3 C,
407267,2026-02-28,17:00,ORP JAUCHE A,RBC VISE D,MM - DIVISION 4 A,
407271,2026-03-07,19:00,RBC VISE D,VAIL. JUPILLE C,MM - DIVISION 4 A,
