Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
AW210013,2025-08-30,21:00,ANDENNE BASKET,BC COINTE,AW210013,
AW233005,2025-08-30,17:00,BC COINTE,UN HUY BASKET B,AW233005,
AW233005,2025-08-30,17:00,BC COINTE,UN HUY BASKET B,AWBB DD - POULE M,AW233005
AW210013,2025-08-30,21:00,ANDENNE BASKET,BC COINTE,AWBB MM - POULE J,AW210013
AW77,2025-08-31,14:00,BC COINTE (+ 5),ANTWERP GIANTS,BELGIQUE MM - POULE E,BNAHSEPEDA
AW77,2025-08-31,14:00,BC COINTE (+ 5),ANTWERP GIANTS,BNAHSEPEDA,
762103,2025-08-30,13:00,BC COINTE,RBC VISE A,CPE PROV CADETS,
760074,2025-08-31,16:00,BC COINTE A,RBC STAVELOT A (+ 5),CPE PROV MESSIEURS,
763101,2025-08-30,15:00,BC COINTE,ROYAL BC NINANE,CPE PROV MINIMES MM,
764107,2025-08-30,10:30,HENRI-CHAPELLE,BC COINTE,CPE PROV PUPILLES MM,
AW106013,2025-09-07,15:00,T.E.F. KAIN,BC COINTE A,DD - REGIONALE 2 B,
AW106005,2025-09-13,17:00,BC COINTE A,HERVE-BATTICE B,DD - REGIONALE 2 B,
AW106019,2025-09-21,15:00,BC COINTE A,RBC ALLEUR B,DD - REGIONALE 2 B,
AW106054,2025-09-27,17:00,BC COINTE A,MONS CAPITALE,DD - REGIONALE 2 B,
AW106022,2025-10-05,11:00,LADIES CHARLEROI,BC COINTE A,DD - REGIONALE 2 B,
AW106033,2025-10-11,17:00,BC COINTE A,PEPINSTER EAST BELG A,DD - REGIONALE 2 B,
AW106039,2025-10-18,19:00,RBC HANEFFE A,BC COINTE A,DD - REGIONALE 2 B,
AW106058,2025-11-09,15:00,NAMUR CAPITALE,BC COINTE A,DD - REGIONALE 2 B,
AW106075,2025-11-22,18:15,ROYAL BC CINEY,BC COINTE A,DD - REGIONALE 2 B,
AW106068,2025-11-29,17:00,BC COINTE A,RCS NATOYE,DD - REGIONALE 2 B,
AW106047,2025-12-06,17:00,BC COINTE A,REBOND OTTIGNIES,DD - REGIONALE 2 B,
AW106082,2025-12-13,17:00,BC COINTE A,UN HUY BASKET B,DD - REGIONALE 2 B,
AW106085,2025-12-21,13:00,CANTER SCHAERBEEK,BC COINTE A,DD - REGIONALE 2 B,
AW106095,2026-01-11,15:00,HERVE-BATTICE B,BC COINTE A,DD - REGIONALE 2 B,
AW106103,2026-01-17,19:00,BC COINTE A,T.E.F. KAIN,DD - REGIONALE 2 B,
AW106112,2026-01-23,20:30,RBC ALLEUR B,BC COINTE A,DD - REGIONALE 2 B,
AW106117,2026-01-31,17:00,BC COINTE A,LADIES CHARLEROI,DD - REGIONALE 2 B,
AW106121,2026-02-07,19:00,PEPINSTER EAST BELG A,BC COINTE A,DD - REGIONALE 2 B,
AW106131,2026-02-20,20:30,BC COINTE A,RBC HANEFFE A,DD - REGIONALE 2 B,
AW106146,2026-02-28,17:00,MONS CAPITALE,BC COINTE A,DD - REGIONALE 2 B,
AW106152,2026-03-07,17:00,BC COINTE A,NAMUR CAPITALE,DD - REGIONALE 2 B,
AW106161,2026-03-15,12:00,RCS NATOYE,BC COINTE A,DD - REGIONALE 2 B,
AW106136,2026-03-22,15:00,REBOND OTTIGNIES,BC COINTE A,DD - REGIONALE 2 B,
AW106171,2026-04-11,20:00,UN HUY BASKET B,BC COINTE A,DD - REGIONALE 2 B,
AW106180,2026-04-18,17:00,BC COINTE A,CANTER SCHAERBEEK,DD - REGIONALE 2 B,
AW106166,2026-04-25,17:00,BC COINTE A,ROYAL BC CINEY,DD - REGIONALE 2 B,
401014,2025-09-07,15:00,BC COINTE B,ESL UNITED C,MM - DIVISION 1,
401025,2025-09-14,15:00,CRISTAL SGH A,BC COINTE B,MM - DIVISION 1,
401031,2025-09-20,19:00,ALL. FLEMALLE A,BC COINTE B,MM - DIVISION 1,
401054,2025-10-04,21:00,BC COINTE B,RABC ENSIVAL A,MM - DIVISION 1,
401063,2025-10-10,21:00,BC BELLEFLAMME B,BC COINTE B,MM - DIVISION 1,
401075,2025-10-18,18:30,RB UNION LIEGE A,BC COINTE B,MM - DIVISION 1,
401104,2025-10-25,21:00,BC COINTE B,THEUX BC A,MM - DIVISION 1,
401117,2025-11-15,20:30,HENRI-CHAPELLE A,BC COINTE B,MM - DIVISION 1,
401124,2025-11-22,21:00,BC COINTE B,ETOILE JUPILLE A,MM - DIVISION 1,
401131,2025-11-30,13:00,HARIMALIA BC A,BC COINTE B,MM - DIVISION 1,
401144,2025-12-06,21:00,BC COINTE B,MAIL. COMBLAIN B,MM - DIVISION 1,
401154,2025-12-13,19:00,RBC HANEFFE A,BC COINTE B,MM - DIVISION 1,
401164,2025-12-20,21:00,BC COINTE B,HANNUT BC A,MM - DIVISION 1,
401184,2026-01-03,19:00,BC COINTE B,RB UNION LIEGE A,MM - DIVISION 1,
401194,2026-01-10,21:00,BC COINTE B,CRISTAL SGH A,MM - DIVISION 1,
401206,2026-01-16,19:00,ESL UNITED C,BC COINTE B,MM - DIVISION 1,
401214,2026-01-24,21:00,BC COINTE B,ALL. FLEMALLE A,MM - DIVISION 1,
401222,2026-02-01,10:00,RABC ENSIVAL A,BC COINTE B,MM - DIVISION 1,
401264,2026-02-21,21:00,BC COINTE B,HENRI-CHAPELLE A,MM - DIVISION 1,
401244,2026-02-27,20:00,BC COINTE B,BC BELLEFLAMME B,MM - DIVISION 1,
401272,2026-03-08,13:00,THEUX BC A,BC COINTE B,MM - DIVISION 1,
401296,2026-03-21,20:00,MAIL. COMBLAIN B,BC COINTE B,MM - DIVISION 1,
401304,2026-03-27,20:00,BC COINTE B,HARIMALIA BC A,MM - DIVISION 1,
401313,2026-04-03,21:00,ETOILE JUPILLE A,BC COINTE B,MM - DIVISION 1,
401324,2026-04-11,21:00,BC COINTE B,RBC HANEFFE A,MM - DIVISION 1,
401337,2026-04-17,21:00,HANNUT BC A,BC COINTE B,MM - DIVISION 1,
406014,2025-09-05,21:00,BC COINTE C,BBC EUPEN,MM - DIVISION 3 C,
406025,2025-09-13,21:00,R 4A AYWAILLE-HAMOIR B,BC COINTE C,MM - DIVISION 3 C,
406031,2025-09-21,17:00,RBC VISE C,BC COINTE C,MM - DIVISION 3 C,
406054,2025-10-05,13:00,BC COINTE C,RBC STAVELOT B,MM - DIVISION 3 C,
406063,2025-10-10,20:30,ATLAS A JUPILLE C,BC COINTE C,MM - DIVISION 3 C,
406075,2025-10-18,19:00,CRISTAL SGH B,BC COINTE C,MM - DIVISION 3 C,
406104,2025-11-08,17:00,BC COINTE C,THEUX BC B,MM - DIVISION 3 C,
406117,2025-11-15,17:00,ESL UNITED F,BC COINTE C,MM - DIVISION 3 C,
406124,2025-11-22,17:00,BC COINTE C,UN HUY BASKET A,MM - DIVISION 3 C,
406131,2025-11-29,19:00,RBC WELKENRAEDT A,BC COINTE C,MM - DIVISION 3 C,
406144,2025-12-06,19:00,BC COINTE C,BC REVEIL A,MM - DIVISION 3 C,
406154,2025-12-12,21:00,BC SANKT VITH,BC COINTE C,MM - DIVISION 3 C,
406164,2025-12-19,21:00,BC COINTE C,RBC BLEGNY A,MM - DIVISION 3 C,
406184,2026-01-03,17:00,BC COINTE C,CRISTAL SGH B,MM - DIVISION 3 C,
406194,2026-01-10,17:00,BC COINTE C,R 4A AYWAILLE-HAMOIR B,MM - DIVISION 3 C,
406206,2026-01-18,17:00,BBC EUPEN,BC COINTE C,MM - DIVISION 3 C,
406214,2026-01-24,17:00,BC COINTE C,RBC VISE C,MM - DIVISION 3 C,
406222,2026-01-31,21:00,RBC STAVELOT B,BC COINTE C,MM - DIVISION 3 C,
406244,2026-02-15,11:00,BC COINTE C,ATLAS A JUPILLE C,MM - DIVISION 3 C,
406264,2026-02-21,17:00,BC COINTE C,ESL UNITED F,MM - DIVISION 3 C,
406272,2026-03-08,11:00,THEUX BC B,BC COINTE C,MM - DIVISION 3 C,
406296,2026-03-20,20:00,BC REVEIL A,BC COINTE C,MM - DIVISION 3 C,
406304,2026-03-28,17:00,BC COINTE C,RBC WELKENRAEDT A,MM - DIVISION 3 C,
406313,2026-04-05,17:00,UN HUY BASKET A,BC COINTE C,MM - DIVISION 3 C,
406324,2026-04-11,17:00,BC COINTE C,BC SANKT VITH,MM - DIVISION 3 C,
406337,2026-04-17,20:00,RBC BLEGNY A,BC COINTE C,MM - DIVISION 3 C,
410015,2025-09-06,17:00,RB TILFF D,BC COINTE D,MM - DIVISION 4 D,
410024,2025-09-13,19:00,BC COINTE D,GIANTS BRAIVES B,MM - DIVISION 4 D,
410034,2025-09-21,13:00,BC COINTE D,HARIMALIA BC E,MM - DIVISION 4 D,
410114,2025-09-28,13:00,BC COINTE D,BC TORES LIEGE,MM - DIVISION 4 D,
410052,2025-10-05,15:00,UN HUY BASKET B,BC COINTE D,MM - DIVISION 4 D,
410064,2025-10-11,19:00,BC COINTE D,ROYAL ANS BC A,MM - DIVISION 4 D,
410074,2025-10-19,13:00,BC COINTE D,CRISTAL SGH E,MM - DIVISION 4 D,
410106,2025-11-08,19:00,R HT-PRE OUGREE B,BC COINTE D,MM - DIVISION 4 D,
410123,2025-11-22,21:00,RBC AWANS C,BC COINTE D,MM - DIVISION 4 D,
410134,2025-11-29,19:00,BC COINTE D,ROYAL BASKET OTHEE,MM - DIVISION 4 D,
410147,2025-12-06,19:00,ORP JAUCHE B,BC COINTE D,MM - DIVISION 4 D,
410154,2025-12-13,19:00,BC COINTE D,ALL. FLEMALLE E,MM - DIVISION 4 D,
410167,2025-12-20,18:30,BCM HERSTAL C,BC COINTE D,MM - DIVISION 4 D,
410185,2026-01-03,17:00,CRISTAL SGH E,BC COINTE D,MM - DIVISION 4 D,
410196,2026-01-10,19:00,GIANTS BRAIVES B,BC COINTE D,MM - DIVISION 4 D,
410204,2026-01-17,21:00,BC COINTE D,RB TILFF D,MM - DIVISION 4 D,
410211,2026-01-25,11:00,HARIMALIA BC E,BC COINTE D,MM - DIVISION 4 D,
410224,2026-01-31,19:00,BC COINTE D,UN HUY BASKET B,MM - DIVISION 4 D,
410243,2026-02-15,15:00,ROYAL ANS BC A,BC COINTE D,MM - DIVISION 4 D,
410261,2026-03-01,15:30,BC TORES LIEGE,BC COINTE D,MM - DIVISION 4 D,
410274,2026-03-07,19:00,BC COINTE D,R HT-PRE OUGREE B,MM - DIVISION 4 D,
410294,2026-03-21,17:00,BC COINTE D,ORP JAUCHE B,MM - DIVISION 4 D,
410302,2026-03-29,9:45,ROYAL BASKET OTHEE,BC COINTE D,MM - DIVISION 4 D,
410314,2026-04-04,17:00,BC COINTE D,RBC AWANS C,MM - DIVISION 4 D,
410324,2026-04-12,17:00,ALL. FLEMALLE E,BC COINTE D,MM - DIVISION 4 D,
410334,2026-04-18,19:00,BC COINTE D,BCM HERSTAL C,MM - DIVISION 4 D,
NAHSE21AGL,2025-09-05,19:00,BC COINTE A,STELLA LEUVEN B,TOP DIVISION MEN 2 A,
NAHSE21AJG,2025-09-14,16:30,UBCF QUAREGNON,BC COINTE A,TOP DIVISION MEN 2 A,
NAHSE21ABG,2025-09-27,20:00,K ST-TRUIDENSE BB,BC COINTE A,TOP DIVISION MEN 2 A,
NAHSE21AGD,2025-10-04,19:00,BC COINTE A,BAVI VILVOORDE,TOP DIVISION MEN 2 A,
NAHSE21AEG,2025-10-11,20:30,BBL'9 FLENU,BC COINTE A,TOP DIVISION MEN 2 A,
NAHSE21AIG,2025-10-17,21:00,CEP FLEURUS,BC COINTE A,TOP DIVISION MEN 2 A,
NAHSE21AGK,2025-10-25,19:00,BC COINTE A,BASKET TONGEREN,TOP DIVISION MEN 2 A,
NAHSE21AGC,2025-11-08,19:00,BC COINTE A,PEPINSTER EAST BELG A,TOP DIVISION MEN 2 A,
NAHSE21AMG,2025-11-15,20:30,KBBC OOSTKAMP,BC COINTE A,TOP DIVISION MEN 2 A,
NAHSE21AGF,2025-11-22,19:00,BC COINTE A,BC ASSE-TERNAT,TOP DIVISION MEN 2 A,
NAHSE21AAG,2025-11-29,20:30,KBGO FINEXA BASKET,BC COINTE A,TOP DIVISION MEN 2 A,
NAHSE21AHG,2025-12-14,17:00,BC BELLEFLAMME A,BC COINTE A,TOP DIVISION MEN 2 A,
NAHSE21AGN,2025-12-20,19:00,BC COINTE A,BASKET SIJSELE,TOP DIVISION MEN 2 A,
NAHSE21AGJ,2026-01-10,19:00,BC COINTE A,UBCF QUAREGNON,TOP DIVISION MEN 2 A,
NAHSE21ALG,2026-01-18,17:00,STELLA LEUVEN B,BC COINTE A,TOP DIVISION MEN 2 A,
NAHSE21AGB,2026-01-24,19:00,BC COINTE A,K ST-TRUIDENSE BB,TOP DIVISION MEN 2 A,
NAHSE21ADG,2026-02-01,15:00,BAVI VILVOORDE,BC COINTE A,TOP DIVISION MEN 2 A,
NAHSE21AGE,2026-02-07,19:00,BC COINTE A,BBL'9 FLENU,TOP DIVISION MEN 2 A,
NAHSE21AGI,2026-02-14,19:00,BC COINTE A,CEP FLEURUS,TOP DIVISION MEN 2 A,
NAHSE21AGM,2026-02-21,19:00,BC COINTE A,KBBC OOSTKAMP,TOP DIVISION MEN 2 A,
NAHSE21ACG,2026-03-07,19:00,PEPINSTER EAST BELG A,BC COINTE A,TOP DIVISION MEN 2 A,
NAHSE21AGA,2026-03-14,19:00,BC COINTE A,KBGO FINEXA BASKET,TOP DIVISION MEN 2 A,
NAHSE21AKG,2026-03-21,20:30,BASKET TONGEREN,BC COINTE A,TOP DIVISION MEN 2 A,
NAHSE21AFG,2026-03-28,20:30,BC ASSE-TERNAT,BC COINTE A,TOP DIVISION MEN 2 A,
NAHSE21AGH,2026-04-11,19:00,BC COINTE A,BC BELLEFLAMME A,TOP DIVISION MEN 2 A,
NAHSE21ANG,2026-04-18,20:30,BASKET SIJSELE,BC COINTE A,TOP DIVISION MEN 2 A,
523024,2025-09-13,12:30,RBC ESNEUX B,BC COINTE A,U 10 - MM D,
523031,2025-09-20,9:00,ABC WAREMME A,BC COINTE A,U 10 - MM D,
523054,2025-10-04,11:30,BC COINTE A,BC SPRIMONT C,U 10 - MM D,
523104,2025-11-08,9:00,BC COINTE A,ORP JAUCHE,U 10 - MM D,
523113,2025-11-16,11:00,RBC AWANS A,BC COINTE A,U 10 - MM D,
523124,2025-11-22,9:00,BC COINTE A,ALL. FLEMALLE A,U 10 - MM D,
523132,2025-11-29,13:15,CONDROZ MODAVE BB A,BC COINTE A,U 10 - MM D,
523075,2025-12-07,13:30,RB TILFF C,BC COINTE A,U 10 - MM D,
523194,2026-01-10,9:00,BC COINTE A,RBC ESNEUX B,U 10 - MM D,
523214,2026-01-24,9:00,BC COINTE A,ABC WAREMME A,U 10 - MM D,
523222,2026-02-01,9:00,BC SPRIMONT C,BC COINTE A,U 10 - MM D,
523264,2026-02-21,9:00,BC COINTE A,RBC AWANS A,U 10 - MM D,
