Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
409261,2026-02-28,17:00,ROYAL SPA BC D,R REN. MONTEGNEE,MM - DIVISION 4 C,
409034,2026-03-04,20:00,R REN. MONTEGNEE,HARIMALIA BC F,MM - DIVISION 4 C,
409274,2026-03-08,11:00,R REN. MONTEGNEE,ALL. FLEMALLE C,MM - DIVISION 4 C,
409294,2026-03-22,11:00,R REN. MONTEGNEE,RBC ALLEUR E,MM - DIVISION 4 C,
409302,2026-03-28,20:00,R.UN.BELLAIRE C,R REN. MONTEGNEE,MM - DIVISION 4 C,
409314,2026-04-05,11:00,R REN. MONTEGNEE,ROYALE US AWANS B,MM - DIVISION 4 C,
409324,2026-04-12,11:00,BC BELLEFLAMME F,R REN. MONTEGNEE,MM - DIVISION 4 C,
409334,2026-04-19,11:00,R REN. MONTEGNEE,ABC WAREMME C,MM - DIVISION 4 C,
529264,2026-02-28,10:45,R REN. MONTEGNEE,RBC ESNEUX C,U 10 - MM J,
529276,2026-03-08,9:00,GIANTS BRAIVES B,R REN. MONTEGNEE,U 10 - MM J,
529324,2026-04-04,10:45,R REN. MONTEGNEE,RB TILFF D,U 10 - MM J,
529336,2026-04-19,9:00,LA VILLERSOISE C,R REN. MONTEGNEE,U 10 - MM J,
601264,2026-02-28,10:45,R REN. MONTEGNEE,ATLAS A JUPILLE,U 14 - DD B,
601276,2026-03-07,14:00,MAIL. COMBLAIN,R REN. MONTEGNEE,U 14 - DD B,
601291,2026-03-21,13:00,ALL. FLEMALLE,R REN. MONTEGNEE,U 14 - DD B,
601304,2026-03-28,10:45,R REN. MONTEGNEE,UN HUY BASKET,U 14 - DD B,
601324,2026-04-11,10:45,R REN. MONTEGNEE,BC VERLAINE,U 14 - DD B,
601336,2026-04-19,13:00,R REN. MONTEGNEE,RBC ALLEUR,U 14 - DD B,
543276,2026-03-07,12:00,MAIL. COMBLAIN,R REN. MONTEGNEE,U 8 - MM D,
543291,2026-03-21,9:00,ROYAL HERVE-BATTICE A,R REN. MONTEGNEE,U 8 - MM D,
543324,2026-04-11,9:00,R REN. MONTEGNEE,ABC WAREMME B,U 8 - MM D,
543304,2026-04-18,9:00,R REN. MONTEGNEE,BC SPRIMONT B,U 8 - MM D,
