Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
763145,2026-02-08,12:15,BC VERVIERS,HENRI-CHAPELLE,CPE PROV MINIMES MM,(Salle de Grivegnée)
774117,2026-02-08,10:00,BC VERLAINE,HENRI-CHAPELLE,CPE PROV PUPILLES DD,(Salle de Grivegnée)
413223,2026-01-31,18:00,RABC ENSIVAL A,HENRI-CHAPELLE,DD - DIVISION 1,
413196,2026-02-08,11:00,HENRI-CHAPELLE,BC BELLEFLAMME B,DD - DIVISION 1,
413246,2026-02-15,11:00,HENRI-CHAPELLE,ROYAL SPA BC A,DD - DIVISION 1,
413076,2026-02-19,21:00,HENRI-CHAPELLE,PEPINSTER EAST BELG B,DD - DIVISION 1,
413016,2026-02-22,11:00,HENRI-CHAPELLE,RBC CROATIA OUPEYE,DD - DIVISION 1,
413116,2026-03-01,11:00,HENRI-CHAPELLE,RBC ALLEUR C,DD - DIVISION 1,
413276,2026-03-07,19:00,HANNUT BC,HENRI-CHAPELLE,DD - DIVISION 1,
413296,2026-03-22,14:00,RBC ESNEUX B,HENRI-CHAPELLE,DD - DIVISION 1,
413306,2026-03-29,15:00,HENRI-CHAPELLE,RBC BLEGNY A,DD - DIVISION 1,
413126,2026-04-05,11:00,HENRI-CHAPELLE,ROYAL HERVE-BATTICE C,DD - DIVISION 1,
413152,2026-04-12,15:00,BC SPRIMONT A,HENRI-CHAPELLE,DD - DIVISION 1,
413333,2026-04-18,18:00,R.UN.BELLAIRE A,HENRI-CHAPELLE,DD - DIVISION 1,
415223,2026-01-31,21:00,VAIL. JUPILLE,HENRI-CHAPELLE B,DD - DIVISION 2 B,
415246,2026-02-11,19:30,R.UN.BELLAIRE B,HENRI-CHAPELLE B,DD - DIVISION 2 B,
415216,2026-02-11,20:00,HENRI-CHAPELLE B,ROYAL BC NINANE B,DD - DIVISION 2 B,
415265,2026-02-28,20:45,BC VERLAINE A,HENRI-CHAPELLE B,DD - DIVISION 2 B,
415276,2026-03-08,11:00,HENRI-CHAPELLE B,RBC ALLEUR D,DD - DIVISION 2 B,
415311,2026-03-14,19:00,RBC VISE A,HENRI-CHAPELLE B,DD - DIVISION 2 B,
415296,2026-03-22,11:00,HENRI-CHAPELLE B,R 4A AYWAILLE-HAMOIR A,DD - DIVISION 2 B,
415306,2026-03-29,11:00,HENRI-CHAPELLE B,ABC WAREMME B,DD - DIVISION 2 B,
415326,2026-04-12,11:00,HENRI-CHAPELLE B,AVENIR JUPILLE B,DD - DIVISION 2 B,
415333,2026-04-19,13:00,ROYAL ANS BC,HENRI-CHAPELLE B,DD - DIVISION 2 B,
418227,2026-01-31,18:30,HENRI-CHAPELLE C,ETOILE JUPILLE,DD - DIVISION 3 C,
418247,2026-02-14,19:00,RBC VISE B,HENRI-CHAPELLE C,DD - DIVISION 3 C,
418267,2026-02-28,18:30,HENRI-CHAPELLE C,RBC WELKENRAEDT,DD - DIVISION 3 C,
418276,2026-03-08,12:00,MAIL. COMBLAIN,HENRI-CHAPELLE C,DD - DIVISION 3 C,
418294,2026-03-22,12:00,PRAYON TROOZ C,HENRI-CHAPELLE C,DD - DIVISION 3 C,
418307,2026-03-28,18:30,HENRI-CHAPELLE C,DF BC MALMEDY,DD - DIVISION 3 C,
418316,2026-04-04,17:00,RBC DISON-ANDRIMONT B,HENRI-CHAPELLE C,DD - DIVISION 3 C,
418321,2026-04-12,12:00,ROYAL SPA BC B,HENRI-CHAPELLE C,DD - DIVISION 3 C,
418111,2026-04-18,17:00,RBC WELKENRAEDT,HENRI-CHAPELLE C,DD - DIVISION 3 C,
401226,2026-01-30,19:00,ESL UNITED C,HENRI-CHAPELLE A,MM - DIVISION 1,
401151,2026-02-11,20:30,HARIMALIA BC A,HENRI-CHAPELLE A,MM - DIVISION 1,
401067,2026-02-13,21:00,HANNUT BC A,HENRI-CHAPELLE A,MM - DIVISION 1,
401264,2026-02-21,21:00,BC COINTE B,HENRI-CHAPELLE A,MM - DIVISION 1,
401277,2026-03-07,20:30,HENRI-CHAPELLE A,RB UNION LIEGE A,MM - DIVISION 1,
401197,2026-03-14,20:30,HENRI-CHAPELLE A,ETOILE JUPILLE A,MM - DIVISION 1,
401297,2026-03-21,20:30,HENRI-CHAPELLE A,ALL. FLEMALLE A,MM - DIVISION 1,
401306,2026-03-28,20:00,MAIL. COMBLAIN B,HENRI-CHAPELLE A,MM - DIVISION 1,
401317,2026-04-05,13:00,HENRI-CHAPELLE A,RABC ENSIVAL A,MM - DIVISION 1,
401327,2026-04-11,20:30,HENRI-CHAPELLE A,HARIMALIA BC A,MM - DIVISION 1,
401334,2026-04-18,21:00,RBC HANEFFE A,HENRI-CHAPELLE A,MM - DIVISION 1,
404226,2026-01-31,19:00,R 4A AYWAILLE-HAMOIR C,HENRI-CHAPELLE B,MM - DIVISION 3 A,(Hall de Hamoir)
404067,2026-02-14,21:00,HANNUT BC B,HENRI-CHAPELLE B,MM - DIVISION 3 A,
404264,2026-03-01,13:00,BC BELLEFLAMME E,HENRI-CHAPELLE B,MM - DIVISION 3 A,
404277,2026-03-07,18:30,HENRI-CHAPELLE B,RB UNION LIEGE B,MM - DIVISION 3 A,
404197,2026-03-14,18:30,HENRI-CHAPELLE B,AVENIR JUPILLE A,MM - DIVISION 3 A,
404297,2026-03-21,18:30,HENRI-CHAPELLE B,ALL. FLEMALLE B,MM - DIVISION 3 A,
404306,2026-03-29,15:00,ROYAL BC WANZE C,HENRI-CHAPELLE B,MM - DIVISION 3 A,
404317,2026-04-04,18:30,HENRI-CHAPELLE B,ROYAL HERVE-BATTICE B,MM - DIVISION 3 A,
404327,2026-04-11,18:30,HENRI-CHAPELLE B,LA VILLERSOISE A,MM - DIVISION 3 A,
404334,2026-04-18,19:00,RB TILFF C,HENRI-CHAPELLE B,MM - DIVISION 3 A,
411226,2026-01-30,21:00,DF BC MALMEDY,HENRI-CHAPELLE C,MM - DIVISION 4 E,
411247,2026-02-14,18:30,HENRI-CHAPELLE C,RBC BLEGNY C,MM - DIVISION 4 E,
411264,2026-03-01,15:00,BC REVEIL B,HENRI-CHAPELLE C,MM - DIVISION 4 E,
411277,2026-03-07,18:30,HENRI-CHAPELLE C,R 4A AYWAILLE-HAMOIR D,MM - DIVISION 4 E,
411197,2026-03-14,18:30,HENRI-CHAPELLE C,AVENIR JUPILLE B,MM - DIVISION 4 E,
