Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
AW237002,2024-11-01,20:00,GANSHOREN DAMES,RBC ALLEUR,COUPE AWBB DAMES,
764139,2024-11-02,15:00,BC BELLEFLAMME,RBC ALLEUR A,CPE PROV PUPILLES MM,
413084,2024-10-20,11:00,HENRI-CHAPELLE A,RBC ALLEUR C,DD - DIVISION 1,
413116,2024-11-10,11:00,RBC ALLEUR C,ROYAL SPA BC A,DD - DIVISION 1,
413127,2024-11-16,17:00,ROYAL HERVE-BATTICE C,RBC ALLEUR C,DD - DIVISION 1,
413137,2024-11-24,13:00,PEPINSTER EAST BELG B,RBC ALLEUR C,DD - DIVISION 1,
413156,2024-12-08,13:00,RBC ALLEUR C,COLLEGE S LOUIS,DD - DIVISION 1,
413166,2024-12-15,11:00,RBC ALLEUR C,RABC ENSIVAL,DD - DIVISION 1,
413172,2024-12-22,12:00,RBC ESNEUX B,RBC ALLEUR C,DD - DIVISION 1,
413196,2025-01-05,11:00,RBC ALLEUR C,RBC BLEGNY A,DD - DIVISION 1,
413205,2025-01-11,21:00,RBC CROATIA OUPEYE,RBC ALLEUR C,DD - DIVISION 1,
413216,2025-01-18,18:30,RBC ALLEUR C,R.UN.BELLAIRE A,DD - DIVISION 1,
413223,2025-01-25,19:00,R HT-PRE OUGREE A,RBC ALLEUR C,DD - DIVISION 1,
413076,2025-02-01,18:30,RBC ALLEUR C,RBC AUBEL,DD - DIVISION 1,
413242,2025-02-09,17:00,RBC AUBEL,RBC ALLEUR C,DD - DIVISION 1,
413256,2025-02-15,18:30,RBC ALLEUR C,HENRI-CHAPELLE A,DD - DIVISION 1,
413285,2025-03-08,17:00,ROYAL SPA BC A,RBC ALLEUR C,DD - DIVISION 1,
413024,2025-03-16,17:00,ROYALE US AWANS,RBC ALLEUR C,DD - DIVISION 1,
413306,2025-03-22,18:30,RBC ALLEUR C,ROYAL HERVE-BATTICE C,DD - DIVISION 1,
413311,2025-03-29,18:30,COLLEGE S LOUIS,RBC ALLEUR C,DD - DIVISION 1,
