Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
406215,2024-01-20,19:00,RBC WELKENRAEDT B,LA SPECIALE,MM - DIVISION 3 C,
406231,2024-01-27,21:00,LA SPECIALE,HARIMALIA BC C,MM - DIVISION 3 C,
406242,2024-02-10,17:00,ROYAL BC NINANE C,LA SPECIALE,MM - DIVISION 3 C,
406254,2024-02-18,10:00,VAIL. JUPILLE B,LA SPECIALE,MM - DIVISION 3 C,
406261,2024-02-24,19:00,LA SPECIALE,ROYAL BC WANZE B,MM - DIVISION 3 C,
406352,2024-03-02,21:00,BCM HERSTAL A,LA SPECIALE,MM - DIVISION 3 C,
406293,2024-03-16,19:00,RBC 4A AYWAILLE B,LA SPECIALE,MM - DIVISION 3 C,
406301,2024-03-23,19:00,LA SPECIALE,BC BELLEFLAMME D,MM - DIVISION 3 C,
406281,2024-03-31,13:00,LA SPECIALE,RABC ENSIVAL C,MM - DIVISION 3 C,
406327,2024-04-06,19:00,RBC BLEGNY B,LA SPECIALE,MM - DIVISION 3 C,
406341,2024-04-20,19:00,LA SPECIALE,LA VILLERSOISE B,MM - DIVISION 3 C,
