Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
414155,2023-12-10,14:30,ALL. FLEMALLE A,HENRI-CHAPELLE A,DD - DIVISION 2 A,(Athénée Guy Lang)
414161,2023-12-17,16:30,CRISTAL SERAING A,ALL. FLEMALLE A,DD - DIVISION 2 A,
414215,2024-01-21,14:30,ALL. FLEMALLE A,CRISTAL SERAING A,DD - DIVISION 2 A,(Athénée Guy Lang)
414235,2024-02-04,14:30,ALL. FLEMALLE A,RBC ESNEUX B,DD - DIVISION 2 A,(Athénée Guy Lang)
414244,2024-02-09,21:00,ROYAL SPA BC B,ALL. FLEMALLE A,DD - DIVISION 2 A,
414257,2024-02-16,21:00,RBC BLEGNY B,ALL. FLEMALLE A,DD - DIVISION 2 A,
414265,2024-02-25,14:30,ALL. FLEMALLE A,BC SPRIMONT B,DD - DIVISION 2 A,(Athénée Guy Lang)
414285,2024-03-10,14:30,ALL. FLEMALLE A,AVENIR JUPILLE A,DD - DIVISION 2 A,(Athénée Guy Lang)
414295,2024-03-17,14:30,ALL. FLEMALLE A,ROYAL BC NINANE A,DD - DIVISION 2 A,(Athénée Guy Lang)
414306,2024-03-24,15:00,BC VERLAINE A,ALL. FLEMALLE A,DD - DIVISION 2 A,
414323,2024-04-07,13:00,ATLAS A JUPILLE B,ALL. FLEMALLE A,DD - DIVISION 2 A,
414192,2024-04-14,15:00,DISON-ANDRIMONT A,ALL. FLEMALLE A,DD - DIVISION 2 A,
414347,2024-04-20,18:30,HENRI-CHAPELLE A,ALL. FLEMALLE A,DD - DIVISION 2 A,
416135,2023-11-25,19:00,ALL. FLEMALLE C,RBC WELKENRAEDT,DD - DIVISION 3 A,
416143,2023-12-02,17:00,RBC STAVELOT,ALL. FLEMALLE C,DD - DIVISION 3 A,
416152,2023-12-09,17:30,ROYAL BC NINANE B,ALL. FLEMALLE C,DD - DIVISION 3 A,
416165,2023-12-16,19:00,ALL. FLEMALLE C,REBOND NEUVILLE,DD - DIVISION 3 A,
416195,2024-01-06,19:00,ALL. FLEMALLE C,DISON-ANDRIMONT B,DD - DIVISION 3 A,
416205,2024-01-13,19:00,ALL. FLEMALLE C,RBC STAVELOT,DD - DIVISION 3 A,
416211,2024-01-21,11:00,REBOND NEUVILLE,ALL. FLEMALLE C,DD - DIVISION 3 A,
416234,2024-02-04,13:00,ETOILE JUPILLE,ALL. FLEMALLE C,DD - DIVISION 3 A,
416255,2024-02-17,19:00,ALL. FLEMALLE C,ABC WAREMME B,DD - DIVISION 3 A,
416261,2024-02-25,12:00,RBC HANEFFE D,ALL. FLEMALLE C,DD - DIVISION 3 A,
416284,2024-03-09,19:00,RBC AWANS,ALL. FLEMALLE C,DD - DIVISION 3 A,
416297,2024-03-16,21:00,RBC BLEGNY C,ALL. FLEMALLE C,DD - DIVISION 3 A,
416305,2024-03-23,19:00,ALL. FLEMALLE C,ROYAL SPA BC C,DD - DIVISION 3 A,
416325,2024-04-06,19:00,ALL. FLEMALLE C,RBC ALLEUR D,DD - DIVISION 3 A,
416345,2024-04-20,19:00,ALL. FLEMALLE C,ROYAL BC NINANE B,DD - DIVISION 3 A,
416355,2024-04-27,17:00,RBC WELKENRAEDT,ALL. FLEMALLE C,DD - DIVISION 3 A,
417135,2023-11-26,16:30,CS OUTREMEUSE,ALL. FLEMALLE B,DD - DIVISION 3 B,
417145,2023-12-03,12:30,ALL. FLEMALLE B,BC COINTE B,DD - DIVISION 3 B,
417155,2023-12-10,12:30,ALL. FLEMALLE B,RBC BLEGNY D,DD - DIVISION 3 B,
417161,2023-12-16,21:00,R HT-PRE OUGREE B,ALL. FLEMALLE B,DD - DIVISION 3 B,
417192,2024-01-07,16:30,CRISTAL SERAING B,ALL. FLEMALLE B,DD - DIVISION 3 B,
417203,2024-01-12,19:00,BC COINTE B,ALL. FLEMALLE B,DD - DIVISION 3 B,
417215,2024-01-21,12:30,ALL. FLEMALLE B,R HT-PRE OUGREE B,DD - DIVISION 3 B,
417235,2024-02-04,12:30,ALL. FLEMALLE B,B. OTHEE CLUB,DD - DIVISION 3 B,
417244,2024-02-11,10:00,HANNUT BC,ALL. FLEMALLE B,DD - DIVISION 3 B,
417257,2024-02-17,21:00,BC BELLEFLAMME C,ALL. FLEMALLE B,DD - DIVISION 3 B,
417265,2024-02-25,12:30,ALL. FLEMALLE B,GIANTS BRAIVES,DD - DIVISION 3 B,
417285,2024-03-10,12:30,ALL. FLEMALLE B,AVENIR JUPILLE B,DD - DIVISION 3 B,
417295,2024-03-17,12:30,ALL. FLEMALLE B,R.UN.BELLAIRE B,DD - DIVISION 3 B,
417306,2024-03-23,17:00,RB UNION LIEGE,ALL. FLEMALLE B,DD - DIVISION 3 B,
417323,2024-04-06,17:00,RBC 4A AYWAILLE,ALL. FLEMALLE B,DD - DIVISION 3 B,
417347,2024-04-19,21:00,RBC BLEGNY D,ALL. FLEMALLE B,DD - DIVISION 3 B,
417355,2024-04-28,12:30,ALL. FLEMALLE B,CS OUTREMEUSE,DD - DIVISION 3 B,
403135,2023-11-25,19:00,RBC VISE A,ALL. FLEMALLE A,MM - DIVISION 2 B,
403145,2023-12-02,19:00,ALL. FLEMALLE A,HARIMALIA BC A,MM - DIVISION 2 B,(Athénée Guy Lang)
403155,2023-12-09,19:00,ALL. FLEMALLE A,BC VERVIERS B,MM - DIVISION 2 B,(Athénée Guy Lang)
403161,2023-12-16,18:30,MAIL. COMBLAIN B,ALL. FLEMALLE A,MM - DIVISION 2 B,
403192,2024-01-06,19:00,RBC STAVELOT A,ALL. FLEMALLE A,MM - DIVISION 2 B,
403203,2024-01-14,13:00,HARIMALIA BC A,ALL. FLEMALLE A,MM - DIVISION 2 B,
403215,2024-01-20,19:00,ALL. FLEMALLE A,MAIL. COMBLAIN B,MM - DIVISION 2 B,(Athénée Guy Lang)
403235,2024-02-03,19:00,ALL. FLEMALLE A,LA VILLERSOISE A,MM - DIVISION 2 B,(Athénée Guy Lang)
403244,2024-02-10,20:30,HERVE-BATTICE A,ALL. FLEMALLE A,MM - DIVISION 2 B,
403257,2024-02-16,21:00,BC REVEIL A,ALL. FLEMALLE A,MM - DIVISION 2 B,
403265,2024-02-24,19:00,ALL. FLEMALLE A,ESNEUX S LOUIS UTD E,MM - DIVISION 2 B,(Athénée Guy Lang)
