Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
762120,2023-11-05,14:00,BC VERLAINE,REBOND NEUVILLE,CPE PROV U 18,
416071,2023-10-15,11:00,REBOND NEUVILLE,RBC HANEFFE D,DD - DIVISION 3 A,
416082,2023-10-21,19:00,DISON-ANDRIMONT B,REBOND NEUVILLE,DD - DIVISION 3 A,
416113,2023-11-12,11:00,RBC ALLEUR D,REBOND NEUVILLE,DD - DIVISION 3 A,
416121,2023-11-19,11:00,REBOND NEUVILLE,ABC WAREMME B,DD - DIVISION 3 A,
416136,2023-11-26,11:00,ROYAL SPA BC C,REBOND NEUVILLE,DD - DIVISION 3 A,
416141,2023-12-03,11:00,REBOND NEUVILLE,RBC BLEGNY C,DD - DIVISION 3 A,
416151,2023-12-10,11:00,REBOND NEUVILLE,RBC AWANS,DD - DIVISION 3 A,
416165,2023-12-16,19:00,ALL. FLEMALLE C,REBOND NEUVILLE,DD - DIVISION 3 A,
416207,2024-01-13,21:00,RBC BLEGNY C,REBOND NEUVILLE,DD - DIVISION 3 A,
416211,2024-01-21,11:00,REBOND NEUVILLE,ALL. FLEMALLE C,DD - DIVISION 3 A,
416233,2024-02-03,17:00,RBC STAVELOT,REBOND NEUVILLE,DD - DIVISION 3 A,
416241,2024-02-11,11:00,REBOND NEUVILLE,BC NINANE B,DD - DIVISION 3 A,
416251,2024-02-17,21:00,REBOND NEUVILLE,ETOILE JUPILLE,DD - DIVISION 3 A,
416265,2024-02-25,13:00,RBC WELKENRAEDT,REBOND NEUVILLE,DD - DIVISION 3 A,
416281,2024-03-09,20:00,RBC HANEFFE D,REBOND NEUVILLE,DD - DIVISION 3 A,
416291,2024-03-17,11:00,REBOND NEUVILLE,RBC ALLEUR D,DD - DIVISION 3 A,
416307,2024-03-23,18:00,ABC WAREMME B,REBOND NEUVILLE,DD - DIVISION 3 A,
416321,2024-04-07,11:00,REBOND NEUVILLE,DISON-ANDRIMONT B,DD - DIVISION 3 A,
416344,2024-04-20,19:00,RBC AWANS,REBOND NEUVILLE,DD - DIVISION 3 A,
416351,2024-04-27,21:00,REBOND NEUVILLE,ROYAL SPA BC C,DD - DIVISION 3 A,
412071,2023-10-14,19:00,REBOND NEUVILLE,BC SPRIMONT E,MM - DIVISION 4 F,
412082,2023-10-22,15:00,BC NINANE E,REBOND NEUVILLE,MM - DIVISION 4 F,
412113,2023-11-10,20:30,RBC ALLEUR E,REBOND NEUVILLE,MM - DIVISION 4 F,
412121,2023-11-18,19:00,REBOND NEUVILLE,THEUX BC B,MM - DIVISION 4 F,
412136,2023-11-26,9:00,RBC AUBEL D,REBOND NEUVILLE,MM - DIVISION 4 F,
412141,2023-12-02,19:00,REBOND NEUVILLE,BCM HERSTAL B,MM - DIVISION 4 F,
412191,2024-01-06,19:00,REBOND NEUVILLE,R HT-PRE OUGREE C,MM - DIVISION 4 F,
412207,2024-01-13,19:00,BCM HERSTAL B,REBOND NEUVILLE,MM - DIVISION 4 F,
412233,2024-02-04,11:00,BC BELLEFLAMME F,REBOND NEUVILLE,MM - DIVISION 4 F,
412241,2024-02-10,19:00,REBOND NEUVILLE,R.UN.BELLAIRE C,MM - DIVISION 4 F,
412265,2024-02-25,16:30,ALL. FLEMALLE D,REBOND NEUVILLE,MM - DIVISION 4 F,
412281,2024-03-09,21:00,BC SPRIMONT E,REBOND NEUVILLE,MM - DIVISION 4 F,
412291,2024-03-16,19:00,REBOND NEUVILLE,RBC ALLEUR E,MM - DIVISION 4 F,
412307,2024-03-24,11:00,THEUX BC B,REBOND NEUVILLE,MM - DIVISION 4 F,
412321,2024-04-06,19:00,REBOND NEUVILLE,BC NINANE E,MM - DIVISION 4 F,
412351,2024-04-27,19:00,REBOND NEUVILLE,RBC AUBEL D,MM - DIVISION 4 F,
527071,2023-10-14,9:00,REBOND NEUVILLE,R HT-PRE OUGREE A,U 10 - MM H,
527113,2023-11-11,14:00,R.UN.BELLAIRE,REBOND NEUVILLE,U 10 - MM H,
527121,2023-11-18,9:00,REBOND NEUVILLE,COLLEGE S LOUIS B,U 10 - MM H,
527135,2023-11-26,9:00,ROYAL BC WANZE A,REBOND NEUVILLE,U 10 - MM H,
527141,2023-12-02,9:00,REBOND NEUVILLE,CONDROZ MODAVE BB A,U 10 - MM H,
527151,2023-12-09,9:00,REBOND NEUVILLE,GIANTS BRAIVES C,U 10 - MM H,
527163,2023-12-16,11:30,BC COINTE C,REBOND NEUVILLE,U 10 - MM H,
527206,2024-01-13,9:00,R HT-PRE OUGREE A,REBOND NEUVILLE,U 10 - MM H,
