Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
402104,2025-11-08,17:30,BC VERVIERS B,BC SPRIMONT C,MM - DIVISION 2 A,
402117,2025-11-16,11:00,RBC ALLEUR C,BC VERVIERS B,MM - DIVISION 2 A,
402124,2025-11-22,17:30,BC VERVIERS B,RBC AWANS A,MM - DIVISION 2 A,
402025,2025-11-28,20:30,FLERON BBC A,BC VERVIERS B,MM - DIVISION 2 A,
402131,2025-11-30,17:00,HARIMALIA BC C,BC VERVIERS B,MM - DIVISION 2 A,
402144,2025-12-06,17:30,BC VERVIERS B,ROYAL BC WANZE B,MM - DIVISION 2 A,
402154,2025-12-12,21:00,BC BELLEFLAMME C,BC VERVIERS B,MM - DIVISION 2 A,
402164,2025-12-20,17:30,BC VERVIERS B,RBC VISE A,MM - DIVISION 2 A,
402184,2026-01-03,17:30,BC VERVIERS B,ATLAS A JUPILLE B,MM - DIVISION 2 A,
402194,2026-01-10,17:30,BC VERVIERS B,FLERON BBC A,MM - DIVISION 2 A,
402206,2026-01-18,11:00,ESL UNITED E,BC VERVIERS B,MM - DIVISION 2 A,
402214,2026-01-24,17:30,BC VERVIERS B,ABC WAREMME B,MM - DIVISION 2 A,
402222,2026-01-31,19:00,RBC STAVELOT A,BC VERVIERS B,MM - DIVISION 2 A,
402244,2026-02-14,17:30,BC VERVIERS B,ROYAL SPA BC C,MM - DIVISION 2 A,
402337,2026-02-21,19:00,RBC VISE A,BC VERVIERS B,MM - DIVISION 2 A,
402264,2026-02-28,17:30,BC VERVIERS B,RBC ALLEUR C,MM - DIVISION 2 A,
402272,2026-03-07,17:00,BC SPRIMONT C,BC VERVIERS B,MM - DIVISION 2 A,
402296,2026-03-22,15:00,ROYAL BC WANZE B,BC VERVIERS B,MM - DIVISION 2 A,
402304,2026-03-28,17:30,BC VERVIERS B,HARIMALIA BC C,MM - DIVISION 2 A,
402313,2026-04-04,21:00,RBC AWANS A,BC VERVIERS B,MM - DIVISION 2 A,
402324,2026-04-11,17:30,BC VERVIERS B,BC BELLEFLAMME C,MM - DIVISION 2 A,
403116,2025-11-16,13:00,BC VERVIERS C,RB TILFF B,MM - DIVISION 2 B,
403126,2025-11-23,11:00,BC VERVIERS C,HARIMALIA BC B,MM - DIVISION 2 B,
403137,2025-11-30,15:00,RBC ALLEUR B,BC VERVIERS C,MM - DIVISION 2 B,
403152,2025-12-14,11:00,ROYAL HERVE-BATTICE A,BC VERVIERS C,MM - DIVISION 2 B,
403166,2025-12-21,11:00,BC VERVIERS C,R.UN.BELLAIRE A,MM - DIVISION 2 B,
403182,2026-01-03,19:30,BC VERVIERS C,PEPINSTER EAST BELG C,MM - DIVISION 2 B,
403196,2026-01-11,16:00,BC VERVIERS C,PRAYON TROOZ A,MM - DIVISION 2 B,
403216,2026-01-25,16:00,BC VERVIERS C,RBC DISON-ANDRIMONT A,MM - DIVISION 2 B,
403223,2026-02-01,10:00,VAIL. JUPILLE A,BC VERVIERS C,MM - DIVISION 2 B,
