Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
760231,2023-12-22,20:00,BC BELLEFLAMME C (+ 5),BC VERVIERS B,CPE PROV MESSIEURS,
403147,2023-12-02,18:00,BC VERVIERS B,MAIL. COMBLAIN B,MM - DIVISION 2 B,
403155,2023-12-09,19:00,ALL. FLEMALLE A,BC VERVIERS B,MM - DIVISION 2 B,(Athénée Guy Lang)
403164,2023-12-17,11:00,HERVE-BATTICE A,BC VERVIERS B,MM - DIVISION 2 B,
403197,2024-01-05,21:00,BC REVEIL A,BC VERVIERS B,MM - DIVISION 2 B,
403201,2024-01-12,21:00,MAIL. COMBLAIN B,BC VERVIERS B,MM - DIVISION 2 B,
403072,2024-01-27,21:00,RBC STAVELOT A,BC VERVIERS B,MM - DIVISION 2 B,
403237,2024-02-03,18:00,BC VERVIERS B,THEUX BC A,MM - DIVISION 2 B,
403243,2024-02-11,13:00,HARIMALIA BC A,BC VERVIERS B,MM - DIVISION 2 B,
403255,2024-02-17,19:00,RBC VISE A,BC VERVIERS B,MM - DIVISION 2 B,
403267,2024-02-24,18:00,BC VERVIERS B,BC COINTE B,MM - DIVISION 2 B,
403217,2024-03-03,13:00,BC VERVIERS B,HERVE-BATTICE A,MM - DIVISION 2 B,
403296,2024-03-16,21:00,LA VILLERSOISE A,BC VERVIERS B,MM - DIVISION 2 B,
403307,2024-03-23,18:00,BC VERVIERS B,ESNEUX S LOUIS UTD E,MM - DIVISION 2 B,
403324,2024-04-06,19:00,RBC CROATIA OUPEYE A,BC VERVIERS B,MM - DIVISION 2 B,
403347,2024-04-20,18:00,BC VERVIERS B,ALL. FLEMALLE A,MM - DIVISION 2 B,
403356,2024-04-27,20:00,RSW LIEGE BASKET D,BC VERVIERS B,MM - DIVISION 2 B,
406147,2023-12-03,13:30,BC VERVIERS C,LA SPECIALE,MM - DIVISION 3 C,
406155,2023-12-06,20:30,RBC WELKENRAEDT B,BC VERVIERS C,MM - DIVISION 3 C,
406164,2023-12-17,10:00,VAIL. JUPILLE B,BC VERVIERS C,MM - DIVISION 3 C,
406197,2024-01-06,19:00,RBC BLEGNY B,BC VERVIERS C,MM - DIVISION 3 C,
406201,2024-01-13,19:00,LA SPECIALE,BC VERVIERS C,MM - DIVISION 3 C,
406217,2024-01-21,13:00,BC VERVIERS C,VAIL. JUPILLE B,MM - DIVISION 3 C,
406237,2024-02-04,15:00,BC VERVIERS C,ROYAL BC NINANE C,MM - DIVISION 3 C,
406243,2024-02-10,21:00,HARIMALIA BC C,BC VERVIERS C,MM - DIVISION 3 C,
406267,2024-02-25,13:00,BC VERVIERS C,RBC 4A AYWAILLE B,MM - DIVISION 3 C,
406255,2024-03-03,15:00,ROYAL BC WANZE B,BC VERVIERS C,MM - DIVISION 3 C,
406287,2024-03-10,13:00,BC VERVIERS C,BCM HERSTAL A,MM - DIVISION 3 C,
406296,2024-03-16,19:00,ROYAL SPA BC B,BC VERVIERS C,MM - DIVISION 3 C,
406307,2024-03-24,13:00,BC VERVIERS C,RABC ENSIVAL C,MM - DIVISION 3 C,
406324,2024-04-07,13:00,BC BELLEFLAMME D,BC VERVIERS C,MM - DIVISION 3 C,
406347,2024-04-21,13:00,BC VERVIERS C,RBC WELKENRAEDT B,MM - DIVISION 3 C,
406356,2024-04-28,15:00,LA VILLERSOISE B,BC VERVIERS C,MM - DIVISION 3 C,
410146,2023-12-03,15:30,BC VERVIERS D,RABC ENSIVAL D,MM - DIVISION 4 D,
410156,2023-12-10,15:00,BC VERVIERS D,HENRI-CHAPELLE D,MM - DIVISION 4 D,
410163,2023-12-16,17:00,HARIMALIA BC F,BC VERVIERS D,MM - DIVISION 4 D,
410191,2024-01-06,19:00,RB TILFF D,BC VERVIERS D,MM - DIVISION 4 D,
410202,2024-01-13,18:00,RABC ENSIVAL D,BC VERVIERS D,MM - DIVISION 4 D,
410216,2024-01-21,15:00,BC VERVIERS D,HARIMALIA BC F,MM - DIVISION 4 D,
410236,2024-02-04,13:00,BC VERVIERS D,VAIL. JUPILLE C,MM - DIVISION 4 D,
410245,2024-02-10,17:00,BC BELLEFLAMME E,BC VERVIERS D,MM - DIVISION 4 D,
410256,2024-02-18,9:45,B. OTHEE CLUB D,BC VERVIERS D,MM - DIVISION 4 D,
410266,2024-02-25,15:00,BC VERVIERS D,PEPINSTER EAST BELG D,MM - DIVISION 4 D,
410286,2024-03-10,15:00,BC VERVIERS D,AVENIR JUPILLE B,MM - DIVISION 4 D,
410294,2024-03-17,15:00,ETOILE JUPILLE B,BC VERVIERS D,MM - DIVISION 4 D,
410341,2024-04-21,9:00,HENRI-CHAPELLE D,BC VERVIERS D,MM - DIVISION 4 D,
AW103127,2023-12-02,20:30,BC VERVIERS A,R LINTHOUT BC,MM - REGIONALE 2 B,
