Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
414063,2025-10-12,17:00,ROYALE US AWANS,RBC DISON-ANDRIMONT A,DD - DIVISION 2 A,
414077,2025-10-17,21:00,RBC BLEGNY B,ROYALE US AWANS,DD - DIVISION 2 A,
414032,2025-10-25,21:00,RBC STAVELOT,ROYALE US AWANS,DD - DIVISION 2 A,
414013,2025-11-02,17:00,ROYALE US AWANS,LA VILLERSOISE A,DD - DIVISION 2 A,
414103,2025-11-09,17:00,ROYALE US AWANS,ALL. FLEMALLE A,DD - DIVISION 2 A,
414112,2025-11-15,19:00,BC SPRIMONT B,ROYALE US AWANS,DD - DIVISION 2 A,
414123,2025-11-23,17:00,ROYALE US AWANS,RBC HANEFFE B,DD - DIVISION 2 A,
414143,2025-12-07,17:00,ROYALE US AWANS,ABC WAREMME A,DD - DIVISION 2 A,
414163,2025-12-21,17:00,ROYALE US AWANS,ROYAL BC NINANE A,DD - DIVISION 2 A,
414183,2026-01-04,17:00,ROYALE US AWANS,RBC BLEGNY B,DD - DIVISION 2 A,
414193,2026-01-11,17:00,ROYALE US AWANS,COLLEGE S LOUIS,DD - DIVISION 2 A,
414201,2026-01-18,13:00,LA VILLERSOISE A,ROYALE US AWANS,DD - DIVISION 2 A,
414213,2026-01-25,17:00,ROYALE US AWANS,RBC STAVELOT,DD - DIVISION 2 A,
414223,2026-02-01,17:00,ROYALE US AWANS,ATLAS A JUPILLE,DD - DIVISION 2 A,
414244,2026-02-07,19:00,RBC DISON-ANDRIMONT A,ROYALE US AWANS,DD - DIVISION 2 A,
414263,2026-03-01,17:00,ROYALE US AWANS,BC SPRIMONT B,DD - DIVISION 2 A,
414271,2026-03-08,13:00,ALL. FLEMALLE A,ROYALE US AWANS,DD - DIVISION 2 A,
414155,2026-03-14,21:00,PRAYON TROOZ B,ROYALE US AWANS,DD - DIVISION 2 A,
414295,2026-03-21,18:00,ABC WAREMME A,ROYALE US AWANS,DD - DIVISION 2 A,
414314,2026-04-05,14:00,RBC HANEFFE B,ROYALE US AWANS,DD - DIVISION 2 A,
414323,2026-04-12,17:00,ROYALE US AWANS,PRAYON TROOZ B,DD - DIVISION 2 A,
414336,2026-04-19,17:00,ROYAL BC NINANE A,ROYALE US AWANS,DD - DIVISION 2 A,
404063,2025-10-12,15:00,ROYALE US AWANS A,BC BELLEFLAMME E,MM - DIVISION 3 A,
404077,2025-10-25,18:30,HENRI-CHAPELLE B,ROYALE US AWANS A,MM - DIVISION 3 A,
404013,2025-11-02,15:00,ROYALE US AWANS A,ALL. FLEMALLE B,MM - DIVISION 3 A,
404103,2025-11-09,15:00,ROYALE US AWANS A,LA VILLERSOISE A,MM - DIVISION 3 A,
404112,2025-11-16,12:45,RJS GRIVEGNEE,ROYALE US AWANS A,MM - DIVISION 3 A,
404123,2025-11-23,15:00,ROYALE US AWANS A,RB TILFF C,MM - DIVISION 3 A,
404133,2025-11-29,21:00,AVENIR JUPILLE A,ROYALE US AWANS A,MM - DIVISION 3 A,
404143,2025-12-07,15:00,ROYALE US AWANS A,RB UNION LIEGE B,MM - DIVISION 3 A,
404155,2025-12-12,21:00,FLERON BBC B,ROYALE US AWANS A,MM - DIVISION 3 A,
404163,2025-12-21,15:00,ROYALE US AWANS A,R 4A AYWAILLE-HAMOIR C,MM - DIVISION 3 A,
404183,2026-01-04,15:00,ROYALE US AWANS A,HENRI-CHAPELLE B,MM - DIVISION 3 A,
404193,2026-01-11,15:00,ROYALE US AWANS A,HANNUT BC B,MM - DIVISION 3 A,
404201,2026-01-17,21:00,ALL. FLEMALLE B,ROYALE US AWANS A,MM - DIVISION 3 A,
404213,2026-01-25,15:00,ROYALE US AWANS A,ROYAL HERVE-BATTICE B,MM - DIVISION 3 A,
404223,2026-02-01,15:00,ROYALE US AWANS A,ROYAL BC WANZE C,MM - DIVISION 3 A,
404244,2026-02-15,13:00,BC BELLEFLAMME E,ROYALE US AWANS A,MM - DIVISION 3 A,
404263,2026-03-01,15:00,ROYALE US AWANS A,RJS GRIVEGNEE,MM - DIVISION 3 A,
404271,2026-03-08,17:00,LA VILLERSOISE A,ROYALE US AWANS A,MM - DIVISION 3 A,
404295,2026-03-21,20:30,RB UNION LIEGE B,ROYALE US AWANS A,MM - DIVISION 3 A,
404303,2026-03-29,15:00,ROYALE US AWANS A,AVENIR JUPILLE A,MM - DIVISION 3 A,
404314,2026-04-04,19:00,RB TILFF C,ROYALE US AWANS A,MM - DIVISION 3 A,
404323,2026-04-12,15:00,ROYALE US AWANS A,FLERON BBC B,MM - DIVISION 3 A,
404336,2026-04-18,19:00,R 4A AYWAILLE-HAMOIR C,ROYALE US AWANS A,MM - DIVISION 3 A,(Hall de Hamoir)
409063,2025-10-12,13:00,ROYALE US AWANS B,BC BELLEFLAMME F,MM - DIVISION 4 C,
