Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
413264,2024-02-25,17:00,US AWANS,BC COINTE A,DD - DIVISION 1,
413285,2024-03-13,21:00,BC BELLEFLAMME B,US AWANS,DD - DIVISION 1,
413294,2024-03-17,15:00,US AWANS,RBC HANEFFE B,DD - DIVISION 1,
413301,2024-03-24,13:00,RBC ALLEUR C,US AWANS,DD - DIVISION 1,
413342,2024-04-21,11:00,RABC ENSIVAL,US AWANS,DD - DIVISION 1,
413354,2024-04-28,15:00,US AWANS,R.UN.BELLAIRE A,DD - DIVISION 1,
404264,2024-02-25,15:00,US AWANS A,GIANTS BRAIVES A,MM - DIVISION 3 A,
404285,2024-03-09,19:00,ALL. FLEMALLE B,US AWANS A,MM - DIVISION 3 A,
404294,2024-03-17,17:00,US AWANS A,FLERON BBC,MM - DIVISION 3 A,
404301,2024-03-23,17:00,RB TILFF C,US AWANS A,MM - DIVISION 3 A,
404087,2024-04-09,20:00,ESNEUX S LOUIS UTD F,US AWANS A,MM - DIVISION 3 A,(Esneux)
404342,2024-04-21,15:00,ATLAS A JUPILLE C,US AWANS A,MM - DIVISION 3 A,
404354,2024-04-28,17:00,US AWANS A,HANNUT BC B,MM - DIVISION 3 A,
407264,2024-02-25,13:00,US AWANS B,ROYAL BC NINANE D,MM - DIVISION 4 A,
407285,2024-03-09,19:00,ABC WAREMME B,US AWANS B,MM - DIVISION 4 A,
407294,2024-03-17,13:00,US AWANS B,R HT-PRE OUGREE A,MM - DIVISION 4 A,
407301,2024-03-23,17:00,BC SPRIMONT D,US AWANS B,MM - DIVISION 4 A,
407354,2024-04-28,13:00,US AWANS B,BC COINTE C,MM - DIVISION 4 A,
