Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
417235,2024-02-04,12:30,ALL. FLEMALLE B,B. OTHEE CLUB,DD - DIVISION 3 B,
417246,2024-02-11,11:45,B. OTHEE CLUB,AVENIR JUPILLE B,DD - DIVISION 3 B,
417256,2024-02-18,11:45,B. OTHEE CLUB,RB UNION LIEGE,DD - DIVISION 3 B,
417263,2024-02-24,19:00,BC COINTE B,B. OTHEE CLUB,DD - DIVISION 3 B,
417282,2024-03-09,20:00,R.UN.BELLAIRE B,B. OTHEE CLUB,DD - DIVISION 3 B,
417296,2024-03-17,11:45,B. OTHEE CLUB,RBC BLEGNY D,DD - DIVISION 3 B,
417305,2024-03-24,16:30,CS OUTREMEUSE,B. OTHEE CLUB,DD - DIVISION 3 B,
417136,2024-03-28,20:00,B. OTHEE CLUB,GIANTS BRAIVES,DD - DIVISION 3 B,
417326,2024-04-07,11:45,B. OTHEE CLUB,HANNUT BC,DD - DIVISION 3 B,
417166,2024-04-11,20:00,B. OTHEE CLUB,RBC 4A AYWAILLE,DD - DIVISION 3 B,
417346,2024-04-21,11:45,B. OTHEE CLUB,BC BELLEFLAMME C,DD - DIVISION 3 B,
417351,2024-04-27,17:00,GIANTS BRAIVES,B. OTHEE CLUB,DD - DIVISION 3 B,
410246,2024-02-11,9:45,B. OTHEE CLUB,ETOILE JUPILLE B,MM - DIVISION 4 D,
410256,2024-02-18,9:45,B. OTHEE CLUB,BC VERVIERS D,MM - DIVISION 4 D,
410263,2024-02-24,17:00,HARIMALIA BC F,B. OTHEE CLUB,MM - DIVISION 4 D,
410166,2024-02-29,20:30,B. OTHEE CLUB,AVENIR JUPILLE B,MM - DIVISION 4 D,
410282,2024-03-10,15:00,RABC ENSIVAL D,B. OTHEE CLUB,MM - DIVISION 4 D,
410305,2024-03-23,19:00,BC BELLEFLAMME E,B. OTHEE CLUB,MM - DIVISION 4 D,
410326,2024-04-07,9:45,B. OTHEE CLUB,VAIL. JUPILLE C,MM - DIVISION 4 D,
410346,2024-04-21,9:45,B. OTHEE CLUB,PEPINSTER EAST BELG D,MM - DIVISION 4 D,
410351,2024-04-27,19:00,RB TILFF D,B. OTHEE CLUB,MM - DIVISION 4 D,
