Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
417122,2025-11-23,11:45,ROYAL BASKET OTHEE,ORP JAUCHE,DD - DIVISION 3 B,
417134,2025-11-30,14:00,RBC HANEFFE D,ROYAL BASKET OTHEE,DD - DIVISION 3 B,
417142,2025-12-07,11:45,ROYAL BASKET OTHEE,ALL. FLEMALLE B,DD - DIVISION 3 B,
417162,2025-12-21,11:00,UN HUY BASKET C,ROYAL BASKET OTHEE,DD - DIVISION 3 B,
417182,2026-01-04,11:45,ROYAL BASKET OTHEE,R HT-PRE OUGREE B,DD - DIVISION 3 B,
417222,2026-01-25,9:45,ROYAL BASKET OTHEE,GIANTS BRAIVES,DD - DIVISION 3 B,
417245,2026-02-14,18:45,BC VERLAINE B,ROYAL BASKET OTHEE,DD - DIVISION 3 B,
417262,2026-03-01,11:45,ROYAL BASKET OTHEE,RBC AWANS,DD - DIVISION 3 B,
417275,2026-03-08,11:00,REBOND NEUVILLE,ROYAL BASKET OTHEE,DD - DIVISION 3 B,
417291,2026-03-22,13:00,ALL. FLEMALLE B,ROYAL BASKET OTHEE,DD - DIVISION 3 B,
417302,2026-03-29,11:45,ROYAL BASKET OTHEE,RBC HANEFFE D,DD - DIVISION 3 B,
417317,2026-04-04,19:00,ORP JAUCHE,ROYAL BASKET OTHEE,DD - DIVISION 3 B,
417332,2026-04-19,11:45,ROYAL BASKET OTHEE,UN HUY BASKET C,DD - DIVISION 3 B,
410122,2025-11-23,9:45,ROYAL BASKET OTHEE,BCM HERSTAL C,MM - DIVISION 4 D,
410134,2025-11-29,19:00,BC COINTE D,ROYAL BASKET OTHEE,MM - DIVISION 4 D,
410142,2025-12-07,9:45,ROYAL BASKET OTHEE,HARIMALIA BC E,MM - DIVISION 4 D,
410156,2025-12-13,21:00,R HT-PRE OUGREE B,ROYAL BASKET OTHEE,MM - DIVISION 4 D,
410162,2025-12-21,15:00,UN HUY BASKET B,ROYAL BASKET OTHEE,MM - DIVISION 4 D,
410182,2026-01-04,9:45,ROYAL BASKET OTHEE,GIANTS BRAIVES B,MM - DIVISION 4 D,
410192,2026-01-11,9:45,ROYAL BASKET OTHEE,BC TORES LIEGE,MM - DIVISION 4 D,
410207,2026-01-17,19:00,ORP JAUCHE B,ROYAL BASKET OTHEE,MM - DIVISION 4 D,
410213,2026-01-24,21:00,RBC AWANS C,ROYAL BASKET OTHEE,MM - DIVISION 4 D,
410222,2026-02-01,9:45,ROYAL BASKET OTHEE,ALL. FLEMALLE E,MM - DIVISION 4 D,
410113,2026-02-08,16:00,ROYAL ANS BC A,ROYAL BASKET OTHEE,MM - DIVISION 4 D,
410245,2026-02-14,17:00,RB TILFF D,ROYAL BASKET OTHEE,MM - DIVISION 4 D,
410262,2026-03-01,9:45,ROYAL BASKET OTHEE,ROYAL ANS BC A,MM - DIVISION 4 D,
410275,2026-03-08,13:00,CRISTAL SGH E,ROYAL BASKET OTHEE,MM - DIVISION 4 D,
410291,2026-03-22,11:00,HARIMALIA BC E,ROYAL BASKET OTHEE,MM - DIVISION 4 D,
410302,2026-03-29,9:45,ROYAL BASKET OTHEE,BC COINTE D,MM - DIVISION 4 D,
410317,2026-04-04,18:30,BCM HERSTAL C,ROYAL BASKET OTHEE,MM - DIVISION 4 D,
410322,2026-04-12,9:45,ROYAL BASKET OTHEE,R HT-PRE OUGREE B,MM - DIVISION 4 D,
410332,2026-04-19,9:45,ROYAL BASKET OTHEE,UN HUY BASKET B,MM - DIVISION 4 D,
