Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
262,2023-11-04,18:00,ECLAIRS ¨PONT-DE-LOUP (+ 5,HERVE-BATTICE A,COUPE AWBB DAMES,
413043,2023-09-23,19:00,HERVE-BATTICE B,BC COINTE A,DD - DIVISION 1,
413053,2023-09-30,19:00,HERVE-BATTICE B,PEPINSTER EAST BELG B,DD - DIVISION 1,
413064,2023-10-08,17:00,US AWANS,HERVE-BATTICE B,DD - DIVISION 1,
413073,2023-10-14,19:00,HERVE-BATTICE B,RBC HANEFFE B,DD - DIVISION 1,
413085,2023-10-21,21:00,BC BELLEFLAMME B,HERVE-BATTICE B,DD - DIVISION 1,
413111,2023-11-12,15:00,RBC ALLEUR C,HERVE-BATTICE B,DD - DIVISION 1,
413123,2023-11-18,21:00,HERVE-BATTICE B,RABC ENSIVAL,DD - DIVISION 1,
413134,2023-11-25,17:00,ROYAL SPA BC A,HERVE-BATTICE B,DD - DIVISION 1,
413143,2023-12-02,18:00,HERVE-BATTICE B,RBC AUBEL,DD - DIVISION 1,
413153,2023-12-09,17:00,HERVE-BATTICE B,R.UN.BELLAIRE A,DD - DIVISION 1,
413166,2023-12-16,19:00,R HT-PRE OUGREE A,HERVE-BATTICE B,DD - DIVISION 1,
413193,2024-01-06,19:00,HERVE-BATTICE B,US AWANS,DD - DIVISION 1,
413205,2024-01-14,13:00,RBC AUBEL,HERVE-BATTICE B,DD - DIVISION 1,
413213,2024-01-20,18:00,HERVE-BATTICE B,R HT-PRE OUGREE A,DD - DIVISION 1,
413233,2024-02-03,19:00,HERVE-BATTICE B,COLLEGE S LOUIS,DD - DIVISION 1,
413247,2024-02-09,19:00,RBC BLEGNY A,HERVE-BATTICE B,DD - DIVISION 1,
413252,2024-02-17,17:00,BC COINTE A,HERVE-BATTICE B,DD - DIVISION 1,
413267,2024-02-25,15:00,PEPINSTER EAST BELG B,HERVE-BATTICE B,DD - DIVISION 1,
413286,2024-03-09,18:00,RBC HANEFFE B,HERVE-BATTICE B,DD - DIVISION 1,
413293,2024-03-16,19:00,HERVE-BATTICE B,RBC ALLEUR C,DD - DIVISION 1,
413302,2024-03-24,11:00,RABC ENSIVAL,HERVE-BATTICE B,DD - DIVISION 1,
413323,2024-04-07,11:00,HERVE-BATTICE B,BC BELLEFLAMME B,DD - DIVISION 1,
413343,2024-04-20,18:00,R.UN.BELLAIRE A,HERVE-BATTICE B,DD - DIVISION 1,
413353,2024-04-27,19:00,HERVE-BATTICE B,ROYAL SPA BC A,DD - DIVISION 1,
415053,2023-09-30,17:00,HERVE-BATTICE C,HENRI-CHAPELLE B,DD - DIVISION 2 B,
415073,2023-10-14,17:00,HERVE-BATTICE C,LA VILLERSOISE,DD - DIVISION 2 B,
415064,2023-11-05,13:00,ROYAL ANS BC,HERVE-BATTICE C,DD - DIVISION 2 B,
415111,2023-11-10,20:00,MAIL. COMBLAIN,HERVE-BATTICE C,DD - DIVISION 2 B,
415123,2023-11-18,17:00,HERVE-BATTICE C,RBC HANEFFE C,DD - DIVISION 2 B,
415134,2023-11-25,20:30,VAIL. JUPILLE,HERVE-BATTICE C,DD - DIVISION 2 B,
415252,2023-12-02,20:00,ABC WAREMME A,HERVE-BATTICE C,DD - DIVISION 2 B,
415153,2023-12-09,19:00,HERVE-BATTICE C,BC VERLAINE B,DD - DIVISION 2 B,
415085,2023-12-17,17:00,RBC VISE,HERVE-BATTICE C,DD - DIVISION 2 B,
415193,2024-01-06,17:00,HERVE-BATTICE C,ROYAL ANS BC,DD - DIVISION 2 B,
415233,2024-02-03,17:00,HERVE-BATTICE C,RBC CROATIA OUPEYE,DD - DIVISION 2 B,
415247,2024-02-11,9:00,PEPINSTER EAST BELG C,HERVE-BATTICE C,DD - DIVISION 2 B,
415043,2024-02-18,15:00,HERVE-BATTICE C,ABC WAREMME A,DD - DIVISION 2 B,
415267,2024-02-25,13:00,HENRI-CHAPELLE B,HERVE-BATTICE C,DD - DIVISION 2 B,
415286,2024-03-10,13:00,LA VILLERSOISE,HERVE-BATTICE C,DD - DIVISION 2 B,
415293,2024-03-16,17:00,HERVE-BATTICE C,MAIL. COMBLAIN,DD - DIVISION 2 B,
415302,2024-03-23,21:00,RBC HANEFFE C,HERVE-BATTICE C,DD - DIVISION 2 B,
415323,2024-04-07,13:00,HERVE-BATTICE C,RBC VISE,DD - DIVISION 2 B,
415343,2024-04-21,17:00,BC VERLAINE B,HERVE-BATTICE C,DD - DIVISION 2 B,
415353,2024-04-27,17:00,HERVE-BATTICE C,VAIL. JUPILLE,DD - DIVISION 2 B,
AW104033,2023-09-23,21:00,HERVE-BATTICE,NAMUR CAPITALE,DD - REGIONALE 1,
AW104043,2023-09-30,21:00,HERVE-BATTICE,ROYAL BC CINEY,DD - REGIONALE 1,
AW104054,2023-10-07,18:00,BCCA NEUFCHATEAU,HERVE-BATTICE,DD - REGIONALE 1,
AW104063,2023-10-14,21:00,HERVE-BATTICE,MONS CAPITALE,DD - REGIONALE 1,
AW104075,2023-10-22,17:00,UN HUY BASKET A,HERVE-BATTICE,DD - REGIONALE 1,
AW104091,2023-11-11,17:00,CEP LADIES BASKETBALL,HERVE-BATTICE,DD - REGIONALE 1,
AW104083,2023-11-18,19:00,HERVE-BATTICE,BC BONINNE,DD - REGIONALE 1,
AW104114,2023-11-26,11:15,BC LA RULLES,HERVE-BATTICE,DD - REGIONALE 1,
AW104123,2023-12-03,13:00,HERVE-BATTICE,REBOND OTTIGNIES,DD - REGIONALE 1,
AW104103,2023-12-09,21:00,HERVE-BATTICE,ATLAS A JUPILLE A,DD - REGIONALE 1,
AW104136,2023-12-16,19:00,RCS NATOYE,HERVE-BATTICE,DD - REGIONALE 1,
AW104263,2024-01-13,20:30,HERVE-BATTICE,RCS NATOYE,DD - REGIONALE 1,
AW104255,2024-01-21,15:00,REBOND OTTIGNIES,HERVE-BATTICE,DD - REGIONALE 1,
AW104153,2024-02-03,21:00,HERVE-BATTICE,LIEGE PANTHERS B,DD - REGIONALE 1,
AW104147,2024-02-11,15:00,PEPINSTER EAST BELG,HERVE-BATTICE,DD - REGIONALE 1,
AW104162,2024-02-17,17:30,NAMUR CAPITALE,HERVE-BATTICE,DD - REGIONALE 1,
AW104177,2024-02-24,18:30,ROYAL BC CINEY,HERVE-BATTICE,DD - REGIONALE 1,
AW104183,2024-03-02,21:00,HERVE-BATTICE,BCCA NEUFCHATEAU,DD - REGIONALE 1,
AW104196,2024-03-09,18:30,MONS CAPITALE,HERVE-BATTICE,DD - REGIONALE 1,
AW104212,2024-03-17,13:00,BC BONINNE,HERVE-BATTICE,DD - REGIONALE 1,
AW104203,2024-04-07,15:00,HERVE-BATTICE,UN HUY BASKET A,DD - REGIONALE 1,
AW104223,2024-04-13,21:00,HERVE-BATTICE,CEP LADIES BASKETBALL,DD - REGIONALE 1,
AW104233,2024-04-20,21:00,ATLAS A JUPILLE A,HERVE-BATTICE,DD - REGIONALE 1,
AW104243,2024-04-27,21:00,HERVE-BATTICE,BC LA RULLES,DD - REGIONALE 1,
403041,2023-09-23,18:30,MAIL. COMBLAIN B,HERVE-BATTICE A,MM - DIVISION 2 B,
403063,2023-10-08,13:00,HARIMALIA BC A,HERVE-BATTICE A,MM - DIVISION 2 B,
403075,2023-10-14,19:00,RBC VISE A,HERVE-BATTICE A,MM - DIVISION 2 B,
403084,2023-10-21,20:30,HERVE-BATTICE A,LA VILLERSOISE A,MM - DIVISION 2 B,
403114,2023-11-11,20:30,HERVE-BATTICE A,RBC STAVELOT A,MM - DIVISION 2 B,
403127,2023-11-17,21:00,BC REVEIL A,HERVE-BATTICE A,MM - DIVISION 2 B,
403134,2023-11-25,20:30,HERVE-BATTICE A,BC COINTE B,MM - DIVISION 2 B,
403144,2023-12-02,19:00,RBC CROATIA OUPEYE A,HERVE-BATTICE A,MM - DIVISION 2 B,
403151,2023-12-10,10:45,ESNEUX S LOUIS UTD E,HERVE-BATTICE A,MM - DIVISION 2 B,(Collège Saint-Louis)
403164,2023-12-17,11:00,HERVE-BATTICE A,BC VERVIERS B,MM - DIVISION 2 B,
403194,2024-01-07,13:00,HERVE-BATTICE A,HARIMALIA BC A,MM - DIVISION 2 B,
403204,2024-01-14,15:00,HERVE-BATTICE A,RBC CROATIA OUPEYE A,MM - DIVISION 2 B,
403217,2024-01-21,17:00,BC VERVIERS B,HERVE-BATTICE A,MM - DIVISION 2 B,
403236,2024-02-04,13:00,RSW LIEGE BASKET D,HERVE-BATTICE A,MM - DIVISION 2 B,
403244,2024-02-10,20:30,HERVE-BATTICE A,ALL. FLEMALLE A,MM - DIVISION 2 B,
403254,2024-02-18,13:00,HERVE-BATTICE A,MAIL. COMBLAIN B,MM - DIVISION 2 B,
403262,2024-02-25,13:00,THEUX BC A,HERVE-BATTICE A,MM - DIVISION 2 B,
403284,2024-03-10,13:00,HERVE-BATTICE A,RBC VISE A,MM - DIVISION 2 B,
403292,2024-03-16,19:00,RBC STAVELOT A,HERVE-BATTICE A,MM - DIVISION 2 B,
403304,2024-03-23,20:30,HERVE-BATTICE A,BC REVEIL A,MM - DIVISION 2 B,
403326,2024-04-06,21:00,LA VILLERSOISE A,HERVE-BATTICE A,MM - DIVISION 2 B,
