Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
205,2024-09-11,20:00,R ECLAIRS PONT-DE-LOUP,ROYAL HERVE-BATTICE,CPE BELG DAMES,
760543,2024-09-29,11:00,ROYAL SPA BC A,ROYAL HERVE-BATTICE C (+ 1,CPE PROV DAMES,
764117,2024-09-01,11:00,RBC ALLEUR A,ROYAL HERVE-BATTICE B,CPE PROV PUPILLES MM,
413013,2024-09-01,14:00,RABC ENSIVAL,ROYAL HERVE-BATTICE C,DD - DIVISION 1,(Hall du Paire)
413027,2024-09-07,19:00,ROYAL HERVE-BATTICE C,R HT-PRE OUGREE A,DD - DIVISION 1,
413032,2024-09-15,17:00,RBC AUBEL,ROYAL HERVE-BATTICE C,DD - DIVISION 1,
413215,2024-09-21,17:00,ROYAL SPA BC A,ROYAL HERVE-BATTICE C,DD - DIVISION 1,
413067,2024-10-05,19:00,ROYAL HERVE-BATTICE C,PEPINSTER EAST BELG B,DD - DIVISION 1,
413072,2024-10-13,14:00,RBC ESNEUX B,ROYAL HERVE-BATTICE C,DD - DIVISION 1,
413254,2024-10-20,13:00,ROYALE US AWANS,ROYAL HERVE-BATTICE C,DD - DIVISION 1,
413111,2024-11-09,20:00,COLLEGE S LOUIS,ROYAL HERVE-BATTICE C,DD - DIVISION 1,
413127,2024-11-16,17:00,ROYAL HERVE-BATTICE C,RBC ALLEUR C,DD - DIVISION 1,
413135,2024-11-23,21:00,RBC CROATIA OUPEYE,ROYAL HERVE-BATTICE C,DD - DIVISION 1,
413157,2024-12-08,13:00,ROYAL HERVE-BATTICE C,R.UN.BELLAIRE A,DD - DIVISION 1,
413164,2024-12-15,11:00,HENRI-CHAPELLE A,ROYAL HERVE-BATTICE C,DD - DIVISION 1,
413177,2024-12-22,13:00,ROYAL HERVE-BATTICE C,RBC BLEGNY A,DD - DIVISION 1,
413197,2025-01-05,13:00,PEPINSTER EAST BELG B,ROYAL HERVE-BATTICE C,DD - DIVISION 1,
413207,2025-01-12,15:00,ROYAL HERVE-BATTICE C,RBC AUBEL,DD - DIVISION 1,
413047,2025-01-18,17:00,ROYAL HERVE-BATTICE C,ROYAL SPA BC A,DD - DIVISION 1,
413227,2025-01-25,17:00,ROYAL HERVE-BATTICE C,RABC ENSIVAL,DD - DIVISION 1,
413247,2025-02-08,19:00,ROYAL HERVE-BATTICE C,RBC ESNEUX B,DD - DIVISION 1,
413087,2025-02-16,13:00,ROYAL HERVE-BATTICE C,ROYALE US AWANS,DD - DIVISION 1,
413263,2025-02-22,19:00,R HT-PRE OUGREE A,ROYAL HERVE-BATTICE C,DD - DIVISION 1,
413287,2025-03-09,13:00,ROYAL HERVE-BATTICE C,COLLEGE S LOUIS,DD - DIVISION 1,
413306,2025-03-22,18:30,RBC ALLEUR C,ROYAL HERVE-BATTICE C,DD - DIVISION 1,
413316,2025-03-29,18:00,R.UN.BELLAIRE A,ROYAL HERVE-BATTICE C,DD - DIVISION 1,
413321,2025-04-04,19:00,RBC BLEGNY A,ROYAL HERVE-BATTICE C,DD - DIVISION 1,
413337,2025-04-13,15:00,ROYAL HERVE-BATTICE C,HENRI-CHAPELLE A,DD - DIVISION 1,
413347,2025-04-20,13:00,ROYAL HERVE-BATTICE C,RBC CROATIA OUPEYE,DD - DIVISION 1,
418013,2024-08-31,19:00,R HT-PRE OUGREE B,ROYAL HERVE-BATTICE C,DD - DIVISION 3 C,
418027,2024-09-07,17:00,ROYAL HERVE-BATTICE C,ROYAL BASKET OTHEE,DD - DIVISION 3 C,
418032,2024-09-14,20:00,ABC WAREMME C,ROYAL HERVE-BATTICE C,DD - DIVISION 3 C,
418111,2024-11-10,16:30,CS OUTREMEUSE,ROYAL HERVE-BATTICE C,DD - DIVISION 3 C,
418135,2024-11-23,19:00,RBC AWANS B,ROYAL HERVE-BATTICE C,DD - DIVISION 3 C,
418072,2024-12-01,14:00,RBC HANEFFE D,ROYAL HERVE-BATTICE C,DD - DIVISION 3 C,
418157,2024-12-07,17:00,ROYAL HERVE-BATTICE C,ALL. FLEMALLE C,DD - DIVISION 3 C,
418164,2024-12-14,17:00,ROYAL BC NINANE B,ROYAL HERVE-BATTICE C,DD - DIVISION 3 C,
418177,2024-12-21,17:00,ROYAL HERVE-BATTICE C,BC SPRIMONT C,DD - DIVISION 3 C,
418207,2025-01-11,17:00,ROYAL HERVE-BATTICE C,ABC WAREMME C,DD - DIVISION 3 C,
418227,2025-01-25,19:00,ROYAL HERVE-BATTICE C,R HT-PRE OUGREE B,DD - DIVISION 3 C,
418247,2025-02-08,17:00,ROYAL HERVE-BATTICE C,RBC HANEFFE D,DD - DIVISION 3 C,
418263,2025-02-23,11:45,ROYAL BASKET OTHEE,ROYAL HERVE-BATTICE C,DD - DIVISION 3 C,
418287,2025-03-08,17:00,ROYAL HERVE-BATTICE C,CS OUTREMEUSE,DD - DIVISION 3 C,
418316,2025-03-30,13:00,ALL. FLEMALLE C,ROYAL HERVE-BATTICE C,DD - DIVISION 3 C,
418321,2025-04-05,21:00,BC SPRIMONT C,ROYAL HERVE-BATTICE C,DD - DIVISION 3 C,
418337,2025-04-13,17:00,ROYAL HERVE-BATTICE C,ROYAL BC NINANE B,DD - DIVISION 3 C,
418347,2025-04-19,17:00,ROYAL HERVE-BATTICE C,RBC AWANS B,DD - DIVISION 3 C,
AW104024,2024-08-31,19:00,RCS NATOYE,HERVE-BATTICE A,DD - REGIONALE 1,
AW104009,2024-09-14,18:00,PDL CHARLEROI,HERVE-BATTICE A,DD - REGIONALE 1,
AW104021,2024-09-21,19:00,HERVE-BATTICE A,CASTORS BRAINE B,DD - REGIONALE 1,
AW104007,2024-09-29,15:00,HERVE-BATTICE A,BC LA RULLES,DD - REGIONALE 1,
AW104035,2024-10-06,13:00,HERVE-BATTICE A,NAMUR CAPITALE B,DD - REGIONALE 1,
AW104037,2024-10-13,15:00,BC BONINNE A,HERVE-BATTICE A,DD - REGIONALE 1,
AW104049,2024-10-20,13:00,HERVE-BATTICE A,UN HUY BASKET A,DD - REGIONALE 1,
AW104169,2024-11-03,17:00,PEPINSTER EAST BELG A,HERVE-BATTICE A,DD - REGIONALE 1,
AW104050,2024-11-10,16:00,LIEGE PANTHERS B,HERVE-BATTICE A,DD - REGIONALE 1,
AW104063,2024-11-16,19:00,HERVE-BATTICE A,ATLAS A JUPILLE A,DD - REGIONALE 1,
AW104068,2024-11-23,17:00,LADIES CHARLEROI B,HERVE-BATTICE A,DD - REGIONALE 1,
AW104077,2024-12-08,15:00,HERVE-BATTICE A,REBOND OTTIGNIES A,DD - REGIONALE 1,
AW104088,2024-12-14,18:15,ROYAL BC CINEY,HERVE-BATTICE A,DD - REGIONALE 1,
AW104084,2024-12-22,15:00,HERVE-BATTICE A,PEPINSTER EAST BELG A,DD - REGIONALE 1,
AW104105,2025-01-12,13:00,HERVE-BATTICE A,PDL CHARLEROI,DD - REGIONALE 1,
AW104110,2025-01-18,21:00,CASTORS BRAINE B,HERVE-BATTICE A,DD - REGIONALE 1,
AW104119,2025-01-26,13:00,HERVE-BATTICE A,RCS NATOYE,DD - REGIONALE 1,
AW104126,2025-02-01,17:30,NAMUR CAPITALE B,HERVE-BATTICE A,DD - REGIONALE 1,
AW104133,2025-02-08,21:00,HERVE-BATTICE A,BC BONINNE A,DD - REGIONALE 1,
AW104094,2025-02-22,18:00,BC LA RULLES,HERVE-BATTICE A,DD - REGIONALE 1,
AW104137,2025-03-01,18:00,UN HUY BASKET A,HERVE-BATTICE A,DD - REGIONALE 1,
AW104147,2025-03-08,21:00,HERVE-BATTICE A,LIEGE PANTHERS B,DD - REGIONALE 1,
AW104153,2025-03-16,10:00,ATLAS A JUPILLE A,HERVE-BATTICE A,DD - REGIONALE 1,
AW104167,2025-03-30,15:00,REBOND OTTIGNIES A,HERVE-BATTICE A,DD - REGIONALE 1,
AW104182,2025-04-13,13:00,HERVE-BATTICE A,ROYAL BC CINEY,DD - REGIONALE 1,
AW104161,2025-04-26,21:00,HERVE-BATTICE A,LADIES CHARLEROI B,DD - REGIONALE 1,
AW105003,2024-09-07,17:00,RCS NATOYE,HERVE-BATTICE B,DD - REGIONALE 2 A,
AW105014,2024-09-15,17:00,HERVE-BATTICE B,BC BONINNE B,DD - REGIONALE 2 A,
AW105019,2024-09-20,20:00,GANSHOREN DAMES,HERVE-BATTICE B,DD - REGIONALE 2 A,
AW105042,2024-09-29,17:00,HERVE-BATTICE B,BC BELLEFLAMME A,DD - REGIONALE 2 A,
AW105035,2024-10-04,20:30,RBC ALLEUR A,HERVE-BATTICE B,DD - REGIONALE 2 A,
AW105056,2024-11-02,17:00,HERVE-BATTICE B,UN HUY BASKET B,DD - REGIONALE 2 A,
AW105061,2024-11-17,12:00,CANTER SCHAERBEEK A,HERVE-BATTICE B,DD - REGIONALE 2 A,
AW105070,2024-11-24,15:00,HERVE-BATTICE B,MONS CAPITALE,DD - REGIONALE 2 A,
AW105072,2024-12-07,19:00,RBC HANEFFE A,HERVE-BATTICE B,DD - REGIONALE 2 A,
AW105091,2024-12-15,13:00,HERVE-BATTICE B,LIEGE PANTHERS C,DD - REGIONALE 2 A,
AW105078,2024-12-21,17:00,BC COINTE,HERVE-BATTICE B,DD - REGIONALE 2 A,
AW105100,2025-01-11,18:00,BC BONINNE B,HERVE-BATTICE B,DD - REGIONALE 2 A,
AW105112,2025-01-19,13:00,HERVE-BATTICE B,GANSHOREN DAMES,DD - REGIONALE 2 A,
AW105118,2025-01-25,20:45,PROFONDEVILLE SHARKS,HERVE-BATTICE B,DD - REGIONALE 2 A,
AW105126,2025-02-02,13:00,HERVE-BATTICE B,RBC ALLEUR A,DD - REGIONALE 2 A,
AW105129,2025-02-09,15:00,BC BELLEFLAMME A,HERVE-BATTICE B,DD - REGIONALE 2 A,
AW105098,2025-02-23,13:00,HERVE-BATTICE B,RCS NATOYE,DD - REGIONALE 2 A,
AW105144,2025-03-09,17:00,UN HUY BASKET B,HERVE-BATTICE B,DD - REGIONALE 2 A,
AW105154,2025-03-15,17:00,HERVE-BATTICE B,CANTER SCHAERBEEK A,DD - REGIONALE 2 A,
AW105028,2025-03-22,17:00,HERVE-BATTICE B,PROFONDEVILLE SHARKS,DD - REGIONALE 2 A,
AW105168,2025-03-29,17:00,HERVE-BATTICE B,RBC HANEFFE A,DD - REGIONALE 2 A,
AW105175,2025-04-06,13:00,HERVE-BATTICE B,BC COINTE,DD - REGIONALE 2 A,
AW105179,2025-04-12,20:30,LIEGE PANTHERS C,HERVE-BATTICE B,DD - REGIONALE 2 A,
AW105160,2025-04-27,13:00,MONS CAPITALE,HERVE-BATTICE B,DD - REGIONALE 2 A,
403013,2024-08-31,17:00,BC COINTE B,ROYAL HERVE-BATTICE A,MM - DIVISION 2 B,
403027,2024-09-08,11:00,ROYAL HERVE-BATTICE A,RBC AUBEL B,MM - DIVISION 2 B,
403032,2024-09-15,15:00,HARIMALIA BC C,ROYAL HERVE-BATTICE A,MM - DIVISION 2 B,
403047,2024-09-21,21:00,ROYAL HERVE-BATTICE A,RBC AWANS A,MM - DIVISION 2 B,
403067,2024-10-06,15:00,ROYAL HERVE-BATTICE A,RBC ALLEUR C,MM - DIVISION 2 B,
403087,2024-10-20,11:00,ROYAL HERVE-BATTICE A,UN HUY BASKET A,MM - DIVISION 2 B,
403072,2024-10-27,11:30,ROYAL MOSA AC 1941,ROYAL HERVE-BATTICE A,MM - DIVISION 2 B,
403111,2024-11-09,19:00,RBC STAVELOT A,ROYAL HERVE-BATTICE A,MM - DIVISION 2 B,
403127,2024-11-17,11:00,ROYAL HERVE-BATTICE A,PRAYON TROOZ A,MM - DIVISION 2 B,
403135,2024-11-23,19:00,RBC VISE B,ROYAL HERVE-BATTICE A,MM - DIVISION 2 B,
403164,2024-12-15,16:00,ESL UNITED D,ROYAL HERVE-BATTICE A,MM - DIVISION 2 B,
403177,2024-12-22,11:00,ROYAL HERVE-BATTICE A,LA SPECIALE,MM - DIVISION 2 B,
403197,2025-01-05,13:00,RBC ALLEUR C,ROYAL HERVE-BATTICE A,MM - DIVISION 2 B,
403207,2025-01-12,11:00,ROYAL HERVE-BATTICE A,HARIMALIA BC C,MM - DIVISION 2 B,
403215,2025-01-18,21:00,RBC AWANS A,ROYAL HERVE-BATTICE A,MM - DIVISION 2 B,
403227,2025-01-26,11:00,ROYAL HERVE-BATTICE A,BC COINTE B,MM - DIVISION 2 B,
403247,2025-02-09,11:00,ROYAL HERVE-BATTICE A,ROYAL MOSA AC 1941,MM - DIVISION 2 B,
403263,2025-02-23,13:00,RBC AUBEL B,ROYAL HERVE-BATTICE A,MM - DIVISION 2 B,
403254,2025-03-01,20:00,UN HUY BASKET A,ROYAL HERVE-BATTICE A,MM - DIVISION 2 B,
403287,2025-03-09,11:00,ROYAL HERVE-BATTICE A,RBC STAVELOT A,MM - DIVISION 2 B,
403306,2025-03-15,17:00,PRAYON TROOZ A,ROYAL HERVE-BATTICE A,MM - DIVISION 2 B,
403321,2025-04-05,19:00,LA SPECIALE,ROYAL HERVE-BATTICE A,MM - DIVISION 2 B,
403337,2025-04-12,17:00,ROYAL HERVE-BATTICE A,ESL UNITED D,MM - DIVISION 2 B,
403347,2025-04-20,11:00,ROYAL HERVE-BATTICE A,RBC VISE B,MM - DIVISION 2 B,
404023,2024-09-07,19:00,BC BELLEFLAMME D,ROYAL HERVE-BATTICE B,MM - DIVISION 3 A,
404045,2024-09-21,17:00,RBC VISE C,ROYAL HERVE-BATTICE B,MM - DIVISION 3 A,
404067,2024-10-04,21:00,BC REVEIL A,ROYAL HERVE-BATTICE B,MM - DIVISION 3 A,
404077,2024-10-12,21:00,ROYAL HERVE-BATTICE B,RBC HANEFFE B,MM - DIVISION 3 A,
404081,2024-10-19,17:00,RB TILFF C,ROYAL HERVE-BATTICE B,MM - DIVISION 3 A,
404125,2024-11-16,18:30,HANNUT BC B,ROYAL HERVE-BATTICE B,MM - DIVISION 3 A,
404137,2024-11-24,17:00,ROYAL HERVE-BATTICE B,R.UN.BELLAIRE B,MM - DIVISION 3 A,
404152,2024-12-07,19:00,R 4A AYWAILLE-HAMOIR B,ROYAL HERVE-BATTICE B,MM - DIVISION 3 A,(Hall d'Hamoir)
404167,2024-12-14,21:00,ROYAL HERVE-BATTICE B,ROYAL BC NINANE C,MM - DIVISION 3 A,
404171,2024-12-21,21:00,RBC STAVELOT B,ROYAL HERVE-BATTICE B,MM - DIVISION 3 A,
404197,2025-01-04,21:00,ROYAL HERVE-BATTICE B,BC REVEIL A,MM - DIVISION 3 A,
404037,2025-01-12,17:00,ROYAL HERVE-BATTICE B,ROYAL ANS BC A,MM - DIVISION 3 A,
404217,2025-01-19,15:00,ROYAL HERVE-BATTICE B,RBC VISE C,MM - DIVISION 3 A,
404226,2025-01-26,18:00,LA VILLERSOISE C,ROYAL HERVE-BATTICE B,MM - DIVISION 3 A,
404017,2025-02-02,15:00,ROYAL HERVE-BATTICE B,LA VILLERSOISE C,MM - DIVISION 3 A,
404243,2025-02-08,19:00,RBC HANEFFE B,ROYAL HERVE-BATTICE B,MM - DIVISION 3 A,
404257,2025-02-16,15:00,ROYAL HERVE-BATTICE B,RB TILFF C,MM - DIVISION 3 A,
404267,2025-02-22,21:00,ROYAL HERVE-BATTICE B,BC BELLEFLAMME D,MM - DIVISION 3 A,
404202,2025-03-01,20:30,ROYAL ANS BC A,ROYAL HERVE-BATTICE B,MM - DIVISION 3 A,
404284,2025-03-08,17:00,BC VERVIERS C,ROYAL HERVE-BATTICE B,MM - DIVISION 3 A,
404117,2025-03-15,19:00,ROYAL HERVE-BATTICE B,BC VERVIERS C,MM - DIVISION 3 A,
