Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
406203,2025-01-12,11:30,BC SANKT VITH,R REN. MONTEGNEE A,MM - DIVISION 3 C,
406212,2025-01-17,21:00,RBC BLEGNY B,BC SANKT VITH,MM - DIVISION 3 C,
406227,2025-01-25,21:00,ROYAL SPA BC C,BC SANKT VITH,MM - DIVISION 3 C,
406166,2025-02-06,19:00,R 4A AYWAILLE-HAMOIR A,BC SANKT VITH,MM - DIVISION 3 C,(Hall d'Hamoir)
406246,2025-02-09,11:00,THEUX BC B,BC SANKT VITH,MM - DIVISION 3 C,
406253,2025-02-14,21:00,BC SANKT VITH,ROYALE US AWANS A,MM - DIVISION 3 C,
406267,2025-02-23,15:00,BC VERLAINE A,BC SANKT VITH,MM - DIVISION 3 C,
406282,2025-03-08,18:00,ABC WAREMME B,BC SANKT VITH,MM - DIVISION 3 C,
406303,2025-03-21,21:00,BC SANKT VITH,BC SPRIMONT C,MM - DIVISION 3 C,
406313,2025-03-28,21:00,BC SANKT VITH,VAIL. JUPILLE B,MM - DIVISION 3 C,
406325,2025-04-06,11:00,ESL UNITED F,BC SANKT VITH,MM - DIVISION 3 C,
406333,2025-04-13,11:30,BC SANKT VITH,R 4A AYWAILLE-HAMOIR A,MM - DIVISION 3 C,
406343,2025-04-19,19:00,HARIMALIA BC D,BC SANKT VITH,MM - DIVISION 3 C,
526203,2025-01-11,11:30,BC SANKT VITH,PEPINSTER EAST BELG C,U 10 - MM G,
526212,2025-01-18,9:00,RBC BLEGNY,BC SANKT VITH,U 10 - MM G,
526284,2025-03-08,16:00,HENRI-CHAPELLE B,BC SANKT VITH,U 10 - MM G,
526303,2025-03-22,11:30,BC SANKT VITH,BCM HERSTAL,U 10 - MM G,
526313,2025-03-29,11:30,BC SANKT VITH,ROYAL SPA BC A,U 10 - MM G,
526325,2025-04-06,17:00,RBC VISE C,BC SANKT VITH,U 10 - MM G,
526333,2025-04-12,11:30,BC SANKT VITH,ROYAL BC NINANE,U 10 - MM G,
505203,2025-01-11,13:00,BC SANKT VITH,BC SPRIMONT C,U 12 - MM F,
505212,2025-01-18,10:30,HENRI-CHAPELLE C,BC SANKT VITH,U 12 - MM F,
505226,2025-01-25,9:00,ROYAL SPA BC B,BC SANKT VITH,U 12 - MM F,
505253,2025-02-15,13:00,BC SANKT VITH,RABC ENSIVAL C,U 12 - MM F,
505266,2025-02-22,9:30,DISON-ANDRIMONT B,BC SANKT VITH,U 12 - MM F,
505303,2025-03-22,13:00,BC SANKT VITH,COLLEGE S LOUIS B,U 12 - MM F,
505313,2025-03-29,13:00,BC SANKT VITH,RBC AUBEL,U 12 - MM F,
505325,2025-04-06,13:00,RB TILFF B,BC SANKT VITH,U 12 - MM F,
505333,2025-04-12,13:00,BC SANKT VITH,RBC ESNEUX B,U 12 - MM F,
441203,2025-01-11,15:00,BC SANKT VITH,RBC STAVELOT,U 18 - PROV MM B,
441212,2025-01-19,10:00,BBC EUPEN,BC SANKT VITH,U 18 - PROV MM B,
441226,2025-01-26,15:00,ALL. FLEMALLE B,BC SANKT VITH,U 18 - PROV MM B,
441243,2025-02-09,13:00,ROYAL BC NINANE,BC SANKT VITH,U 18 - PROV MM B,
441253,2025-02-15,15:00,BC SANKT VITH,REBOND NEUVILLE,U 18 - PROV MM B,
441284,2025-03-08,13:00,GIANTS BRAIVES,BC SANKT VITH,U 18 - PROV MM B,
441303,2025-03-22,15:00,BC SANKT VITH,RBC WELKENRAEDT,U 18 - PROV MM B,
441325,2025-04-05,15:00,RBC AWANS,BC SANKT VITH,U 18 - PROV MM B,(HO de oreye)
441333,2025-04-12,15:00,BC SANKT VITH,UN HUY BASKET A,U 18 - PROV MM B,
