Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
760544,2024-09-28,17:00,COLLEGE S LOUIS,AVENIR JUPILLE (+  5),CPE PROV DAMES,
414035,2024-09-15,10:00,HANNUT BC,AVENIR JUPILLE A,DD - DIVISION 2 A,
414044,2024-09-21,17:00,AVENIR JUPILLE A,BC SPRIMONT B,DD - DIVISION 2 A,
414064,2024-10-05,21:00,AVENIR JUPILLE A,RBC HANEFFE B,DD - DIVISION 2 A,
414087,2024-10-19,18:30,RBC ALLEUR D,AVENIR JUPILLE A,DD - DIVISION 2 A,
414126,2024-11-17,13:00,ATLAS A JUPILLE B,AVENIR JUPILLE A,DD - DIVISION 2 A,
414134,2024-11-23,19:00,AVENIR JUPILLE A,HENRI-CHAPELLE B,DD - DIVISION 2 A,
414153,2024-12-08,11:00,CRISTAL SERAING A,AVENIR JUPILLE A,DD - DIVISION 2 A,
414167,2024-12-14,20:00,ABC WAREMME A,AVENIR JUPILLE A,DD - DIVISION 2 A,
414174,2024-12-21,19:00,AVENIR JUPILLE A,VAIL. JUPILLE,DD - DIVISION 2 A,
414193,2025-01-05,14:00,RBC HANEFFE B,AVENIR JUPILLE A,DD - DIVISION 2 A,
414204,2025-01-11,19:00,AVENIR JUPILLE A,HANNUT BC,DD - DIVISION 2 A,
414211,2025-01-19,11:00,BC SPRIMONT B,AVENIR JUPILLE A,DD - DIVISION 2 A,
414224,2025-01-25,19:00,AVENIR JUPILLE A,MAIL. COMBLAIN,DD - DIVISION 2 A,
414254,2025-02-15,21:00,AVENIR JUPILLE A,RBC ALLEUR D,DD - DIVISION 2 A,
414266,2025-02-23,13:00,ALL. FLEMALLE A,AVENIR JUPILLE A,DD - DIVISION 2 A,
414304,2025-03-22,19:00,AVENIR JUPILLE A,ATLAS A JUPILLE B,DD - DIVISION 2 A,
414314,2025-03-29,19:00,AVENIR JUPILLE A,CRISTAL SERAING A,DD - DIVISION 2 A,
414324,2025-04-05,20:30,VAIL. JUPILLE,AVENIR JUPILLE A,DD - DIVISION 2 A,
414334,2025-04-12,17:00,AVENIR JUPILLE A,ABC WAREMME A,DD - DIVISION 2 A,
414342,2025-04-20,13:00,HENRI-CHAPELLE B,AVENIR JUPILLE A,DD - DIVISION 2 A,
415035,2024-09-14,19:00,RBC DISON-ANDRIMONT A,AVENIR JUPILLE B,DD - DIVISION 2 B,
415044,2024-09-22,17:00,AVENIR JUPILLE B,BC VERLAINE,DD - DIVISION 2 B,
415064,2024-10-06,17:00,AVENIR JUPILLE B,RBC HANEFFE C,DD - DIVISION 2 B,
415087,2024-10-20,15:00,PEPINSTER EAST BELG C,AVENIR JUPILLE B,DD - DIVISION 2 B,
415074,2024-10-26,17:00,AVENIR JUPILLE B,BC BELLEFLAMME C,DD - DIVISION 2 B,
415012,2024-11-10,13:00,ROYAL ANS BC,AVENIR JUPILLE B,DD - DIVISION 2 B,
415134,2024-11-24,17:00,AVENIR JUPILLE B,RBC BLEGNY B,DD - DIVISION 2 B,
415126,2024-12-01,11:00,R 4A AYWAILLE-HAMOIR A,AVENIR JUPILLE B,DD - DIVISION 2 B,
415167,2024-12-15,13:00,LA VILLERSOISE A,AVENIR JUPILLE B,DD - DIVISION 2 B,
415174,2024-12-22,17:00,AVENIR JUPILLE B,ROYAL BC NINANE A,DD - DIVISION 2 B,
415193,2025-01-05,10:00,RBC HANEFFE C,AVENIR JUPILLE B,DD - DIVISION 2 B,
415204,2025-01-12,17:00,AVENIR JUPILLE B,RBC DISON-ANDRIMONT A,DD - DIVISION 2 B,
415211,2025-01-18,20:30,BC VERLAINE,AVENIR JUPILLE B,DD - DIVISION 2 B,
415224,2025-01-26,17:00,AVENIR JUPILLE B,ROYAL ANS BC,DD - DIVISION 2 B,
415245,2025-02-08,19:00,BC BELLEFLAMME C,AVENIR JUPILLE B,DD - DIVISION 2 B,
415254,2025-02-16,17:00,AVENIR JUPILLE B,PEPINSTER EAST BELG C,DD - DIVISION 2 B,
415266,2025-02-22,21:00,RBC VISE,AVENIR JUPILLE B,DD - DIVISION 2 B,
415304,2025-03-23,17:00,AVENIR JUPILLE B,R 4A AYWAILLE-HAMOIR A,DD - DIVISION 2 B,
415324,2025-04-06,17:00,ROYAL BC NINANE A,AVENIR JUPILLE B,DD - DIVISION 2 B,
415334,2025-04-13,17:00,AVENIR JUPILLE B,LA VILLERSOISE A,DD - DIVISION 2 B,
415342,2025-04-19,21:00,RBC BLEGNY B,AVENIR JUPILLE B,DD - DIVISION 2 B,
406035,2024-09-14,19:00,ESL UNITED F,AVENIR JUPILLE A,MM - DIVISION 3 C,
406044,2024-09-21,21:00,AVENIR JUPILLE A,R REN. MONTEGNEE A,MM - DIVISION 3 C,
406012,2024-09-28,20:30,RBC BLEGNY B,AVENIR JUPILLE A,MM - DIVISION 3 C,
406064,2024-10-05,19:00,AVENIR JUPILLE A,BC SANKT VITH,MM - DIVISION 3 C,
406087,2024-10-19,21:00,ROYAL SPA BC C,AVENIR JUPILLE A,MM - DIVISION 3 C,
406074,2024-10-26,19:00,AVENIR JUPILLE A,ROYALE US AWANS A,MM - DIVISION 3 C,
406114,2024-11-09,19:00,AVENIR JUPILLE A,BC SPRIMONT C,MM - DIVISION 3 C,
406126,2024-11-17,11:00,THEUX BC B,AVENIR JUPILLE A,MM - DIVISION 3 C,
406134,2024-11-23,21:00,AVENIR JUPILLE A,ABC WAREMME B,MM - DIVISION 3 C,
406153,2024-12-07,19:00,HARIMALIA BC D,AVENIR JUPILLE A,MM - DIVISION 3 C,
406167,2024-12-15,15:00,BC VERLAINE A,AVENIR JUPILLE A,MM - DIVISION 3 C,
406174,2024-12-21,17:00,AVENIR JUPILLE A,VAIL. JUPILLE B,MM - DIVISION 3 C,
406193,2025-01-03,21:00,BC SANKT VITH,AVENIR JUPILLE A,MM - DIVISION 3 C,
406204,2025-01-11,17:00,AVENIR JUPILLE A,ESL UNITED F,MM - DIVISION 3 C,
406211,2025-01-19,11:00,R REN. MONTEGNEE A,AVENIR JUPILLE A,MM - DIVISION 3 C,
406224,2025-01-25,21:00,AVENIR JUPILLE A,RBC BLEGNY B,MM - DIVISION 3 C,
406245,2025-02-09,15:00,ROYALE US AWANS A,AVENIR JUPILLE A,MM - DIVISION 3 C,
406254,2025-02-15,19:00,AVENIR JUPILLE A,ROYAL SPA BC C,MM - DIVISION 3 C,
406266,2025-02-22,21:00,R 4A AYWAILLE-HAMOIR A,AVENIR JUPILLE A,MM - DIVISION 3 C,
406281,2025-03-07,19:00,BC SPRIMONT C,AVENIR JUPILLE A,MM - DIVISION 3 C,
406304,2025-03-22,17:00,AVENIR JUPILLE A,THEUX BC B,MM - DIVISION 3 C,
406314,2025-03-29,17:00,AVENIR JUPILLE A,HARIMALIA BC D,MM - DIVISION 3 C,
406324,2025-04-06,10:00,VAIL. JUPILLE B,AVENIR JUPILLE A,MM - DIVISION 3 C,
406334,2025-04-12,19:00,AVENIR JUPILLE A,BC VERLAINE A,MM - DIVISION 3 C,
