Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
403242,2024-02-11,13:00,THEUX BC A,MAIL. COMBLAIN B,MM - DIVISION 2 B,
403253,2024-02-18,13:00,HARIMALIA BC A,THEUX BC A,MM - DIVISION 2 B,
403042,2024-02-22,21:00,THEUX BC A,HARIMALIA BC A,MM - DIVISION 2 B,
403262,2024-02-25,13:00,THEUX BC A,HERVE-BATTICE A,MM - DIVISION 2 B,
403282,2024-03-14,21:00,THEUX BC A,LA VILLERSOISE A,MM - DIVISION 2 B,
403295,2024-03-16,19:00,ALL. FLEMALLE A,THEUX BC A,MM - DIVISION 2 B,(Athénée Guy Lang)
403302,2024-03-24,13:00,THEUX BC A,BC COINTE B,MM - DIVISION 2 B,
403022,2024-04-02,21:00,THEUX BC A,BC VERVIERS B,MM - DIVISION 2 B,
403321,2024-04-06,17:00,ESNEUX S LOUIS UTD E,THEUX BC A,MM - DIVISION 2 B,(Collège Saint-Louis)
403054,2024-04-13,19:00,HERVE-BATTICE A,THEUX BC A,MM - DIVISION 2 B,
403342,2024-04-21,13:00,THEUX BC A,RBC CROATIA OUPEYE A,MM - DIVISION 2 B,
403357,2024-04-26,20:00,BC REVEIL A,THEUX BC A,MM - DIVISION 2 B,
411243,2024-02-11,11:00,HARIMALIA BC E,THEUX BC C,MM - DIVISION 4 E,
411147,2024-02-15,21:00,THEUX BC C,CRISTAL SERAING B,MM - DIVISION 4 E,
411255,2024-02-18,14:30,CS OUTREMEUSE,THEUX BC C,MM - DIVISION 4 E,(Salle de Cointe)
411267,2024-02-24,19:00,THEUX BC C,BC BELLEFLAMME G,MM - DIVISION 4 E,
411324,2024-03-02,21:00,RBC AWANS D,THEUX BC C,MM - DIVISION 4 E,
411287,2024-03-09,19:30,THEUX BC C,BC TORES LIEGE A,MM - DIVISION 4 E,
411296,2024-03-17,15:00,GRACE-HOLLOGNE C,THEUX BC C,MM - DIVISION 4 E,
411164,2024-03-24,15:00,ROYAL ANS BC B,THEUX BC C,MM - DIVISION 4 E,
411347,2024-04-20,19:00,THEUX BC C,RBC VISE D,MM - DIVISION 4 E,
411356,2024-04-28,11:30,RJS GRIVEGNEE,THEUX BC C,MM - DIVISION 4 E,
412243,2024-02-09,20:30,RBC ALLEUR E,THEUX BC B,MM - DIVISION 4 F,
412147,2024-02-17,19:00,THEUX BC B,BC SPRIMONT E,MM - DIVISION 4 F,
412267,2024-02-25,11:00,THEUX BC B,BC BELLEFLAMME F,MM - DIVISION 4 F,
412072,2024-03-02,20:00,R.UN.BELLAIRE C,THEUX BC B,MM - DIVISION 4 F,
412287,2024-03-10,11:00,THEUX BC B,R.UN.BELLAIRE C,MM - DIVISION 4 F,
412296,2024-03-17,09:00,RBC AUBEL D,THEUX BC B,MM - DIVISION 4 F,
412307,2024-03-24,11:00,THEUX BC B,REBOND NEUVILLE,MM - DIVISION 4 F,
412117,2024-04-07,13:00,THEUX BC B,RBC AUBEL D,MM - DIVISION 4 F,
412347,2024-04-21,11:00,THEUX BC B,ALL. FLEMALLE D,MM - DIVISION 4 F,
412356,2024-04-27,17:00,R HT-PRE OUGREE C,THEUX BC B,MM - DIVISION 4 F,
523245,2024-02-10,10:30,HENRI-CHAPELLE C,THEUX BC,U 10 - MM D,
523256,2024-02-17,13:00,PRAYON TROOZ,THEUX BC,U 10 - MM D,
523296,2024-03-16,11:00,THEUX BC,RBC VISE B,U 10 - MM D,
523301,2024-03-17,13:30,BC SPRIMONT C,THEUX BC,U 10 - MM D,
523324,2024-04-06,09:00,PEPINSTER EAST BELG C,THEUX BC,U 10 - MM D,
523346,2024-04-21,09:00,THEUX BC,ROYAL SPA BC B,U 10 - MM D,
502243,2024-02-10,09:00,THEUX BC A,RABC ENSIVAL B,U 12 - MM C,
502063,2024-02-17,09:00,THEUX BC A,ROYAL SPA BC,U 12 - MM C,
502292,2024-03-16,09:00,RBC STAVELOT A,THEUX BC A,U 12 - MM C,
502303,2024-03-23,09:00,THEUX BC A,RBC WELKENRAEDT,U 12 - MM C,
502321,2024-04-06,10:45,RBC BLEGNY A,THEUX BC A,U 12 - MM C,
502346,2024-04-20,14:30,DF BC MALMEDY,THEUX BC A,U 12 - MM C,
503243,2024-02-10,11:00,THEUX BC B,R.UN.BELLAIRE,U 12 - MM D,
503063,2024-02-17,11:00,THEUX BC B,RBC VISE D,U 12 - MM D,
503292,2024-03-16,11:00,RBC STAVELOT B,THEUX BC B,U 12 - MM D,
503303,2024-03-23,11:00,THEUX BC B,ATLAS A JUPILLE B,U 12 - MM D,
503321,2024-04-06,12:30,RBC BLEGNY B,THEUX BC B,U 12 - MM D,
490244,2024-02-10,13:00,ROYAL SPA BC A,THEUX BC,U 14 - PROV MM A,
490061,2024-02-24,09:00,THEUX BC,PEPINSTER EAST BELG B,U 14 - PROV MM A,
490295,2024-03-17,09:00,RBC WELKENRAEDT,THEUX BC,U 14 - PROV MM A,
490301,2024-03-23,09:00,THEUX BC,BBC EUPEN,U 14 - PROV MM A,
490341,2024-04-20,09:00,THEUX BC,RBC STAVELOT,U 14 - PROV MM A,
470241,2024-02-10,09:00,THEUX BC,ROYAL ANS BC A,U 16 - PROV MM A,
470251,2024-02-17,09:00,THEUX BC,BBC EUPEN B,U 16 - PROV MM A,
470291,2024-03-16,09:00,THEUX BC,ACSA MOSA ANGL.,U 16 - PROV MM A,
470306,2024-03-23,15:00,RBC VISE B,THEUX BC,U 16 - PROV MM A,
470321,2024-04-06,09:00,THEUX BC,BC BELLEFLAMME B,U 16 - PROV MM A,
470121,2024-04-13,09:00,THEUX BC,RBC STAVELOT,U 16 - PROV MM A,
470342,2024-04-20,14:30,BCM HERSTAL,THEUX BC,U 16 - PROV MM A,
AW174008,2024-02-17,13:00,BC FRAIRE,THEUX BC,U 16 - SILVER REGIONAUX I,
AW174018,2024-02-24,11:00,THEUX BC,BC FRAIRE,U 16 - SILVER REGIONAUX I,
AW174006,2024-03-16,11:00,THEUX BC,FRESH AIR,U 16 - SILVER REGIONAUX I,
AW174021,2024-03-23,11:00,THEUX BC,BB GEMBLOUX,U 16 - SILVER REGIONAUX I,
AW174022,2024-04-07,14:30,R LINTHOUT BC,THEUX BC,U 16 - SILVER REGIONAUX I,
AW174028,2024-04-14,12:00,FRESH AIR,THEUX BC,U 16 - SILVER REGIONAUX I,
AW174027,2024-04-20,11:00,THEUX BC,ROYAL BC CINEY,U 16 - SILVER REGIONAUX I,
431243,2024-02-10,11:00,THEUX BC A,BC VERVIERS,U 18 - ELITES MM B,
431063,2024-02-17,11:00,THEUX BC A,ROYAL SPA BC,U 18 - ELITES MM B,
431223,2024-02-25,09:00,THEUX BC A,HENRI-CHAPELLE,U 18 - ELITES MM B,
431303,2024-03-23,11:00,THEUX BC A,RBC VISE,U 18 - ELITES MM B,
431203,2024-03-24,09:00,THEUX BC A,HERVE-BATTICE,U 18 - ELITES MM B,
431321,2024-04-06,11:00,RB TILFF,THEUX BC A,U 18 - ELITES MM B,
431346,2024-04-20,09:00,BBC EUPEN,THEUX BC A,U 18 - ELITES MM B,
440035,2024-02-11,11:00,THEUX BC B,BC COINTE,U 18 - PROV MM A,
440125,2024-02-18,11:00,THEUX BC B,RBC HANEFFE,U 18 - PROV MM A,
440295,2024-03-17,15:00,THEUX BC B,BC ST VITH,U 18 - PROV MM A,
440303,2024-03-30,15:00,RBC STAVELOT,THEUX BC B,U 18 - PROV MM A,
440325,2024-04-07,15:00,THEUX BC B,HARIMALIA BC,U 18 - PROV MM A,
440345,2024-04-21,15:00,THEUX BC B,ACSA MOSA ANGL.,U 18 - PROV MM A,
540243,2024-02-10,09:00,HERVE-BATTICE A,THEUX BC,U 7 - MM A,
540062,2024-02-18,09:00,THEUX BC,ROYAL SPA BC,U 7 - MM A,
540293,2024-03-16,13:15,RBC 4A AYWAILLE,THEUX BC,U 7 - MM A,
540302,2024-03-24,09:00,THEUX BC,RBC ESNEUX A,U 7 - MM A,
540325,2024-04-06,14:15,BC SPRIMONT C,THEUX BC,U 7 - MM A,
540341,2024-04-20,09:00,PEPINSTER EAST BELG A,THEUX BC,U 7 - MM A,
530062,2024-02-18,09:00,THEUX BC A,ROYAL SPA BC,U 8 - MM A,
530325,2024-02-24,09:00,HERVE-BATTICE B,THEUX BC A,U 8 - MM A,
530293,2024-03-16,11:00,ATLAS A JUPILLE,THEUX BC A,U 8 - MM A,
530341,2024-04-20,09:00,PEPINSTER EAST BELG A,THEUX BC A,U 8 - MM A,
531243,2024-02-11,09:00,HARIMALIA BC,THEUX BC B,U 8 - MM B,
531062,2024-02-18,11:00,THEUX BC B,HERVE-BATTICE A,U 8 - MM B,
531293,2024-03-16,10:30,RSW LIEGE BASKET,THEUX BC B,U 8 - MM B,
531302,2024-03-24,11:00,THEUX BC B,PEPINSTER EAST BELG B,U 8 - MM B,
531341,2024-04-20,09:00,MAIL. COMBLAIN,THEUX BC B,U 8 - MM B,
