Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
760225,2023-11-04,19:00,LA SPECIALE (+ 5),HARIMALIA BC A,CPE PROV MESSIEURS,
402063,2023-10-08,15:00,HARIMALIA BC B,RBC AWANS A,MM - DIVISION 2 A,
402077,2023-10-15,13:00,PEPINSTER EAST BELG C,HARIMALIA BC B,MM - DIVISION 2 A,
402083,2023-10-22,15:00,HARIMALIA BC B,RBC VISE B,MM - DIVISION 2 A,
402113,2023-11-11,21:00,HARIMALIA BC B,PRAYON TROOZ A,MM - DIVISION 2 A,
402122,2023-11-19,11:00,R.UN.BELLAIRE B,HARIMALIA BC B,MM - DIVISION 2 A,
402133,2023-11-26,15:00,HARIMALIA BC B,ROYAL ANS BC A,MM - DIVISION 2 A,
402145,2023-12-03,11:30,ACSA MOSA ANGL.,HARIMALIA BC B,MM - DIVISION 2 A,
402153,2023-12-10,13:00,RBC ALLEUR C,HARIMALIA BC B,MM - DIVISION 2 A,
402163,2023-12-17,15:00,HARIMALIA BC B,BC VERLAINE,MM - DIVISION 2 A,
402194,2024-01-06,21:00,RBC AWANS A,HARIMALIA BC B,MM - DIVISION 2 A,
402203,2024-01-14,15:00,HARIMALIA BC B,ACSA MOSA ANGL.,MM - DIVISION 2 A,
402216,2024-01-20,19:00,BC VERLAINE,HARIMALIA BC B,MM - DIVISION 2 A,
402231,2024-02-03,19:00,RB TILFF B,HARIMALIA BC B,MM - DIVISION 2 A,
402243,2024-02-11,15:00,HARIMALIA BC B,ESNEUX S LOUIS UTD D,MM - DIVISION 2 A,
402253,2024-02-18,15:00,HARIMALIA BC B,RABC ENSIVAL B,MM - DIVISION 2 A,
402263,2024-02-25,15:00,HARIMALIA BC B,RBC AUBEL B,MM - DIVISION 2 A,
402283,2024-03-10,15:00,HARIMALIA BC B,PEPINSTER EAST BELG C,MM - DIVISION 2 A,
402291,2024-03-16,17:00,PRAYON TROOZ A,HARIMALIA BC B,MM - DIVISION 2 A,
402303,2024-03-24,15:00,HARIMALIA BC B,R.UN.BELLAIRE B,MM - DIVISION 2 A,
