Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
760560,2023-12-17,10:00,HANNUT BC (+ 10),BC COINTE,CPE PROV DAMES,
417194,2024-01-07,10:00,HANNUT BC,BC COINTE B,DD - DIVISION 3 B,
417204,2024-01-14,10:00,HANNUT BC,AVENIR JUPILLE B,DD - DIVISION 3 B,
417217,2024-01-19,21:00,RBC BLEGNY D,HANNUT BC,DD - DIVISION 3 B,
417236,2024-02-03,17:00,RB UNION LIEGE,HANNUT BC,DD - DIVISION 3 B,
417244,2024-02-11,10:00,HANNUT BC,ALL. FLEMALLE B,DD - DIVISION 3 B,
417254,2024-02-18,10:00,HANNUT BC,R HT-PRE OUGREE B,DD - DIVISION 3 B,
417262,2024-02-24,20:00,R.UN.BELLAIRE B,HANNUT BC,DD - DIVISION 3 B,
417284,2024-03-10,10:00,HANNUT BC,CS OUTREMEUSE,DD - DIVISION 3 B,
417164,2024-03-14,21:00,HANNUT BC,RBC BLEGNY D,DD - DIVISION 3 B,
417292,2024-03-17,16:30,CRISTAL SERAING B,HANNUT BC,DD - DIVISION 3 B,
417304,2024-03-24,10:00,HANNUT BC,BC BELLEFLAMME C,DD - DIVISION 3 B,
417326,2024-04-07,11:45,B. OTHEE CLUB,HANNUT BC,DD - DIVISION 3 B,
417344,2024-04-21,10:00,HANNUT BC,GIANTS BRAIVES,DD - DIVISION 3 B,
417353,2024-04-27,17:00,RBC 4A AYWAILLE,HANNUT BC,DD - DIVISION 3 B,
401164,2023-12-16,20:30,HANNUT BC A,RSW LIEGE BASKET C,MM - DIVISION 1,
401194,2024-01-05,21:00,HANNUT BC A,RBC ALLEUR B,MM - DIVISION 1,
401204,2024-01-12,21:00,HANNUT BC A,ETOILE JUPILLE A,MM - DIVISION 1,
401217,2024-01-20,18:00,RSW LIEGE BASKET C,HANNUT BC A,MM - DIVISION 1,
401262,2024-01-27,19:00,DISON-ANDRIMONT A,HANNUT BC A,MM - DIVISION 1,
401236,2024-02-03,19:00,RB UNION LIEGE A,HANNUT BC A,MM - DIVISION 1,
401244,2024-02-09,21:00,HANNUT BC A,UN HUY BASKET A,MM - DIVISION 1,
401254,2024-02-16,21:00,HANNUT BC A,RB TILFF A,MM - DIVISION 1,
401284,2024-03-08,21:00,HANNUT BC A,ROYAL BC WANZE A,MM - DIVISION 1,
401292,2024-03-15,20:15,R.UN.BELLAIRE A,HANNUT BC A,MM - DIVISION 1,
