Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
410013,2025-09-06,21:00,RBC AWANS C,BC TORES LIEGE,MM - DIVISION 4 D,
410021,2025-09-14,15:30,BC TORES LIEGE,ROYAL BASKET OTHEE,MM - DIVISION 4 D,
410031,2025-09-21,15:30,BC TORES LIEGE,ALL. FLEMALLE E,MM - DIVISION 4 D,
410114,2025-09-28,13:00,BC COINTE D,BC TORES LIEGE,MM - DIVISION 4 D,
410055,2025-10-04,21:00,RB TILFF D,BC TORES LIEGE,MM - DIVISION 4 D,
410061,2025-10-12,15:30,BC TORES LIEGE,GIANTS BRAIVES B,MM - DIVISION 4 D,
410071,2025-10-19,11:00,HARIMALIA BC E,BC TORES LIEGE,MM - DIVISION 4 D,
410273,2025-11-08,20:00,ROYAL ANS BC A,BC TORES LIEGE,MM - DIVISION 4 D,
410121,2025-11-23,15:00,UN HUY BASKET B,BC TORES LIEGE,MM - DIVISION 4 D,
410136,2025-11-29,21:00,R HT-PRE OUGREE B,BC TORES LIEGE,MM - DIVISION 4 D,
410141,2025-12-07,15:30,BC TORES LIEGE,BCM HERSTAL C,MM - DIVISION 4 D,
410157,2025-12-13,19:00,ORP JAUCHE B,BC TORES LIEGE,MM - DIVISION 4 D,
410161,2025-12-21,15:30,BC TORES LIEGE,CRISTAL SGH E,MM - DIVISION 4 D,
410181,2026-01-04,15:30,BC TORES LIEGE,HARIMALIA BC E,MM - DIVISION 4 D,
410192,2026-01-11,9:45,ROYAL BASKET OTHEE,BC TORES LIEGE,MM - DIVISION 4 D,
410201,2026-01-18,15:30,BC TORES LIEGE,RBC AWANS C,MM - DIVISION 4 D,
410214,2026-01-25,9:00,ALL. FLEMALLE E,BC TORES LIEGE,MM - DIVISION 4 D,
410221,2026-02-01,15:30,BC TORES LIEGE,RB TILFF D,MM - DIVISION 4 D,
410246,2026-02-14,19:00,GIANTS BRAIVES B,BC TORES LIEGE,MM - DIVISION 4 D,
410261,2026-03-01,15:30,BC TORES LIEGE,BC COINTE D,MM - DIVISION 4 D,
410101,2026-03-08,15:30,BC TORES LIEGE,ROYAL ANS BC A,MM - DIVISION 4 D,
410297,2026-03-21,18:30,BCM HERSTAL C,BC TORES LIEGE,MM - DIVISION 4 D,
410301,2026-03-29,15:30,BC TORES LIEGE,R HT-PRE OUGREE B,MM - DIVISION 4 D,
410312,2026-04-05,15:30,BC TORES LIEGE,UN HUY BASKET B,MM - DIVISION 4 D,
410321,2026-04-12,15:30,BC TORES LIEGE,ORP JAUCHE B,MM - DIVISION 4 D,
410335,2026-04-19,13:00,CRISTAL SGH E,BC TORES LIEGE,MM - DIVISION 4 D,
