Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
762104,2025-08-30,16:30,BCM HERSTAL,CRISTAL SGH C,CPE PROV CADETS,
760070,2025-08-31,11:30,ROYAL MOSA AC 1941 A,BCM HERSTAL A (+ 5),CPE PROV MESSIEURS,
764121,2025-08-30,14:30,BCM HERSTAL,CRISTAL SGH B,CPE PROV PUPILLES MM,
416017,2025-09-06,18:00,ABC WAREMME C,BCM HERSTAL,DD - DIVISION 3 A,
416022,2025-09-13,20:30,BCM HERSTAL,LA VILLERSOISE B,DD - DIVISION 3 A,
416033,2025-09-21,11:00,ROYAL HERVE-BATTICE D,BCM HERSTAL,DD - DIVISION 3 A,
416065,2025-10-11,17:00,R 4A AYWAILLE-HAMOIR B,BCM HERSTAL,DD - DIVISION 3 A,
416072,2025-10-18,18:30,BCM HERSTAL,RBC BLEGNY C,DD - DIVISION 3 A,
416104,2025-11-09,16:30,CS OUTREMEUSE,BCM HERSTAL,DD - DIVISION 3 A,
416132,2025-11-29,18:30,BCM HERSTAL,CRISTAL SGH B,DD - DIVISION 3 A,
416152,2025-12-13,18:30,BCM HERSTAL,ROYAL BC WANZE,DD - DIVISION 3 A,
416187,2026-01-03,20:30,RBC BLEGNY C,BCM HERSTAL,DD - DIVISION 3 A,
416191,2026-01-11,15:00,LA VILLERSOISE B,BCM HERSTAL,DD - DIVISION 3 A,
416202,2026-01-17,18:30,BCM HERSTAL,ABC WAREMME C,DD - DIVISION 3 A,
416224,2026-02-01,14:00,RBC ESNEUX C,BCM HERSTAL,DD - DIVISION 3 A,
416242,2026-02-14,18:30,BCM HERSTAL,R 4A AYWAILLE-HAMOIR B,DD - DIVISION 3 A,
416052,2026-02-28,18:30,BCM HERSTAL,RBC ESNEUX C,DD - DIVISION 3 A,
416272,2026-03-08,12:00,BCM HERSTAL,CS OUTREMEUSE,DD - DIVISION 3 A,
416212,2026-03-14,18:30,BCM HERSTAL,ROYAL HERVE-BATTICE D,DD - DIVISION 3 A,
416305,2026-03-28,17:00,CRISTAL SGH B,BCM HERSTAL,DD - DIVISION 3 A,
416326,2026-04-12,13:00,ROYAL BC WANZE,BCM HERSTAL,DD - DIVISION 3 A,
405017,2025-09-07,12:00,BCM HERSTAL A,RABC ENSIVAL B,MM - DIVISION 3 B,
405023,2025-09-11,21:00,BC OLNE,BCM HERSTAL A,MM - DIVISION 3 B,
405035,2025-09-19,20:30,R 4A AYWAILLE-HAMOIR A,BCM HERSTAL A,MM - DIVISION 3 B,
405067,2025-10-12,15:00,RBC BLEGNY B,BCM HERSTAL A,MM - DIVISION 3 B,
405077,2025-10-18,20:30,BCM HERSTAL A,VAIL. JUPILLE B,MM - DIVISION 3 B,
405057,2025-10-26,16:30,BCM HERSTAL A,RBC DISON-ANDRIMONT B,MM - DIVISION 3 B,
405105,2025-11-09,17:00,CRISTAL SGH C,BCM HERSTAL A,MM - DIVISION 3 B,
405117,2025-11-16,16:00,RBC HANEFFE B,BCM HERSTAL A,MM - DIVISION 3 B,
405122,2025-11-23,11:00,BC SPRIMONT D,BCM HERSTAL A,MM - DIVISION 3 B,
405137,2025-11-29,20:30,BCM HERSTAL A,ROYAL BC NINANE C,MM - DIVISION 3 B,
405141,2025-12-06,21:00,LA VILLERSOISE B,BCM HERSTAL A,MM - DIVISION 3 B,
405151,2025-12-13,21:00,HARIMALIA BC D,BCM HERSTAL A,MM - DIVISION 3 B,
405167,2025-12-20,20:30,BCM HERSTAL A,BC BELLEFLAMME D,MM - DIVISION 3 B,
405183,2026-01-03,19:00,VAIL. JUPILLE B,BCM HERSTAL A,MM - DIVISION 3 B,
405197,2026-01-10,20:30,BCM HERSTAL A,BC OLNE,MM - DIVISION 3 B,
405202,2026-01-17,20:00,RABC ENSIVAL B,BCM HERSTAL A,MM - DIVISION 3 B,
405226,2026-01-31,19:00,RBC DISON-ANDRIMONT B,BCM HERSTAL A,MM - DIVISION 3 B,
405247,2026-02-14,20:30,BCM HERSTAL A,RBC BLEGNY B,MM - DIVISION 3 B,
