Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
409356,2024-03-30,18:30,DF BC MALMEDY,BBC EUPEN,MM - DIVISION 4 C,
409324,2024-04-06,17:00,RBC CROATIA OUPEYE B,BBC EUPEN,MM - DIVISION 4 C,
409237,2024-04-11,20:00,BBC EUPEN,RBC STAVELOT C,MM - DIVISION 4 C,
409347,2024-04-20,19:00,BBC EUPEN,ALL. FLEMALLE C,MM - DIVISION 4 C,
490324,2024-04-06,11:00,RBC VISE A,BBC EUPEN,U 14 - PROV MM A,
490346,2024-04-20,13:00,BBC EUPEN,HARIMALIA BC C,U 14 - PROV MM A,
470323,2024-04-06,17:00,ATLAS A JUPILLE C,BBC EUPEN B,U 16 - PROV MM A,
470341,2024-04-20,15:00,BBC EUPEN B,RBC STAVELOT,U 16 - PROV MM A,
472324,2024-04-06,10:30,BBC EUPEN C,CRISTAL SERAING A,U 16 - PROV MM C,
472302,2024-04-14,11:00,ROYAL BC NINANE B,BBC EUPEN C,U 16 - PROV MM C,
472344,2024-04-20,17:00,BBC EUPEN C,ROYAL ANS BC B,U 16 - PROV MM C,
431324,2024-04-07,13:00,HENRI-CHAPELLE,BBC EUPEN,U 18 - ELITES MM B,
431346,2024-04-20,9:00,BBC EUPEN,THEUX BC A,U 18 - ELITES MM B,
