Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
408197,2024-01-07,14:00,ESNEUX S LOUIS UTD G,ESP. HAMOIR 96,MM - DIVISION 4 B,(Esneux)
408017,2024-01-27,19:00,ESP. HAMOIR 96,HERVE-BATTICE C,MM - DIVISION 4 B,
408237,2024-02-03,19:00,ESP. HAMOIR 96,DISON-ANDRIMONT C,MM - DIVISION 4 B,
408243,2024-02-11,13:00,HERVE-BATTICE C,ESP. HAMOIR 96,MM - DIVISION 4 B,
408255,2024-02-24,18:00,UN HUY BASKET C,ESP. HAMOIR 96,MM - DIVISION 4 B,
408324,2024-03-02,19:00,RBC AWANS C,ESP. HAMOIR 96,MM - DIVISION 4 B,
408287,2024-03-09,19:00,ESP. HAMOIR 96,BC TORES LIEGE B,MM - DIVISION 4 B,
408296,2024-03-16,21:00,R HT-PRE OUGREE B,ESP. HAMOIR 96,MM - DIVISION 4 B,
408307,2024-03-23,19:00,ESP. HAMOIR 96,GIANTS BRAIVES B,MM - DIVISION 4 B,
408155,2024-04-13,19:00,ABC WAREMME C,ESP. HAMOIR 96,MM - DIVISION 4 B,
408347,2024-04-20,19:00,ESP. HAMOIR 96,ABC WAREMME C,MM - DIVISION 4 B,
505142,2023-12-02,11:45,ROYAL BC NINANE,ESP. HAMOIR 96,U 12 - MM F,
505156,2023-12-09,15:00,RB UNION LIEGE,ESP. HAMOIR 96,U 12 - MM F,
505161,2023-12-16,14:00,ESP. HAMOIR 96,RBC 4A AYWAILLE,U 12 - MM F,
505201,2024-01-13,14:00,ESP. HAMOIR 96,COLLEGE S LOUIS C,U 12 - MM F,
505214,2024-01-20,9:00,RBC AWANS C,ESP. HAMOIR 96,U 12 - MM F,
505221,2024-01-27,16:00,ESP. HAMOIR 96,DISON-ANDRIMONT,U 12 - MM F,
505231,2024-02-03,14:00,ESP. HAMOIR 96,ACSA MOSA ANGL. A,U 12 - MM F,
505251,2024-02-18,13:00,BC SPRIMONT C,ESP. HAMOIR 96,U 12 - MM F,
505055,2024-03-09,11:30,ACSA MOSA ANGL. A,ESP. HAMOIR 96,U 12 - MM F,
505295,2024-03-16,10:30,BC BELLEFLAMME C,ESP. HAMOIR 96,U 12 - MM F,
505301,2024-03-23,14:00,ESP. HAMOIR 96,RB UNION LIEGE,U 12 - MM F,
505323,2024-04-07,9:00,HARIMALIA BC B,ESP. HAMOIR 96,U 12 - MM F,
505341,2024-04-20,14:00,ESP. HAMOIR 96,ROYAL BC NINANE,U 12 - MM F,
