Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
415217,2025-01-19,13:00,LA VILLERSOISE A,BC BELLEFLAMME C,DD - DIVISION 2 B,
415226,2025-01-25,19:00,R 4A AYWAILLE-HAMOIR A,LA VILLERSOISE A,DD - DIVISION 2 B,
415171,2025-02-09,13:00,BC VERLAINE,LA VILLERSOISE A,DD - DIVISION 2 B,
415267,2025-02-23,13:00,LA VILLERSOISE A,RBC HANEFFE C,DD - DIVISION 2 B,
415284,2025-03-16,17:00,ROYAL BC NINANE A,LA VILLERSOISE A,DD - DIVISION 2 B,
415307,2025-03-23,13:00,LA VILLERSOISE A,RBC DISON-ANDRIMONT A,DD - DIVISION 2 B,
415317,2025-03-30,13:00,LA VILLERSOISE A,RBC BLEGNY B,DD - DIVISION 2 B,
415327,2025-04-06,13:00,LA VILLERSOISE A,BC VERLAINE,DD - DIVISION 2 B,
415334,2025-04-13,17:00,AVENIR JUPILLE B,LA VILLERSOISE A,DD - DIVISION 2 B,
415346,2025-04-19,20:30,RBC VISE,LA VILLERSOISE A,DD - DIVISION 2 B,
416211,2025-01-18,17:00,LA VILLERSOISE B,ETOILE JUPILLE,DD - DIVISION 3 A,
416241,2025-02-09,13:00,ROYAL BC WANZE,LA VILLERSOISE B,DD - DIVISION 3 A,
416225,2025-02-15,17:00,GIANTS BRAIVES,LA VILLERSOISE B,DD - DIVISION 3 A,
416261,2025-02-23,15:00,LA VILLERSOISE B,ABC WAREMME B,DD - DIVISION 3 A,
416066,2025-03-01,20:00,R.UN.BELLAIRE B,LA VILLERSOISE B,DD - DIVISION 3 A,
416287,2025-03-08,18:30,BCM HERSTAL,LA VILLERSOISE B,DD - DIVISION 3 A,
416311,2025-03-30,15:00,LA VILLERSOISE B,ALL. FLEMALLE B,DD - DIVISION 3 A,
416331,2025-04-13,15:00,LA VILLERSOISE B,RBC AWANS A,DD - DIVISION 3 A,
402203,2025-01-10,19:00,ESL UNITED E,LA VILLERSOISE A,MM - DIVISION 2 A,
402211,2025-01-18,21:00,LA VILLERSOISE A,ATLAS A JUPILLE B,MM - DIVISION 2 A,
402225,2025-01-25,21:00,RBC VISE A,LA VILLERSOISE A,MM - DIVISION 2 A,
402241,2025-02-08,19:00,RB TILFF B,LA VILLERSOISE A,MM - DIVISION 2 A,
402251,2025-02-16,17:00,LA VILLERSOISE A,HARIMALIA BC B,MM - DIVISION 2 A,
402071,2025-03-01,19:00,LA VILLERSOISE A,RB TILFF B,MM - DIVISION 2 A,
402287,2025-03-08,17:00,LA VILLERSOISE A,RBC CROATIA OUPEYE A,MM - DIVISION 2 A,
402261,2025-03-15,19:00,LA VILLERSOISE A,MAIL. COMBLAIN B,MM - DIVISION 2 A,
402301,2025-03-23,17:00,LA VILLERSOISE A,BC BELLEFLAMME C,MM - DIVISION 2 A,
402311,2025-03-30,17:00,LA VILLERSOISE A,ALL. FLEMALLE A,MM - DIVISION 2 A,
402327,2025-04-06,17:00,PEPINSTER EAST BELG C,LA VILLERSOISE A,MM - DIVISION 2 A,
