Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
418225,2025-01-25,19:00,RBC AWANS B,CS OUTREMEUSE,DD - DIVISION 3 C,
418241,2025-02-08,21:00,BC SPRIMONT C,CS OUTREMEUSE,DD - DIVISION 3 C,
418251,2025-02-16,16:30,CS OUTREMEUSE,ABC WAREMME C,DD - DIVISION 3 C,
418261,2025-02-23,16:30,CS OUTREMEUSE,RBC HANEFFE D,DD - DIVISION 3 C,
418287,2025-03-08,17:00,ROYAL HERVE-BATTICE C,CS OUTREMEUSE,DD - DIVISION 3 C,
418301,2025-03-23,16:30,CS OUTREMEUSE,ROYAL BASKET OTHEE,DD - DIVISION 3 C,
418344,2025-04-20,13:00,ROYAL BC NINANE B,CS OUTREMEUSE,DD - DIVISION 3 C,
408211,2025-01-19,14:30,CS OUTREMEUSE,ETOILE JUPILLE B,MM - DIVISION 4 B,
408225,2025-01-26,13:00,ROYALE US AWANS B,CS OUTREMEUSE,MM - DIVISION 4 B,
408241,2025-02-01,20:30,BCM HERSTAL A,CS OUTREMEUSE,MM - DIVISION 4 B,
408251,2025-02-16,14:30,CS OUTREMEUSE,HARIMALIA BC F,MM - DIVISION 4 B,
408261,2025-02-23,14:30,CS OUTREMEUSE,RBC BLEGNY C,MM - DIVISION 4 B,
408287,2025-03-09,13:30,ROYAL SPA BC D,CS OUTREMEUSE,MM - DIVISION 4 B,
408301,2025-03-23,14:30,CS OUTREMEUSE,RJS GRIVEGNEE,MM - DIVISION 4 B,
408311,2025-03-30,14:30,CS OUTREMEUSE,PRAYON TROOZ B,MM - DIVISION 4 B,
408331,2025-04-13,14:30,CS OUTREMEUSE,RBC AWANS B,MM - DIVISION 4 B,
408344,2025-04-20,15:00,CRISTAL SERAING A,CS OUTREMEUSE,MM - DIVISION 4 B,
