Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
417012,2026-09-05,18:30,DF BC MALMEDY,RBC AWANS B,DD - DIVISION 3 B,
417023,2026-09-12,18:00,RBC ESNEUX C,DF BC MALMEDY,DD - DIVISION 3 B,
417036,2026-09-19,17:00,R 4A AYWAILLE-HAMOIR B,DF BC MALMEDY,DD - DIVISION 3 B,
417052,2026-10-03,18:30,DF BC MALMEDY,MAIL. COMBLAIN,DD - DIVISION 3 B,
417062,2026-10-11,16:30,CS OUTREMEUSE,DF BC MALMEDY,DD - DIVISION 3 B,
417105,2026-11-07,18:30,BCM HERSTAL,DF BC MALMEDY,DD - DIVISION 3 B,
417112,2026-11-14,18:30,DF BC MALMEDY,HENRI-CHAPELLE C,DD - DIVISION 3 B,
417121,2026-11-21,18:30,HENRI-CHAPELLE C,DF BC MALMEDY,DD - DIVISION 3 B,
417142,2026-12-05,18:30,DF BC MALMEDY,RBC DISON-ANDRIMONT B,DD - DIVISION 3 B,
417152,2026-12-12,18:30,DF BC MALMEDY,CS OUTREMEUSE,DD - DIVISION 3 B,
417163,2026-12-19,19:00,ATLAS A JUPILLE B,DF BC MALMEDY,DD - DIVISION 3 B,
417192,2027-01-09,18:30,DF BC MALMEDY,R 4A AYWAILLE-HAMOIR B,DD - DIVISION 3 B,
417201,2027-01-16,21:00,RBC AWANS B,DF BC MALMEDY,DD - DIVISION 3 B,
417215,2027-01-23,18:30,ABC WAREMME C,DF BC MALMEDY,DD - DIVISION 3 B,
417222,2027-01-30,18:30,DF BC MALMEDY,RBC ESNEUX C,DD - DIVISION 3 B,
417244,2027-02-12,20:00,MAIL. COMBLAIN,DF BC MALMEDY,DD - DIVISION 3 B,
417256,2027-02-20,17:00,RBC DISON-ANDRIMONT B,DF BC MALMEDY,DD - DIVISION 3 B,
417292,2027-03-20,18:30,DF BC MALMEDY,BCM HERSTAL,DD - DIVISION 3 B,
417302,2027-03-27,18:30,DF BC MALMEDY,ABC WAREMME C,DD - DIVISION 3 B,
417322,2027-04-10,18:30,DF BC MALMEDY,ATLAS A JUPILLE B,DD - DIVISION 3 B,
407012,2026-09-04,20:30,DF BC MALMEDY,ROYAL SPA BC D,MM - DIVISION 4 A,
407037,2026-09-19,19:00,R 4A AYWAILLE-HAMOIR D,DF BC MALMEDY,MM - DIVISION 4 A,(Hall d'Hamoir)
407052,2026-10-02,20:30,DF BC MALMEDY,RABC ENSIVAL D,MM - DIVISION 4 A,
407065,2026-10-10,21:00,PRAYON TROOZ B,DF BC MALMEDY,MM - DIVISION 4 A,
407072,2026-10-16,20:30,DF BC MALMEDY,HENRI-CHAPELLE D,MM - DIVISION 4 A,
407104,2026-11-08,9:30,ETOILE JUPILLE D,DF BC MALMEDY,MM - DIVISION 4 A,
407112,2026-11-13,20:30,DF BC MALMEDY,THEUX BC C,MM - DIVISION 4 A,
407121,2026-11-22,11:00,RBC STAVELOT C,DF BC MALMEDY,MM - DIVISION 4 A,
407142,2026-12-04,20:30,DF BC MALMEDY,RB TILFF E,MM - DIVISION 4 A,
407152,2026-12-11,20:30,DF BC MALMEDY,BBC EUPEN B,MM - DIVISION 4 A,
407162,2026-12-19,17:00,ROYAL BC NINANE E,DF BC MALMEDY,MM - DIVISION 4 A,
407192,2027-01-08,20:30,DF BC MALMEDY,R 4A AYWAILLE-HAMOIR D,MM - DIVISION 4 A,
407201,2027-01-16,17:00,ROYAL SPA BC D,DF BC MALMEDY,MM - DIVISION 4 A,
407217,2027-01-23,18:30,HENRI-CHAPELLE D,DF BC MALMEDY,MM - DIVISION 4 A,
407244,2027-02-13,17:00,RABC ENSIVAL D,DF BC MALMEDY,MM - DIVISION 4 A,
407253,2027-02-21,11:00,THEUX BC C,DF BC MALMEDY,MM - DIVISION 4 A,
407275,2027-03-06,18:30,RB TILFF E,DF BC MALMEDY,MM - DIVISION 4 A,
407282,2027-03-12,20:30,DF BC MALMEDY,RBC STAVELOT C,MM - DIVISION 4 A,
407292,2027-03-19,20:30,DF BC MALMEDY,ETOILE JUPILLE D,MM - DIVISION 4 A,
407302,2027-03-26,20:30,DF BC MALMEDY,PRAYON TROOZ B,MM - DIVISION 4 A,
407322,2027-04-09,20:30,DF BC MALMEDY,ROYAL BC NINANE E,MM - DIVISION 4 A,
407336,2027-04-17,20:00,BBC EUPEN B,DF BC MALMEDY,MM - DIVISION 4 A,
526012,2026-09-05,13:30,DF BC MALMEDY,BC SANKT VITH,U 10 - MM G,
526036,2026-09-19,10:30,BBC EUPEN,DF BC MALMEDY,U 10 - MM G,
526065,2026-10-11,9:00,PRAYON TROOZ,DF BC MALMEDY,U 10 - MM G,
526105,2026-11-07,9:00,RBC DISON-ANDRIMONT A,DF BC MALMEDY,U 10 - MM G,
526112,2026-11-14,13:30,DF BC MALMEDY,HENRI-CHAPELLE B,U 10 - MM G,
526123,2026-11-22,11:00,THEUX BC B,DF BC MALMEDY,U 10 - MM G,
526142,2026-12-05,13:30,DF BC MALMEDY,RBC AUBEL B,U 10 - MM G,
526152,2026-12-12,13:30,DF BC MALMEDY,R.UN.BELLAIRE B,U 10 - MM G,
526166,2026-12-19,9:00,RABC ENSIVAL A,DF BC MALMEDY,U 10 - MM G,
526192,2027-01-09,13:30,DF BC MALMEDY,BBC EUPEN,U 10 - MM G,
526201,2027-01-16,11:00,BC SANKT VITH,DF BC MALMEDY,U 10 - MM G,
526212,2027-01-23,12:00,R.UN.BELLAIRE B,DF BC MALMEDY,U 10 - MM G,
526231,2027-02-07,11:00,HENRI-CHAPELLE B,DF BC MALMEDY,U 10 - MM G,
526282,2027-03-13,13:30,DF BC MALMEDY,RABC ENSIVAL A,U 10 - MM G,
526292,2027-03-20,13:30,DF BC MALMEDY,RBC DISON-ANDRIMONT A,U 10 - MM G,
526302,2027-03-27,13:30,DF BC MALMEDY,PRAYON TROOZ,U 10 - MM G,
526322,2027-04-10,13:30,DF BC MALMEDY,THEUX BC B,U 10 - MM G,
526334,2027-04-17,10:00,RBC AUBEL B,DF BC MALMEDY,U 10 - MM G,
506011,2026-09-05,9:00,RBC STAVELOT B,DF BC MALMEDY,U 12 - MM G,
506022,2026-09-12,13:00,DF BC MALMEDY,RB TILFF B,U 12 - MM G,
506032,2026-09-19,13:00,DF BC MALMEDY,ROYAL HERVE-BATTICE D,U 12 - MM G,
506054,2026-10-03,11:00,RABC ENSIVAL B,DF BC MALMEDY,U 12 - MM G,
506062,2026-10-10,13:00,DF BC MALMEDY,RBC BLEGNY,U 12 - MM G,
506102,2026-11-07,13:00,DF BC MALMEDY,RBC DISON-ANDRIMONT B,U 12 - MM G,
506111,2026-11-14,13:00,BC SANKT VITH,DF BC MALMEDY,U 12 - MM G,
506122,2026-11-21,13:00,DF BC MALMEDY,THEUX BC B,U 12 - MM G,
506152,2026-12-12,14:30,HENRI-CHAPELLE C,DF BC MALMEDY,U 12 - MM G,
506162,2026-12-19,13:00,DF BC MALMEDY,BBC EUPEN,U 12 - MM G,
506196,2027-01-10,9:00,ROYAL HERVE-BATTICE D,DF BC MALMEDY,U 12 - MM G,
506202,2027-01-16,13:00,DF BC MALMEDY,RBC STAVELOT B,U 12 - MM G,
506212,2027-01-23,13:00,DF BC MALMEDY,HENRI-CHAPELLE C,U 12 - MM G,
506223,2027-01-30,11:00,RB TILFF B,DF BC MALMEDY,U 12 - MM G,
506232,2027-02-06,13:00,DF BC MALMEDY,BC SANKT VITH,U 12 - MM G,
506242,2027-02-13,13:00,DF BC MALMEDY,RABC ENSIVAL B,U 12 - MM G,
506286,2027-03-13,12:00,BBC EUPEN,DF BC MALMEDY,U 12 - MM G,
506295,2027-03-20,9:00,RBC DISON-ANDRIMONT B,DF BC MALMEDY,U 12 - MM G,
506305,2027-03-27,10:45,RBC BLEGNY,DF BC MALMEDY,U 12 - MM G,
506323,2027-04-10,11:00,THEUX BC B,DF BC MALMEDY,U 12 - MM G,
492011,2026-09-06,9:00,RBC STAVELOT,DF BC MALMEDY,U 14 - PROV MM C,
492022,2026-09-12,15:30,DF BC MALMEDY,BCM HERSTAL,U 14 - PROV MM C,
492032,2026-09-19,15:30,DF BC MALMEDY,RBC ALLEUR B,U 14 - PROV MM C,
492054,2026-10-03,15:30,RBC AUBEL,DF BC MALMEDY,U 14 - PROV MM C,
492062,2026-10-10,15:30,DF BC MALMEDY,PRAYON TROOZ,U 14 - PROV MM C,
492111,2026-11-14,15:15,BC SANKT VITH,DF BC MALMEDY,U 14 - PROV MM C,
492152,2026-12-13,10:00,ROYAL BC NINANE,DF BC MALMEDY,U 14 - PROV MM C,
492162,2026-12-19,15:30,DF BC MALMEDY,BBC EUPEN,U 14 - PROV MM C,
492196,2027-01-10,9:00,RBC ALLEUR B,DF BC MALMEDY,U 14 - PROV MM C,
492202,2027-01-16,15:30,DF BC MALMEDY,RBC STAVELOT,U 14 - PROV MM C,
492212,2027-01-23,15:30,DF BC MALMEDY,ROYAL BC NINANE,U 14 - PROV MM C,
492223,2027-01-30,12:30,BCM HERSTAL,DF BC MALMEDY,U 14 - PROV MM C,
492232,2027-02-06,15:30,DF BC MALMEDY,BC SANKT VITH,U 14 - PROV MM C,
492242,2027-02-13,15:30,DF BC MALMEDY,RBC AUBEL,U 14 - PROV MM C,
492286,2027-03-14,10:00,BBC EUPEN,DF BC MALMEDY,U 14 - PROV MM C,
492305,2027-03-27,9:00,PRAYON TROOZ,DF BC MALMEDY,U 14 - PROV MM C,
590012,2026-09-05,16:00,DF BC MALMEDY,ROYAL SPA BC,U 16 - DD A,
590036,2026-09-19,11:30,ALL. FLEMALLE C,DF BC MALMEDY,U 16 - DD A,
590052,2026-10-03,16:00,DF BC MALMEDY,ABC WAREMME,U 16 - DD A,
