Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
AW224001,2026-08-15,18:45,ROYAL WATERLOO (+ 15),LIEGE PANTHERS A,AWBB DD - POULE D,
AW224003,2026-08-22,19:00,RBC HANEFFE (+ 10),LIEGE PANTHERS A,AWBB DD - POULE D,
AW224006,2026-08-30,15:00,LIEGE PANTHERS A,PEPINSTER EAST BELG (+ 8),AWBB DD - POULE D,
AW229001,2026-08-15,18:00,R.UN.BELLAIRE (+ 10),LIEGE PANTHERS B,AWBB DD - POULE I,
AW229003,2026-08-22,18:00,ROYAL BC CINEY B,LIEGE PANTHERS B,AWBB DD - POULE I,
AW229006,2026-08-29,20:30,LIEGE PANTHERS B,BC BONINNE B (+ 8),AWBB DD - POULE I,
205,2026-08-13,20:00,LIEGE PANTHERS B,BBC BRASSCHAAT,CPE BELG DAMES,
AW104002,2026-09-06,11:00,PEPINSTER EAST BELG A,LIEGE PANTHERS C,DD - REGIONALE 1,
AW104016,2026-09-13,16:00,RCS NATOYE,LIEGE PANTHERS C,DD - REGIONALE 1,
AW104007,2026-09-19,20:30,LIEGE PANTHERS C,UN HUY BASKET B,DD - REGIONALE 1,
AW104019,2026-10-04,17:00,LIEGE PANTHERS C,PRAYON TROOZ A,DD - REGIONALE 1,
AW104025,2026-10-09,20:00,GANSHOREN DAMES,LIEGE PANTHERS C,DD - REGIONALE 1,
AW104051,2026-11-07,18:30,RBC ALLEUR A,LIEGE PANTHERS C,DD - REGIONALE 1,
AW104043,2026-11-14,20:30,LIEGE PANTHERS C,BC COINTE A,DD - REGIONALE 1,
AW104065,2026-11-21,18:00,FLOREAL NEUFCHATEAU,LIEGE PANTHERS C,DD - REGIONALE 1,
AW104055,2026-12-05,20:30,LIEGE PANTHERS C,ROYAL HERVE-BATTICE A,DD - REGIONALE 1,
AW104031,2026-12-12,20:30,LIEGE PANTHERS C,CENTRE GAUME RULLES,DD - REGIONALE 1,
AW104040,2026-12-19,20:30,RE PONT-DE-LOUP,LIEGE PANTHERS C,DD - REGIONALE 1,
AW104075,2027-01-09,19:00,UN HUY BASKET B,LIEGE PANTHERS C,DD - REGIONALE 1,
AW104079,2027-01-30,20:30,LIEGE PANTHERS C,RCS NATOYE,DD - REGIONALE 1,
AW104102,2027-02-07,11:15,CENTRE GAUME RULLES,LIEGE PANTHERS C,DD - REGIONALE 1,
AW104089,2027-02-13,19:00,PRAYON TROOZ A,LIEGE PANTHERS C,DD - REGIONALE 1,
AW104110,2027-02-20,17:00,BC COINTE A,LIEGE PANTHERS C,DD - REGIONALE 1,
AW104115,2027-03-20,20:30,LIEGE PANTHERS C,RBC ALLEUR A,DD - REGIONALE 1,
AW104067,2027-03-28,17:00,LIEGE PANTHERS C,PEPINSTER EAST BELG A,DD - REGIONALE 1,
