Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
414322,2024-04-06,19:00,DISON-ANDRIMONT A,BC VERLAINE A,DD - DIVISION 2 A,
414341,2024-04-21,16:30,CRISTAL SERAING A,BC VERLAINE A,DD - DIVISION 2 A,
414356,2024-04-28,15:00,BC VERLAINE A,HENRI-CHAPELLE A,DD - DIVISION 2 A,
415303,2024-04-03,19:30,BC VERLAINE B,ABC WAREMME A,DD - DIVISION 2 B,
415343,2024-04-21,17:00,BC VERLAINE B,HERVE-BATTICE C,DD - DIVISION 2 B,
415354,2024-04-28,13:00,ROYAL ANS BC,BC VERLAINE B,DD - DIVISION 2 B,
402322,2024-04-07,11:00,R.UN.BELLAIRE B,BC VERLAINE,MM - DIVISION 2 A,
402306,2024-04-14,15:00,BC VERLAINE,ACSA MOSA ANGL.,MM - DIVISION 2 A,
402341,2024-04-19,21:00,RB TILFF B,BC VERLAINE,MM - DIVISION 2 A,
402356,2024-04-27,19:00,BC VERLAINE,ESNEUX S LOUIS UTD D,MM - DIVISION 2 A,
521324,2024-04-07,9:00,ALL. FLEMALLE B,BC VERLAINE A,U 10 - MM B,
521346,2024-04-21,13:00,BC VERLAINE A,ABC WAREMME A,U 10 - MM B,
528324,2024-04-07,13:00,GIANTS BRAIVES B,BC VERLAINE B,U 10 - MM I,
528346,2024-04-21,13:00,BC VERLAINE B,BC BELLEFLAMME B,U 10 - MM I,
610191,2024-03-30,11:00,CRISTAL SERAING,BC VERLAINE,U 12 - DD,
610322,2024-04-07,13:30,HERVE-BATTICE A,BC VERLAINE,U 12 - DD,
610341,2024-04-20,16:00,HENRI-CHAPELLE,BC VERLAINE,U 12 - DD,
610356,2024-04-27,9:00,BC VERLAINE,LA VILLERSOISE,U 12 - DD,
501036,2024-03-31,11:00,BC VERLAINE,GRACE-HOLLOGNE A,U 12 - MM B,
501324,2024-04-06,9:00,ROYAL ANS BC,BC VERLAINE,U 12 - MM B,
501256,2024-04-14,9:00,BC SPRIMONT B,BC VERLAINE,U 12 - MM B,
501143,2024-04-20,13:00,COLLEGE S LOUIS B,BC VERLAINE,U 12 - MM B,
430236,2024-03-31,15:00,BC VERLAINE,ATLAS A JUPILLE C,U 18 - ELITES MM A,
543324,2024-04-06,10:15,RBC ESNEUX B,BC VERLAINE,U 7 - MM D,
533324,2024-04-06,10:45,ROYAL ANS BC,BC VERLAINE,U 8 - MM D,
533346,2024-04-21,9:00,BC VERLAINE,BC BELLEFLAMME,U 8 - MM D,
