Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
401196,2024-01-06,19:00,GRACE-HOLLOGNE A,RB TILFF A,MM - DIVISION 1,
401206,2024-01-12,20:15,R.UN.BELLAIRE A,GRACE-HOLLOGNE A,MM - DIVISION 1,
401213,2024-01-19,21:00,ATLAS A JUPILLE B,GRACE-HOLLOGNE A,MM - DIVISION 1,
401235,2024-02-03,20:00,UN HUY BASKET A,GRACE-HOLLOGNE A,MM - DIVISION 1,
401246,2024-02-10,18:30,GRACE-HOLLOGNE A,ETOILE JUPILLE A,MM - DIVISION 1,
401256,2024-02-17,19:00,GRACE-HOLLOGNE A,RB UNION LIEGE A,MM - DIVISION 1,
401263,2024-02-24,18:45,RBC ALLEUR B,GRACE-HOLLOGNE A,MM - DIVISION 1,
401282,2024-03-09,19:00,GRACE-HOLLOGNE A,DISON-ANDRIMONT A,MM - DIVISION 1,
401296,2024-03-16,18:30,GRACE-HOLLOGNE A,RSW LIEGE BASKET C,MM - DIVISION 1,
401305,2024-03-24,17:00,ROYAL BC WANZE A,GRACE-HOLLOGNE A,MM - DIVISION 1,
401326,2024-04-06,18:30,GRACE-HOLLOGNE A,HANNUT BC A,MM - DIVISION 1,
401346,2024-04-20,18:30,GRACE-HOLLOGNE A,ESNEUX S LOUIS UTD C,MM - DIVISION 1,
401351,2024-04-27,20:30,HENRI-CHAPELLE A,GRACE-HOLLOGNE A,MM - DIVISION 1,
407196,2024-01-06,21:00,GRACE-HOLLOGNE B,BC SPRIMONT D,MM - DIVISION 4 A,
407206,2024-01-13,20:30,GRACE-HOLLOGNE B,ROYAL BC NINANE D,MM - DIVISION 4 A,
407026,2024-01-21,15:00,GRACE-HOLLOGNE B,ABC WAREMME B,MM - DIVISION 4 A,
407235,2024-02-03,19:00,ABC WAREMME B,GRACE-HOLLOGNE B,MM - DIVISION 4 A,
407246,2024-02-10,20:30,GRACE-HOLLOGNE B,US AWANS B,MM - DIVISION 4 A,
407256,2024-02-17,21:00,GRACE-HOLLOGNE B,R HT-PRE OUGREE A,MM - DIVISION 4 A,
407263,2024-02-24,17:00,BC COINTE C,GRACE-HOLLOGNE B,MM - DIVISION 4 A,
407305,2024-03-24,13:00,ROYAL BC WANZE C,GRACE-HOLLOGNE B,MM - DIVISION 4 A,
407326,2024-04-06,20:30,GRACE-HOLLOGNE B,HANNUT BC C,MM - DIVISION 4 A,
407346,2024-04-20,20:30,GRACE-HOLLOGNE B,BC REVEIL B,MM - DIVISION 4 A,
