Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
AW179029,2026-03-07,15:45,ROYAL BC CINEY,EAST BELGIUM BCA,U 14 - GOLD REGIONALES A,
AW179025,2026-03-15,13:00,EAST BELGIUM BCA,LADIES CHARLEROI,U 14 - GOLD REGIONALES A,
AW179019,2026-03-21,13:00,EAST BELGIUM BCA,MONS CAPITALE,U 14 - GOLD REGIONALES A,
AW179001,2026-03-28,15:00,EAST BELGIUM BCA,RCS NATOYE,U 14 - GOLD REGIONALES A,
AW179017,2026-04-11,9:30,RCS NATOYE,EAST BELGIUM BCA,U 14 - GOLD REGIONALES A,
AW179007,2026-04-18,13:00,EAST BELGIUM BCA,TOURNAI WAPITI,U 14 - GOLD REGIONALES A,
AW167028,2026-03-08,13:00,EAST BELGIUM BCA,FRIENDLY BULLS XL,U 14 - SILVER REGIONAUX E,
AW167026,2026-03-14,13:00,GIANTS BRAIVES,EAST BELGIUM BCA,U 14 - SILVER REGIONAUX E,
AW167021,2026-04-04,11:00,R EXC BRUXELLES,EAST BELGIUM BCA,U 14 - SILVER REGIONAUX E,
AW167016,2026-04-12,13:00,EAST BELGIUM BCA,BBC BRAINOIS,U 14 - SILVER REGIONAUX E,
AW167007,2026-04-19,11:00,R UAA ETTERBEEK,EAST BELGIUM BCA,U 14 - SILVER REGIONAUX E,
AW167015,2026-04-26,11:30,FRIENDLY BULLS XL,EAST BELGIUM BCA,U 14 - SILVER REGIONAUX E,
ING1412AEA,2026-02-28,14:30,EAST BELGIUM BCA,R.B.C. BELGRADE,U 14 MM - NATIONAUX A,
ING1412AEB,2026-03-07,16:30,EAST BELGIUM BCA,UCCLE EUROPE,U 14 MM - NATIONAUX A,
ING1412AEF,2026-03-15,15:00,EAST BELGIUM BCA,BBC FALCO GENT,U 14 MM - NATIONAUX A,
ING1412ABE,2026-03-22,13:00,UCCLE EUROPE,EAST BELGIUM BCA,U 14 MM - NATIONAUX A,
ING1412AED,2026-03-29,13:00,EAST BELGIUM BCA,BER. BLANKENBERGE,U 14 MM - NATIONAUX A,
ING1412AEC,2026-04-12,15:00,EAST BELGIUM BCA,GEMBO BORGERHOUT,U 14 MM - NATIONAUX A,
ING1412AAE,2026-04-18,16:00,R.B.C. BELGRADE,EAST BELGIUM BCA,U 14 MM - NATIONAUX A,
AW176030,2026-03-07,13:00,EAST BELGIUM BCA,RCS NATOYE,U 16 - GOLD REGIONALES B,
AW176025,2026-03-14,10:30,LA VILLERSOISE,EAST BELGIUM BCA,U 16 - GOLD REGIONALES B,
AW176021,2026-03-21,17:00,EAST BELGIUM BCA,BC BONINNE,U 16 - GOLD REGIONALES B,
AW176014,2026-03-28,12:00,RCS NATOYE,EAST BELGIUM BCA,U 16 - GOLD REGIONALES B,
AW176018,2026-04-11,11:30,BBC LIBRAMONT,EAST BELGIUM BCA,U 16 - GOLD REGIONALES B,
AW176009,2026-04-18,15:00,EAST BELGIUM BCA,TOURNAI WAPITI,U 16 - GOLD REGIONALES B,
AW176004,2026-04-26,13:00,BC BONINNE,EAST BELGIUM BCA,U 16 - GOLD REGIONALES B,
AW156010,2026-03-01,15:00,EAST BELGIUM BCA,DPK CARNIERES,U 16 - GOLD REGIONAUX B,
AW156028,2026-03-08,17:00,EAST BELGIUM BCA,FRESH AIR,U 16 - GOLD REGIONAUX B,
AW156021,2026-03-21,15:00,RBC HANEFFE,EAST BELGIUM BCA,U 16 - GOLD REGIONAUX B,
AW156016,2026-04-12,15:00,EAST BELGIUM BCA,BC MALONNE,U 16 - GOLD REGIONAUX B,
AW156007,2026-04-18,11:00,CASTORS BRAINE,EAST BELGIUM BCA,U 16 - GOLD REGIONAUX B,
AW158029,2026-03-07,14:30,EAST BELGIUM BCA,BC CENTRE GAUME,U 16 - SILVER REGIONAUX B,
AW158027,2026-03-15,12:00,FRESH AIR,EAST BELGIUM BCA,U 16 - SILVER REGIONAUX B,
AW158020,2026-03-21,16:30,EAST BELGIUM BCA,BC SPRIMONT,U 16 - SILVER REGIONAUX B,
AW158005,2026-04-04,15:00,BC SPRIMONT,EAST BELGIUM BCA,U 16 - SILVER REGIONAUX B,
AW158016,2026-04-12,13:00,ROYAL NIVELLES,EAST BELGIUM BCA,U 16 - SILVER REGIONAUX B,
AW158009,2026-04-18,14:30,AS ST AUGUSTIN,EAST BELGIUM BCA,U 16 - SILVER REGIONAUX B,
INM1612BBE,2026-03-08,15:00,LIEGE PANTHERS,EAST BELGIUM BCA,U 16 DD - NATIONALES B,
INM1612BEF,2026-03-14,11:00,EAST BELGIUM BCA,GEMBAS KNESSELARE,U 16 DD - NATIONALES B,
INM1612BED,2026-03-28,11:00,EAST BELGIUM BCA,KORTRIJK SPURS,U 16 DD - NATIONALES B,
INM1612BEA,2026-04-05,15:00,EAST BELGIUM BCA,BC BELLEFLAMME,U 16 DD - NATIONALES B,
INM1612BEC,2026-04-12,13:00,EAST BELGIUM BCA,BASKET WAREGEM,U 16 DD - NATIONALES B,
INM1612BAE,2026-04-19,13:00,BC BELLEFLAMME,EAST BELGIUM BCA,U 16 DD - NATIONALES B,
INJ1812BEA,2026-02-25,20:00,RSW LIEGE BASKET,EAST BELGIUM BCA,U 18 MM - NATIONAUX B,
INJ1812BAC,2026-03-14,13:00,EAST BELGIUM BCA,SOBABEE ANTWERPEN,U 18 MM - NATIONAUX B,
INJ1812BFA,2026-03-15,11:00,BC OOSTENDE,EAST BELGIUM BCA,U 18 MM - NATIONAUX B,
INJ1812BAF,2026-03-21,13:00,EAST BELGIUM BCA,BC OOSTENDE,U 18 MM - NATIONAUX B,
INJ1812BAB,2026-03-28,11:00,EAST BELGIUM BCA,ATLAS A JUPILLE,U 18 MM - NATIONAUX B,
INJ1812BDA,2026-04-11,13:00,BAVI VILVOORDE,EAST BELGIUM BCA,U 18 MM - NATIONAUX B,
INJ1812BAE,2026-04-18,13:00,EAST BELGIUM BCA,RSW LIEGE BASKET,U 18 MM - NATIONAUX B,
AW174022,2026-02-22,13:00,EAST BELGIUM BCA,CASTORS BRAINE,U 19 - SILVER REGIONALES C,
AW174004,2026-03-01,13:00,EAST BELGIUM BCA,BC MALONNE,U 19 - SILVER REGIONALES C,
AW174028,2026-03-08,13:00,EAST BELGIUM BCA,PDL CHARLEROI,U 19 - SILVER REGIONALES C,
AW174021,2026-03-29,11:00,BC MALONNE,EAST BELGIUM BCA,U 19 - SILVER REGIONALES C,
AW174010,2026-04-05,17:00,EAST BELGIUM BCA,RBC VISE,U 19 - SILVER REGIONALES C,
AW174016,2026-04-11,13:00,EAST BELGIUM BCA,BC SPRIMONT,U 19 - SILVER REGIONALES C,
AW174007,2026-04-18,14:00,CASTORS BRAINE,EAST BELGIUM BCA,U 19 - SILVER REGIONALES C,
