Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
544,2023-11-04,11:00,EAST BELGIUM BDA,NEXTGEN ACADEMY A,COUPE AWBB CADETS,
917,2023-11-04,14:00,EAST BELGIUM BDA,LIEGE PANTHERS A,COUPE AWBB CADETTES,
1118,2023-11-05,11:00,LA VILLERSOISE,EAST BELGIUM BDA,COUPE AWBB PUPILLES DD,
745,2023-11-05,16:00,RBC HANEFFE,EAST BELGIUM BDA,COUPE AWBB PUPILLES MM,
AW142073,2023-10-21,16:30,EAST BELGIUM BDA,BBC LIBRAMONT,U 14 - SILVER REGIONALES B,
AW142093,2023-11-11,16:30,EAST BELGIUM BDA,PDL CHARLEROI,U 14 - SILVER REGIONALES B,
AW142081,2023-11-18,12:00,REBOND OTTIGNIES,EAST BELGIUM BDA,U 14 - SILVER REGIONALES B,
AW142101,2023-11-25,09:30,ABC WAREMME,EAST BELGIUM BDA,U 14 - SILVER REGIONALES B,
AW126073,2023-10-21,14:30,EAST BELGIUM BDA,AS MAZY-SPY,U 14 - SIVER REGIONAUX A,
AW126093,2023-11-11,14:30,EAST BELGIUM BDA,ROYAL NIVELLES,U 14 - SIVER REGIONAUX A,
AW126081,2023-11-19,14:00,RBC HANEFFE,EAST BELGIUM BDA,U 14 - SIVER REGIONAUX A,
AW126023,2023-11-25,14:30,EAST BELGIUM BDA,PROFONDEVILLE SHARKS,U 14 - SIVER REGIONAUX A,
AW117073,2023-10-22,11:00,ATLAS A JUPILLE,EAST BELGIUM BDA,U 16 - GOLD REGIONAUX A,
AW117012,2023-11-11,11:00,EAST BELGIUM BDA,R EXC BRUXELLES,U 16 - GOLD REGIONAUX A,
AW117082,2023-11-19,11:00,EAST BELGIUM BDA,UCCLE EUROPE A,U 16 - GOLD REGIONAUX A,
AW117102,2023-11-26,11:00,EAST BELGIUM BDA,NEXTGEN ACADEMY,U 16 - GOLD REGIONAUX A,
AW137071,2023-10-21,10:30,BC COLFONTAINE,EAST BELGIUM BDA,U 16 - SILVER REGIONALES B,
AW137093,2023-11-11,11:00,ROYAL NIVELLES,EAST BELGIUM BDA,U 16 - SILVER REGIONALES B,
AW137083,2023-11-19,13:00,EAST BELGIUM BDA,HENRI-CHAPELLE,U 16 - SILVER REGIONALES B,
AW137103,2023-11-26,13:00,EAST BELGIUM BDA,LIEGE PANTHERS B,U 16 - SILVER REGIONALES B,
AW116074,2023-10-21,11:00,RCS NATOYE,EAST BELGIUM BDA,U 18 - SILVER REGIONAUX D,
AW116141,2023-10-28,13:00,EAST BELGIUM BDA,ROYAL NIVELLES,U 18 - SILVER REGIONAUX D,
AW116093,2023-11-12,12:00,UBCF QUAREGNON,EAST BELGIUM BDA,U 18 - SILVER REGIONAUX D,
AW116081,2023-11-18,13:00,EAST BELGIUM BDA,RCS NATOYE,U 18 - SILVER REGIONAUX D,
AW116112,2023-11-25,11:00,JS ENTITE ENGHIEN,EAST BELGIUM BDA,U 18 - SILVER REGIONAUX D,
AW116123,2023-12-03,16:00,UCCLE EUROPE,EAST BELGIUM BDA,U 18 - SILVER REGIONAUX D,
AW116131,2023-12-16,13:00,EAST BELGIUM BDA,RBC MAILLEN,U 18 - SILVER REGIONAUX D,
AW132071,2023-10-21,13:00,BCF QUAREGNON,EAST BELGIUM BDA,U 19 - SILVER REGIONALES A,
AW132083,2023-11-19,15:00,EAST BELGIUM BDA,BC BONINNE B,U 19 - SILVER REGIONALES A,
AW132103,2023-11-26,15:00,EAST BELGIUM BDA,LIEGE PANTHERS,U 19 - SILVER REGIONALES A,
