Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
414161,2023-12-17,16:30,CRISTAL SERAING A,ALL. FLEMALLE A,DD - DIVISION 2 A,
414196,2024-01-07,12:00,RBC ESNEUX B,CRISTAL SERAING A,DD - DIVISION 2 A,
414201,2024-01-14,16:30,CRISTAL SERAING A,HENRI-CHAPELLE A,DD - DIVISION 2 A,
414215,2024-01-21,14:30,ALL. FLEMALLE A,CRISTAL SERAING A,DD - DIVISION 2 A,(Athénée Guy Lang)
414242,2024-02-11,17:00,ROYAL BC NINANE A,CRISTAL SERAING A,DD - DIVISION 2 A,
414254,2024-02-16,21:00,ROYAL SPA BC B,CRISTAL SERAING A,DD - DIVISION 2 A,
414281,2024-03-10,16:30,CRISTAL SERAING A,BC SPRIMONT B,DD - DIVISION 2 A,
414293,2024-03-17,11:00,ATLAS A JUPILLE B,CRISTAL SERAING A,DD - DIVISION 2 A,
414301,2024-03-24,16:30,CRISTAL SERAING A,AVENIR JUPILLE A,DD - DIVISION 2 A,
414327,2024-04-05,21:00,RBC BLEGNY B,CRISTAL SERAING A,DD - DIVISION 2 A,
414341,2024-04-21,16:30,CRISTAL SERAING A,BC VERLAINE A,DD - DIVISION 2 A,
414352,2024-04-27,19:00,DISON-ANDRIMONT A,CRISTAL SERAING A,DD - DIVISION 2 A,
417162,2023-12-16,20:00,R.UN.BELLAIRE B,CRISTAL SERAING B,DD - DIVISION 3 B,
417192,2024-01-07,16:30,CRISTAL SERAING B,ALL. FLEMALLE B,DD - DIVISION 3 B,
417206,2024-01-14,11:45,B. OTHEE CLUB,CRISTAL SERAING B,DD - DIVISION 3 B,
417212,2024-01-21,16:30,CRISTAL SERAING B,R.UN.BELLAIRE B,DD - DIVISION 3 B,
417232,2024-02-04,16:30,CRISTAL SERAING B,BC BELLEFLAMME C,DD - DIVISION 3 B,
417241,2024-02-10,17:00,GIANTS BRAIVES,CRISTAL SERAING B,DD - DIVISION 3 B,
417252,2024-02-18,16:30,CRISTAL SERAING B,RBC 4A AYWAILLE,DD - DIVISION 3 B,
417264,2024-02-25,17:00,AVENIR JUPILLE B,CRISTAL SERAING B,DD - DIVISION 3 B,
417287,2024-03-09,18:00,RBC BLEGNY D,CRISTAL SERAING B,DD - DIVISION 3 B,
417292,2024-03-17,16:30,CRISTAL SERAING B,HANNUT BC,DD - DIVISION 3 B,
417303,2024-03-23,19:00,BC COINTE B,CRISTAL SERAING B,DD - DIVISION 3 B,
417322,2024-04-07,14:30,CRISTAL SERAING B,RB UNION LIEGE,DD - DIVISION 3 B,
417345,2024-04-21,16:30,CS OUTREMEUSE,CRISTAL SERAING B,DD - DIVISION 3 B,
417352,2024-04-28,16:30,CRISTAL SERAING B,R HT-PRE OUGREE B,DD - DIVISION 3 B,
407165,2023-12-17,15:00,ROYAL BC WANZE C,CRISTAL SERAING A,MM - DIVISION 4 A,
407191,2024-01-07,14:30,CRISTAL SERAING A,R HT-PRE OUGREE A,MM - DIVISION 4 A,
407207,2024-01-12,19:00,BC REVEIL B,CRISTAL SERAING A,MM - DIVISION 4 A,
407211,2024-01-21,14:30,CRISTAL SERAING A,ROYAL BC WANZE C,MM - DIVISION 4 A,
407241,2024-02-11,14:30,CRISTAL SERAING A,ROYAL BC NINANE D,MM - DIVISION 4 A,
407251,2024-02-18,14:30,CRISTAL SERAING A,US AWANS B,MM - DIVISION 4 A,
407265,2024-02-24,19:00,ABC WAREMME B,CRISTAL SERAING A,MM - DIVISION 4 A,
407281,2024-03-09,19:00,BC SPRIMONT D,CRISTAL SERAING A,MM - DIVISION 4 A,
407291,2024-03-17,14:30,CRISTAL SERAING A,BC COINTE C,MM - DIVISION 4 A,
407344,2024-04-20,20:30,HANNUT BC C,CRISTAL SERAING A,MM - DIVISION 4 A,
407351,2024-04-28,14:30,CRISTAL SERAING A,GRACE-HOLLOGNE B,MM - DIVISION 4 A,
411161,2023-12-17,14:30,CRISTAL SERAING B,RBC VISE D,MM - DIVISION 4 E,
411196,2024-01-06,17:00,GRACE-HOLLOGNE C,CRISTAL SERAING B,MM - DIVISION 4 E,
411201,2024-01-14,14:30,CRISTAL SERAING B,THEUX BC C,MM - DIVISION 4 E,
411231,2024-02-04,14:30,CRISTAL SERAING B,HARIMALIA BC E,MM - DIVISION 4 E,
411242,2024-02-11,12:00,HANNUT BC D,CRISTAL SERAING B,MM - DIVISION 4 E,
411254,2024-02-17,20:00,ROYAL ANS BC B,CRISTAL SERAING B,MM - DIVISION 4 E,
411261,2024-02-25,14:30,CRISTAL SERAING B,CS OUTREMEUSE,MM - DIVISION 4 E,
411215,2024-03-14,19:00,RBC VISE D,CRISTAL SERAING B,MM - DIVISION 4 E,
411293,2024-03-17,11:00,BC BELLEFLAMME G,CRISTAL SERAING B,MM - DIVISION 4 E,
411301,2024-03-24,14:30,CRISTAL SERAING B,RBC AWANS D,MM - DIVISION 4 E,
411341,2024-04-21,14:30,CRISTAL SERAING B,RJS GRIVEGNEE,MM - DIVISION 4 E,
411352,2024-04-28,15:30,BC TORES LIEGE A,CRISTAL SERAING B,MM - DIVISION 4 E,
524201,2024-01-14,9:30,MAIL. COMBLAIN,CRISTAL SERAING A,U 10 - MM E,
524216,2024-01-20,15:00,CRISTAL SERAING A,COLLEGE S LOUIS A,U 10 - MM E,
524225,2024-01-27,9:15,ATLAS A JUPILLE B,CRISTAL SERAING A,U 10 - MM E,
524233,2024-02-03,13:00,HARIMALIA BC A,CRISTAL SERAING A,U 10 - MM E,
524246,2024-02-10,13:00,CRISTAL SERAING A,HERVE-BATTICE B,U 10 - MM E,
524294,2024-03-16,9:00,RBC 4A AYWAILLE B,CRISTAL SERAING A,U 10 - MM E,
524306,2024-03-23,13:00,CRISTAL SERAING A,RB TILFF A,U 10 - MM E,
524326,2024-04-07,10:30,CRISTAL SERAING A,VAIL. JUPILLE,U 10 - MM E,
524343,2024-04-20,13:15,RBC ALLEUR A,CRISTAL SERAING A,U 10 - MM E,
524136,2024-04-28,12:30,CRISTAL SERAING A,RBC 4A AYWAILLE B,U 10 - MM E,
525166,2023-12-16,9:30,CRISTAL SERAING C,ROYAL BC NINANE B,U 10 - MM F,
525206,2024-01-13,9:30,CRISTAL SERAING C,RB TILFF B,U 10 - MM F,
525212,2024-01-20,9:00,BC COINTE B,CRISTAL SERAING C,U 10 - MM F,
525236,2024-02-03,13:00,CRISTAL SERAING C,RSW LIEGE BASKET A,U 10 - MM F,
525245,2024-02-10,9:00,ROYAL ANS BC B,CRISTAL SERAING C,U 10 - MM F,
525256,2024-02-17,11:00,RABC ENSIVAL A,CRISTAL SERAING C,U 10 - MM F,
525296,2024-03-17,12:30,CRISTAL SERAING C,RBC AWANS C,U 10 - MM F,
525301,2024-03-23,10:00,BC SPRIMONT D,CRISTAL SERAING C,U 10 - MM F,
525324,2024-04-06,10:30,RBC ESNEUX A,CRISTAL SERAING C,U 10 - MM F,
525346,2024-04-20,9:30,CRISTAL SERAING C,HARIMALIA BC B,U 10 - MM F,
526162,2023-12-16,15:00,ABC WAREMME D,CRISTAL SERAING B,U 10 - MM G,
526216,2024-01-20,13:00,CRISTAL SERAING B,GRACE-HOLLOGNE A,U 10 - MM G,
526136,2024-01-21,11:00,CRISTAL SERAING B,RBC ESNEUX B,U 10 - MM G,
526225,2024-01-28,12:00,ALL. FLEMALLE D,CRISTAL SERAING B,U 10 - MM G,
526233,2024-02-04,9:00,RBC VISE C,CRISTAL SERAING B,U 10 - MM G,
526246,2024-02-10,15:00,CRISTAL SERAING B,ACSA MOSA ANGL.,U 10 - MM G,
526256,2024-02-18,10:30,CRISTAL SERAING B,RJS GRIVEGNEE,U 10 - MM G,
526294,2024-03-16,12:00,RBC ESNEUX B,CRISTAL SERAING B,U 10 - MM G,
526306,2024-03-23,15:00,CRISTAL SERAING B,RSW LIEGE BASKET B,U 10 - MM G,
526326,2024-04-07,12:30,CRISTAL SERAING B,ROYAL ANS BC A,U 10 - MM G,
526343,2024-04-20,15:00,RBC ALLEUR B,CRISTAL SERAING B,U 10 - MM G,
610165,2023-12-16,9:00,RBC VISE,CRISTAL SERAING,U 12 - DD,
610191,2024-01-06,14:00,CRISTAL SERAING,BC VERLAINE,U 12 - DD,
610211,2024-01-20,11:00,CRISTAL SERAING,RBC VISE,U 12 - DD,
610233,2024-02-03,16:45,RBC ALLEUR,CRISTAL SERAING,U 12 - DD,
610241,2024-02-10,11:00,CRISTAL SERAING,HERVE-BATTICE A,U 12 - DD,
610251,2024-02-17,13:00,CRISTAL SERAING,UN HUY BASKET,U 12 - DD,
610265,2024-02-25,13:30,ACSA MOSA ANGL.,CRISTAL SERAING,U 12 - DD,
610281,2024-03-09,16:00,HENRI-CHAPELLE,CRISTAL SERAING,U 12 - DD,
610291,2024-03-16,11:00,CRISTAL SERAING,ABC WAREMME,U 12 - DD,
610307,2024-03-23,9:00,LA VILLERSOISE,CRISTAL SERAING,U 12 - DD,
610321,2024-04-06,13:00,CRISTAL SERAING,HERVE-BATTICE B,U 12 - DD,
610344,2024-04-20,12:30,ALL. FLEMALLE A,CRISTAL SERAING,U 12 - DD,
610351,2024-04-27,15:00,CRISTAL SERAING,ALL. FLEMALLE B,U 12 - DD,
506113,2023-12-16,17:00,CRISTAL SERAING B,REBOND NEUVILLE,U 12 - MM G,
506203,2024-01-13,13:00,CRISTAL SERAING B,CONDROZ MODAVE BB A,U 12 - MM G,
506223,2024-01-27,9:00,CRISTAL SERAING B,HANNUT BC,U 12 - MM G,
506243,2024-02-10,9:00,CRISTAL SERAING B,GIANTS BRAIVES A,U 12 - MM G,
506033,2024-02-17,11:00,CRISTAL SERAING B,ROYAL BC WANZE B,U 12 - MM G,
506215,2024-02-25,9:00,ROYAL BC WANZE B,CRISTAL SERAING B,U 12 - MM G,
506292,2024-03-16,11:15,RBC HANEFFE,CRISTAL SERAING B,U 12 - MM G,
506303,2024-03-23,11:00,CRISTAL SERAING B,BC COINTE A,U 12 - MM G,
506321,2024-04-07,9:00,REBOND NEUVILLE,CRISTAL SERAING B,U 12 - MM G,
506346,2024-04-28,9:30,RJS GRIVEGNEE,CRISTAL SERAING B,U 12 - MM G,
507212,2024-01-21,9:00,RBC ALLEUR A,CRISTAL SERAING A,U 12 - MM H,
507226,2024-01-27,15:00,CRISTAL SERAING A,HARIMALIA BC C,U 12 - MM H,
507236,2024-02-03,11:00,CRISTAL SERAING A,CONDROZ MODAVE BB B,U 12 - MM H,
507116,2024-02-11,10:30,CRISTAL SERAING A,UN HUY BASKET B,U 12 - MM H,
507256,2024-02-17,16:00,RSW LIEGE BASKET B,CRISTAL SERAING A,U 12 - MM H,
507296,2024-03-16,17:00,CRISTAL SERAING A,GIANTS BRAIVES B,U 12 - MM H,
507324,2024-04-07,11:00,UN HUY BASKET B,CRISTAL SERAING A,U 12 - MM H,
507346,2024-04-20,11:00,CRISTAL SERAING A,BC COINTE B,U 12 - MM H,
601164,2023-12-17,12:30,CRISTAL SERAING,ATLAS A JUPILLE,U 14 - DD B,
601194,2024-01-07,10:30,CRISTAL SERAING,BC SPRIMONT,U 14 - DD B,
481162,2023-12-16,12:30,GRACE-HOLLOGNE,CRISTAL SERAING,U 14 - ELITES MM B,
481191,2024-01-07,12:30,CRISTAL SERAING,RBC AWANS A,U 14 - ELITES MM B,
492166,2023-12-16,13:00,CRISTAL SERAING B,RBC ALLEUR B,U 14 - PROV MM C,
492036,2024-01-06,10:00,CRISTAL SERAING B,GIANTS BRAIVES A,U 14 - PROV MM C,
492206,2024-01-13,15:00,CRISTAL SERAING B,RBC BLEGNY,U 14 - PROV MM C,
492212,2024-01-20,15:00,GIANTS BRAIVES A,CRISTAL SERAING B,U 14 - PROV MM C,
492226,2024-01-27,13:00,CRISTAL SERAING B,ALL. FLEMALLE A,U 14 - PROV MM C,
492236,2024-02-03,9:00,CRISTAL SERAING B,BC COINTE,U 14 - PROV MM C,
492245,2024-02-11,13:00,ROYAL BC WANZE,CRISTAL SERAING B,U 14 - PROV MM C,
492256,2024-03-09,15:00,RBC HANEFFE,CRISTAL SERAING B,U 14 - PROV MM C,
492296,2024-03-16,13:00,CRISTAL SERAING B,VAIL. JUPILLE,U 14 - PROV MM C,
492301,2024-03-24,15:00,HARIMALIA BC B,CRISTAL SERAING B,U 14 - PROV MM C,
492346,2024-04-20,13:00,CRISTAL SERAING B,ATLAS A JUPILLE C,U 14 - PROV MM C,
591162,2023-12-16,12:30,BCM HERSTAL,CRISTAL SERAING,U 16 - DD B,
591191,2024-01-06,12:00,CRISTAL SERAING,RBC AWANS,U 16 - DD B,
471163,2023-12-16,15:00,CRISTAL SERAING B,ABC WAREMME,U 16 - PROV MM B,
471203,2024-01-13,11:00,BC COINTE,CRISTAL SERAING B,U 16 - PROV MM B,
