Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
415323,2026-04-11,21:00,VAIL. JUPILLE,CRISTAL SGH A,DD - DIVISION 2 B,
415161,2026-04-18,20:00,R.UN.BELLAIRE B,CRISTAL SGH A,DD - DIVISION 2 B,
416325,2026-04-12,17:00,CRISTAL SGH B,ROYAL HERVE-BATTICE D,DD - DIVISION 3 A,
416331,2026-04-19,15:00,LA VILLERSOISE B,CRISTAL SGH B,DD - DIVISION 3 A,
401323,2026-04-10,21:00,BC BELLEFLAMME B,CRISTAL SGH A,MM - DIVISION 1,
401335,2026-04-19,15:00,CRISTAL SGH A,ALL. FLEMALLE A,MM - DIVISION 1,
405325,2026-04-12,13:00,CRISTAL SGH C,BC OLNE,MM - DIVISION 3 B,
405331,2026-04-18,19:00,HARIMALIA BC D,CRISTAL SGH C,MM - DIVISION 3 B,
406325,2026-04-11,19:00,CRISTAL SGH B,UN HUY BASKET A,MM - DIVISION 3 C,
406305,2026-04-14,20:30,CRISTAL SGH B,THEUX BC B,MM - DIVISION 3 C,(Site des 18 Bonniers)
406331,2026-04-18,19:00,RBC WELKENRAEDT A,CRISTAL SGH B,MM - DIVISION 3 C,
408336,2026-04-19,17:00,CRISTAL SGH D,RBC AWANS B,MM - DIVISION 4 B,(Ecole de la Troque)
410323,2026-04-11,21:00,RBC AWANS C,CRISTAL SGH E,MM - DIVISION 4 D,
410335,2026-04-19,11:00,CRISTAL SGH E,BC TORES LIEGE,MM - DIVISION 4 D,
524331,2026-04-18,11:00,ROYAL HERVE-BATTICE D,CRISTAL SGH B,U 10 - MM E,
526324,2026-04-11,9:00,CRISTAL SGH F,RB TILFF B,U 10 - MM G,
526336,2026-04-18,15:00,R 4A AYWAILLE-HAMOIR B,CRISTAL SGH F,U 10 - MM G,(Hall de Hamoir)
527324,2026-04-11,9:00,RABC ENSIVAL A,CRISTAL SGH C,U 10 - MM H,
527331,2026-04-18,11:00,RBC BLEGNY A,CRISTAL SGH C,U 10 - MM H,
528324,2026-04-11,9:00,BC COINTE B,CRISTAL SGH D,U 10 - MM I,
528331,2026-04-18,11:15,RBC VISE B,CRISTAL SGH D,U 10 - MM I,(Salle de Fourons)
531325,2026-04-11,11:00,CRISTAL SGH A,UN HUY BASKET C,U 10 - MM L,
531335,2026-04-18,11:00,CRISTAL SGH A,RBC ALLEUR C,U 10 - MM L,
610331,2026-04-18,12:45,ALL. FLEMALLE,CRISTAL SGH,U 12 - DD,
502325,2026-04-11,13:00,CRISTAL SGH B,RBC ESNEUX,U 12 - MM C,
502335,2026-04-18,13:00,CRISTAL SGH B,ROYAL SPA BC,U 12 - MM C,
503326,2026-04-11,15:00,CRISTAL SGH A,ABC WAREMME D,U 12 - MM D,
504324,2026-04-11,9:00,BC BELLEFLAMME C,CRISTAL SGH C,U 12 - MM E,
504331,2026-04-18,13:00,HARIMALIA BC A,CRISTAL SGH C,U 12 - MM E,
600335,2026-04-18,13:00,CRISTAL SGH,RBC BLEGNY,U 14 - DD A,(Site des 18 Bonniers)
481324,2026-04-11,13:00,BC COINTE,CRISTAL SGH A,U 14 - ELITES MM B,
481331,2026-04-19,15:00,HARIMALIA BC A,CRISTAL SGH A,U 14 - ELITES MM B,
491331,2026-04-18,9:00,ROYAL SPA BC,CRISTAL SGH B,U 14 - PROV MM B,
492325,2026-04-11,17:00,CRISTAL SGH C,RBC ESNEUX B,U 14 - PROV MM C,
492335,2026-04-18,17:00,CRISTAL SGH C,R 4A AYWAILLE-HAMOIR,U 14 - PROV MM C,
450232,2026-04-11,13:00,ROYAL SPA BC B,CRISTAL SGH B,U 16 - ELITES MM A,
450335,2026-04-18,9:00,CRISTAL SGH B,ABC WAREMME A,U 16 - ELITES MM A,
451324,2026-04-11,11:00,CRISTAL SGH A,R 4A AYWAILLE-HAMOIR,U 16 - ELITES MM B,
451336,2026-04-18,15:00,COLLEGE S LOUIS A,CRISTAL SGH A,U 16 - ELITES MM B,
472325,2026-04-11,15:00,CRISTAL SGH D,MARCHIN BASKET,U 16 - PROV MM C,
472335,2026-04-18,11:00,CRISTAL SGH D,ABC WAREMME B,U 16 - PROV MM C,(Site des 18 Bonniers)
430325,2026-04-11,13:00,CRISTAL SGH A,BC COINTE,U 18 - ELITES MM A,
430335,2026-04-18,13:00,CRISTAL SGH A,RBC VISE A,U 18 - ELITES MM A,
431335,2026-04-18,15:00,CRISTAL SGH B,ALL. FLEMALLE A,U 18 - ELITES MM B,
440325,2026-04-12,15:00,CRISTAL SGH C,BCM HERSTAL,U 18 - PROV MM,
440331,2026-04-19,17:00,ALL. FLEMALLE B,CRISTAL SGH C,U 18 - PROV MM,
421324,2026-04-11,11:30,RB TILFF,CRISTAL SGH,U 21 - MM B,
421332,2026-04-18,17:00,BC SPRIMONT,CRISTAL SGH,U 21 - MM B,
AW148015,2026-04-11,17:00,BB GEMBLOUX,CRISTAL SGH,U 21 - SILVER REGIONAUX A,
AW148008,2026-04-19,13:00,CRISTAL SGH,BRAINE LE CHATEAU,U 21 - SILVER REGIONAUX A,
551324,2026-04-11,10:15,BC COINTE,CRISTAL SGH B,U 7 - MM B,
551331,2026-04-19,11:00,ROYAL BC NINANE,CRISTAL SGH B,U 7 - MM B,
552325,2026-04-11,9:30,CRISTAL SGH A,LA VILLERSOISE B,U 7 - MM C,
552335,2026-04-18,9:30,CRISTAL SGH A,HARIMALIA BC,U 7 - MM C,
541331,2026-04-18,9:00,ROYAL SPA BC B,CRISTAL SGH B,U 8 - MM B,
543325,2026-04-11,11:00,CRISTAL SGH A,BC BELLEFLAMME A,U 8 - MM D,
543335,2026-04-18,9:30,CRISTAL SGH A,ALL. FLEMALLE A,U 8 - MM D,
