Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
402252,2025-02-02,14:30,MAIL. COMBLAIN B,FLERON BBC A,MM - DIVISION 2 A,
402246,2025-02-06,21:00,FLERON BBC A,ESL UNITED E,MM - DIVISION 2 A,
402206,2025-02-13,21:00,FLERON BBC A,BC VERVIERS B,MM - DIVISION 2 A,
402226,2025-02-20,21:00,FLERON BBC A,PEPINSTER EAST BELG C,MM - DIVISION 2 A,
402265,2025-02-21,20:15,R.UN.BELLAIRE A,FLERON BBC A,MM - DIVISION 2 A,
402286,2025-03-09,11:00,FLERON BBC A,RBC VISE A,MM - DIVISION 2 A,
402157,2025-03-15,19:00,RBC CROATIA OUPEYE A,FLERON BBC A,MM - DIVISION 2 A,
402304,2025-03-21,21:00,ATLAS A JUPILLE B,FLERON BBC A,MM - DIVISION 2 A,
402316,2025-03-30,11:00,FLERON BBC A,RBC CROATIA OUPEYE A,MM - DIVISION 2 A,
402322,2025-04-05,21:00,HARIMALIA BC B,FLERON BBC A,MM - DIVISION 2 A,
402336,2025-04-13,11:00,FLERON BBC A,BC BELLEFLAMME C,MM - DIVISION 2 A,
402341,2025-04-19,21:00,RB TILFF B,FLERON BBC A,MM - DIVISION 2 A,
410115,2025-01-30,21:00,REBOND NEUVILLE,FLERON BBC B,MM - DIVISION 4 D,
410206,2025-02-02,10:00,FLERON BBC B,ROYAL BC NINANE E,MM - DIVISION 4 D,
410246,2025-02-09,13:00,FLERON BBC B,DF BC MALMEDY,MM - DIVISION 4 D,
410252,2025-02-16,17:00,ROYAL ANS BC B,FLERON BBC B,MM - DIVISION 4 D,
410226,2025-02-19,21:00,FLERON BBC B,BC VERLAINE B,MM - DIVISION 4 D,
410286,2025-03-09,13:00,FLERON BBC B,REBOND NEUVILLE,MM - DIVISION 4 D,
410304,2025-03-23,15:00,UN HUY BASKET C,FLERON BBC B,MM - DIVISION 4 D,
410316,2025-03-30,13:00,FLERON BBC B,RBC ALLEUR E,MM - DIVISION 4 D,
410322,2025-04-06,15:30,BC TORES LIEGE,FLERON BBC B,MM - DIVISION 4 D,
410336,2025-04-13,13:00,FLERON BBC B,ROYAL BASKET OTHEE,MM - DIVISION 4 D,
410341,2025-04-19,17:00,BC SPRIMONT D,FLERON BBC B,MM - DIVISION 4 D,
527226,2025-02-02,10:00,FLERON BBC,BC COINTE B,U 10 - MM H,
527246,2025-02-09,10:00,FLERON BBC,PEPINSTER EAST BELG C,U 10 - MM H,
527252,2025-02-15,9:00,ROYAL ANS BC B,FLERON BBC,U 10 - MM H,
527286,2025-03-09,10:00,FLERON BBC,RBC AWANS B,U 10 - MM H,
527304,2025-03-22,12:30,HENRI-CHAPELLE C,FLERON BBC,U 10 - MM H,
527316,2025-03-30,10:00,FLERON BBC,LA VILLERSOISE D,U 10 - MM H,
527321,2025-04-05,11:00,RBC HANEFFE,FLERON BBC,U 10 - MM H,
