Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
AW253011,2024-09-03,20:00,WEZMBEEK OPPEM,CONDROZ MODAVE BB,COUPE AWBB PUPILLES MM,
764114,2024-08-31,10:30,CONDROZ MODAVE BB,R 4A AYWAILLE-HAMOIR A,CPE PROV PUPILLES MM,
520026,2024-09-08,10:15,RSW LIEGE BASKET B,CONDROZ MODAVE BB A,U 10 - MM A,
520033,2024-09-14,11:30,CONDROZ MODAVE BB A,BC SPRIMONT A,U 10 - MM A,
520042,2024-09-22,10:30,LA VILLERSOISE A,CONDROZ MODAVE BB A,U 10 - MM A,
520063,2024-10-05,11:30,CONDROZ MODAVE BB A,RABC ENSIVAL A,U 10 - MM A,
520073,2024-10-12,11:00,ABC WAREMME B,CONDROZ MODAVE BB A,U 10 - MM A,
520083,2024-10-19,11:30,CONDROZ MODAVE BB A,DISON-ANDRIMONT B,U 10 - MM A,
520135,2024-11-02,09:00,GIANTS BRAIVES A,CONDROZ MODAVE BB A,U 10 - MM A,
520114,2024-11-10,09:00,ROYAL BC NINANE A,CONDROZ MODAVE BB A,U 10 - MM A,
520123,2024-11-16,11:30,CONDROZ MODAVE BB A,RB TILFF A,U 10 - MM A,
520166,2024-12-15,11:00,ALL. FLEMALLE A,CONDROZ MODAVE BB A,U 10 - MM A,
520201,2025-01-11,11:30,BC SPRIMONT A,CONDROZ MODAVE BB A,U 10 - MM A,
520213,2025-01-18,13:15,CONDROZ MODAVE BB A,LA VILLERSOISE A,U 10 - MM A,
520223,2025-01-25,11:30,CONDROZ MODAVE BB A,ALL. FLEMALLE A,U 10 - MM A,
520243,2025-02-08,11:30,CONDROZ MODAVE BB A,ABC WAREMME B,U 10 - MM A,
520255,2025-02-15,09:00,DISON-ANDRIMONT B,CONDROZ MODAVE BB A,U 10 - MM A,
520263,2025-02-22,13:15,CONDROZ MODAVE BB A,RSW LIEGE BASKET B,U 10 - MM A,
520283,2025-03-08,11:30,CONDROZ MODAVE BB A,ROYAL BC NINANE A,U 10 - MM A,
520301,2025-03-23,11:15,RB TILFF A,CONDROZ MODAVE BB A,U 10 - MM A,
520323,2025-04-05,11:30,CONDROZ MODAVE BB A,GIANTS BRAIVES A,U 10 - MM A,
520334,2025-04-12,11:00,RABC ENSIVAL A,CONDROZ MODAVE BB A,U 10 - MM A,
523033,2024-09-14,11:30,CONDROZ MODAVE BB B,ROYAL BC WANZE A,U 10 - MM D,
523042,2024-09-22,10:30,LA VILLERSOISE C,CONDROZ MODAVE BB B,U 10 - MM D,
523063,2024-10-05,11:45,CONDROZ MODAVE BB B,UN HUY BASKET A,U 10 - MM D,
523073,2024-10-12,15:00,R HT-PRE OUGREE B,CONDROZ MODAVE BB B,U 10 - MM D,
523083,2024-10-19,11:30,CONDROZ MODAVE BB B,HANNUT BC,U 10 - MM D,
523114,2024-11-09,12:00,CRISTAL SERAING D,CONDROZ MODAVE BB B,U 10 - MM D,
523123,2024-11-16,13:15,CONDROZ MODAVE BB B,BC VERLAINE A,U 10 - MM D,
523153,2024-12-07,11:30,CONDROZ MODAVE BB B,ABC WAREMME A,U 10 - MM D,
523166,2024-12-14,11:00,ALL. FLEMALLE C,CONDROZ MODAVE BB B,U 10 - MM D,
523201,2025-01-12,10:30,ROYAL BC WANZE A,CONDROZ MODAVE BB B,U 10 - MM D,
523213,2025-01-18,11:30,CONDROZ MODAVE BB B,LA VILLERSOISE C,U 10 - MM D,
523223,2025-01-25,13:15,CONDROZ MODAVE BB B,ALL. FLEMALLE C,U 10 - MM D,
523243,2025-02-08,13:15,CONDROZ MODAVE BB B,R HT-PRE OUGREE B,U 10 - MM D,
523255,2025-02-15,12:00,HANNUT BC,CONDROZ MODAVE BB B,U 10 - MM D,
523283,2025-03-08,13:15,CONDROZ MODAVE BB B,CRISTAL SERAING D,U 10 - MM D,
523301,2025-03-22,11:00,BC VERLAINE A,CONDROZ MODAVE BB B,U 10 - MM D,
