Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
182,2026-02-01,17:00,BCCA NEUFCHATEAU B,ESL UNITED A,COUPE AWBB MESSIEURS,(Salle BBC Brainois)
401216,2026-01-24,20:00,MAIL. COMBLAIN B,ESL UNITED C,MM - DIVISION 1,
401226,2026-01-30,19:00,ESL UNITED C,HENRI-CHAPELLE A,MM - DIVISION 1,
401195,2026-02-07,17:30,RB UNION LIEGE A,ESL UNITED C,MM - DIVISION 1,
401241,2026-02-15,13:00,HARIMALIA BC A,ESL UNITED C,MM - DIVISION 1,
401186,2026-02-20,19:00,ESL UNITED C,ETOILE JUPILLE A,MM - DIVISION 1,
401266,2026-02-27,19:00,ESL UNITED C,CRISTAL SGH A,MM - DIVISION 1,
401274,2026-03-07,17:00,RBC HANEFFE A,ESL UNITED C,MM - DIVISION 1,
401292,2026-03-22,13:00,THEUX BC A,ESL UNITED C,MM - DIVISION 1,
401301,2026-03-28,19:00,ALL. FLEMALLE A,ESL UNITED C,MM - DIVISION 1,
401316,2026-04-04,21:00,ESL UNITED C,HANNUT BC A,MM - DIVISION 1,
401322,2026-04-11,20:30,RABC ENSIVAL A,ESL UNITED C,MM - DIVISION 1,
401336,2026-04-17,19:00,ESL UNITED C,BC BELLEFLAMME B,MM - DIVISION 1,
402216,2026-01-25,15:00,ROYAL BC WANZE B,ESL UNITED E,MM - DIVISION 2 A,
402226,2026-01-31,19:00,ESL UNITED E,RBC ALLEUR C,MM - DIVISION 2 A,
402195,2026-02-08,17:00,ATLAS A JUPILLE B,ESL UNITED E,MM - DIVISION 2 A,
402241,2026-02-15,11:00,HARIMALIA BC C,ESL UNITED E,MM - DIVISION 2 A,
402163,2026-02-21,20:00,ROYAL SPA BC C,ESL UNITED E,MM - DIVISION 2 A,
402266,2026-02-28,19:00,ESL UNITED E,FLERON BBC A,MM - DIVISION 2 A,
402274,2026-03-07,21:00,BC BELLEFLAMME C,ESL UNITED E,MM - DIVISION 2 A,
402292,2026-03-21,21:00,BC SPRIMONT C,ESL UNITED E,MM - DIVISION 2 A,
402301,2026-03-28,17:00,ABC WAREMME B,ESL UNITED E,MM - DIVISION 2 A,
402316,2026-04-04,19:00,ESL UNITED E,RBC VISE A,MM - DIVISION 2 A,
402322,2026-04-12,9:30,RBC STAVELOT A,ESL UNITED E,MM - DIVISION 2 A,
402336,2026-04-18,19:00,ESL UNITED E,ROYAL SPA BC C,MM - DIVISION 2 A,
403214,2026-01-25,14:00,ESL UNITED D,ROYAL SPA BC B,MM - DIVISION 2 B,
403222,2026-01-31,19:00,PEPINSTER EAST BELG C,ESL UNITED D,MM - DIVISION 2 B,
403184,2026-02-04,20:30,ESL UNITED D,RB TILFF B,MM - DIVISION 2 B,
403244,2026-02-14,19:00,ESL UNITED D,VAIL. JUPILLE A,MM - DIVISION 2 B,
403264,2026-03-01,14:00,ESL UNITED D,RBC ALLEUR B,MM - DIVISION 2 B,
403272,2026-03-08,11:00,ROYAL HERVE-BATTICE A,ESL UNITED D,MM - DIVISION 2 B,
403337,2026-03-14,17:00,RBC VISE B,ESL UNITED D,MM - DIVISION 2 B,
403296,2026-03-22,11:00,BC VERVIERS C,ESL UNITED D,MM - DIVISION 2 B,
403304,2026-03-29,14:00,ESL UNITED D,HARIMALIA BC B,MM - DIVISION 2 B,
403313,2026-04-03,20:15,R.UN.BELLAIRE A,ESL UNITED D,MM - DIVISION 2 B,
403324,2026-04-12,14:00,ESL UNITED D,PRAYON TROOZ A,MM - DIVISION 2 B,
406217,2026-01-24,17:00,ESL UNITED F,R 4A AYWAILLE-HAMOIR B,MM - DIVISION 3 C,
406226,2026-02-01,14:00,BBC EUPEN,ESL UNITED F,MM - DIVISION 3 C,
406197,2026-02-07,15:00,ESL UNITED F,UN HUY BASKET A,MM - DIVISION 3 C,
406247,2026-02-14,17:00,ESL UNITED F,RBC BLEGNY A,MM - DIVISION 3 C,
406264,2026-02-21,17:00,BC COINTE C,ESL UNITED F,MM - DIVISION 3 C,
406277,2026-03-08,11:00,ESL UNITED F,CRISTAL SGH B,MM - DIVISION 3 C,
406297,2026-03-22,11:00,ESL UNITED F,RBC VISE C,MM - DIVISION 3 C,
406306,2026-03-28,21:00,BC REVEIL A,ESL UNITED F,MM - DIVISION 3 C,
406317,2026-04-04,17:00,ESL UNITED F,RBC STAVELOT B,MM - DIVISION 3 C,
406327,2026-04-12,12:30,ESL UNITED F,RBC WELKENRAEDT A,MM - DIVISION 3 C,
406334,2026-04-19,11:30,BC SANKT VITH,ESL UNITED F,MM - DIVISION 3 C,
AW101106,2026-01-23,20:30,UNION MONS-HAINAUT,ESL UNITED B,MM - REGIONALE 1,
AW101131,2026-02-15,16:00,BCCA NEUFCHATEAU,ESL UNITED B,MM - REGIONALE 1,
AW101137,2026-02-20,21:00,ESL UNITED B,RCS NATOYE,MM - REGIONALE 1,
AW101053,2026-02-27,21:00,ESL UNITED B,CASTORS BRAINE,MM - REGIONALE 1,
AW101151,2026-03-06,21:00,ESL UNITED B,ASTE KAIN,MM - REGIONALE 1,
AW101116,2026-03-09,20:30,ESL UNITED B,RBC LOYERS,MM - REGIONALE 1,
AW101156,2026-03-15,11:00,BC SPRIMONT B,ESL UNITED B,MM - REGIONALE 1,
AW101122,2026-03-29,15:00,RPC ANDERLECHT,ESL UNITED B,MM - REGIONALE 1,
AW101172,2026-04-11,19:30,BC VERVIERS A,ESL UNITED B,MM - REGIONALE 1,
AW101179,2026-04-17,21:00,ESL UNITED B,BB GEMBLOUX,MM - REGIONALE 1,
AW101165,2026-04-24,20:00,ESL UNITED B,RSW LIEGE BASKET A,MM - REGIONALE 1,
NAHSE21BGB,2026-01-25,16:00,ESL UNITED A,BASICS MELSELE,TOP DIVISION MEN 2 B,
NAHSE21BDG,2026-01-31,19:00,ANDENNE BASKET,ESL UNITED A,TOP DIVISION MEN 2 B,
NAHSE21BGE,2026-02-08,16:00,ESL UNITED A,JEUGD GENTSON,TOP DIVISION MEN 2 B,
NAHSE21BGI,2026-02-14,21:00,ESL UNITED A,PHANTOMS BOOM,TOP DIVISION MEN 2 B,
NAHSE21BGM,2026-03-01,16:00,ESL UNITED A,ROYAL WATERLOO,TOP DIVISION MEN 2 B,
NAHSE21BCG,2026-03-07,19:00,BC SPRIMONT A,ESL UNITED A,TOP DIVISION MEN 2 B,
