Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
401232,2024-02-02,20:15,R.UN.BELLAIRE A,ESNEUX S LOUIS UTD C,MM - DIVISION 1,
401247,2024-02-09,19:00,ESNEUX S LOUIS UTD C,ATLAS A JUPILLE B,MM - DIVISION 1,(Collège Saint-Louis)
401257,2024-02-17,21:00,ESNEUX S LOUIS UTD C,UN HUY BASKET A,MM - DIVISION 1,(Collège Saint-Louis)
401266,2024-02-24,19:00,RB UNION LIEGE A,ESNEUX S LOUIS UTD C,MM - DIVISION 1,
401283,2024-03-09,18:45,RBC ALLEUR B,ESNEUX S LOUIS UTD C,MM - DIVISION 1,
401297,2024-03-16,21:00,ESNEUX S LOUIS UTD C,ROYAL BC WANZE A,MM - DIVISION 1,(Collège Saint-Louis)
401304,2024-03-22,21:00,HANNUT BC A,ESNEUX S LOUIS UTD C,MM - DIVISION 1,
401327,2024-04-06,19:00,ESNEUX S LOUIS UTD C,RB TILFF A,MM - DIVISION 1,(Collège Saint-Louis)
401346,2024-04-20,18:30,GRACE-HOLLOGNE A,ESNEUX S LOUIS UTD C,MM - DIVISION 1,
401357,2024-04-28,13:00,ESNEUX S LOUIS UTD C,DISON-ANDRIMONT A,MM - DIVISION 1,(Collège Saint-Louis)
402237,2024-02-03,16:00,ESNEUX S LOUIS UTD D,RABC ENSIVAL B,MM - DIVISION 2 A,(Collège Saint-Louis)
402201,2024-02-07,21:00,RB TILFF B,ESNEUX S LOUIS UTD D,MM - DIVISION 2 A,
402243,2024-02-11,15:00,HARIMALIA BC B,ESNEUX S LOUIS UTD D,MM - DIVISION 2 A,
402255,2024-02-17,17:00,RBC VISE B,ESNEUX S LOUIS UTD D,MM - DIVISION 2 A,
402267,2024-02-23,19:00,ESNEUX S LOUIS UTD D,RBC ALLEUR C,MM - DIVISION 2 A,(Collège Saint-Louis)
402287,2024-03-08,19:00,ESNEUX S LOUIS UTD D,R.UN.BELLAIRE B,MM - DIVISION 2 A,(Collège Saint-Louis)
402296,2024-03-17,13:00,RBC AUBEL B,ESNEUX S LOUIS UTD D,MM - DIVISION 2 A,
402307,2024-03-23,19:00,ESNEUX S LOUIS UTD D,PRAYON TROOZ A,MM - DIVISION 2 A,(Collège Saint-Louis)
402324,2024-04-07,15:00,ROYAL ANS BC A,ESNEUX S LOUIS UTD D,MM - DIVISION 2 A,
402347,2024-04-21,13:00,ESNEUX S LOUIS UTD D,ACSA MOSA ANGL.,MM - DIVISION 2 A,(Collège Saint-Louis)
402356,2024-04-27,19:00,BC VERLAINE,ESNEUX S LOUIS UTD D,MM - DIVISION 2 A,
403233,2024-02-03,19:00,BC COINTE B,ESNEUX S LOUIS UTD E,MM - DIVISION 2 B,
403241,2024-02-09,21:00,ESNEUX S LOUIS UTD E,RBC STAVELOT A,MM - DIVISION 2 B,(Collège Saint-Louis)
403251,2024-02-17,19:00,ESNEUX S LOUIS UTD E,RBC CROATIA OUPEYE A,MM - DIVISION 2 B,(Collège Saint-Louis)
403265,2024-02-24,19:00,ALL. FLEMALLE A,ESNEUX S LOUIS UTD E,MM - DIVISION 2 B,(Athénée Guy Lang)
403281,2024-03-09,21:00,MAIL. COMBLAIN B,ESNEUX S LOUIS UTD E,MM - DIVISION 2 B,
403291,2024-03-16,17:00,ESNEUX S LOUIS UTD E,HARIMALIA BC A,MM - DIVISION 2 B,(Collège Saint-Louis)
403307,2024-03-23,18:00,BC VERVIERS B,ESNEUX S LOUIS UTD E,MM - DIVISION 2 B,
403321,2024-04-06,17:00,ESNEUX S LOUIS UTD E,THEUX BC A,MM - DIVISION 2 B,(Collège Saint-Louis)
403344,2024-04-21,13:00,HERVE-BATTICE A,ESNEUX S LOUIS UTD E,MM - DIVISION 2 B,
403351,2024-04-27,19:00,ESNEUX S LOUIS UTD E,LA VILLERSOISE A,MM - DIVISION 2 B,(Collège Saint-Louis)
404237,2024-02-04,10:00,ESNEUX S LOUIS UTD F,ATLAS A JUPILLE C,MM - DIVISION 3 A,(Esneux)
404243,2024-02-10,18:30,HANNUT BC B,ESNEUX S LOUIS UTD F,MM - DIVISION 3 A,
404255,2024-02-18,15:00,UN HUY BASKET B,ESNEUX S LOUIS UTD F,MM - DIVISION 3 A,
404267,2024-02-25,14:00,ESNEUX S LOUIS UTD F,RBC ALLEUR D,MM - DIVISION 3 A,(Esneux)
404155,2024-02-27,20:00,ALL. FLEMALLE B,ESNEUX S LOUIS UTD F,MM - DIVISION 3 A,
404287,2024-03-10,14:00,ESNEUX S LOUIS UTD F,GIANTS BRAIVES A,MM - DIVISION 3 A,(Esneux)
404296,2024-03-16,21:00,RBC HANEFFE B,ESNEUX S LOUIS UTD F,MM - DIVISION 3 A,
404307,2024-03-24,12:00,ESNEUX S LOUIS UTD F,BC SPRIMONT C,MM - DIVISION 3 A,(Esneux)
404087,2024-04-09,20:00,ESNEUX S LOUIS UTD F,US AWANS A,MM - DIVISION 3 A,(Esneux)
404347,2024-04-21,16:00,ESNEUX S LOUIS UTD F,ALL. FLEMALLE B,MM - DIVISION 3 A,(Esneux)
404356,2024-04-28,11:00,FLERON BBC,ESNEUX S LOUIS UTD F,MM - DIVISION 3 A,
408232,2024-02-04,13:30,BC TORES LIEGE B,ESNEUX S LOUIS UTD G,MM - DIVISION 4 B,
408257,2024-02-18,10:00,ESNEUX S LOUIS UTD G,ABC WAREMME C,MM - DIVISION 4 B,(Esneux)
408283,2024-03-09,20:30,HERVE-BATTICE C,ESNEUX S LOUIS UTD G,MM - DIVISION 4 B,
408297,2024-03-17,12:00,ESNEUX S LOUIS UTD G,UN HUY BASKET C,MM - DIVISION 4 B,(Esneux)
408346,2024-04-20,21:00,R HT-PRE OUGREE B,ESNEUX S LOUIS UTD G,MM - DIVISION 4 B,
408357,2024-04-28,14:00,ESNEUX S LOUIS UTD G,DISON-ANDRIMONT C,MM - DIVISION 4 B,(Esneux)
AW101157,2024-02-03,18:00,ESNEUX S LOUIS UTD B,BBC LOYERS,MM - REGIONALE 1,
AW101143,2024-02-10,21:00,ATLAS A JUPILLE A,ESNEUX S LOUIS UTD B,MM - REGIONALE 1,
AW101165,2024-02-16,20:45,CFB FLEURUS,ESNEUX S LOUIS UTD B,MM - REGIONALE 1,
AW101177,2024-02-23,21:00,ESNEUX S LOUIS UTD B,BC COINTE A,MM - REGIONALE 1,
AW101197,2024-03-08,21:00,ESNEUX S LOUIS UTD B,ANDENNE BASKET,MM - REGIONALE 1,
AW101217,2024-03-23,17:00,ESNEUX S LOUIS UTD B,BC SPRIMONT B,MM - REGIONALE 1,
AW101204,2024-04-05,20:45,CASTORS BRAINE,ESNEUX S LOUIS UTD B,MM - REGIONALE 1,
AW101226,2024-04-14,15:00,RBC AUBEL A,ESNEUX S LOUIS UTD B,MM - REGIONALE 1,
AW101237,2024-04-21,11:00,ESNEUX S LOUIS UTD B,BC BELLEFLAMME A,MM - REGIONALE 1,
AW101246,2024-04-26,21:00,UNITED B WOLUWE,ESNEUX S LOUIS UTD B,MM - REGIONALE 1,
NAHSE21BCM,2024-02-04,15:30,ROYAL IV BRUSSEL B,ESNEUX S LOUIS UTD A,TOP DIVISION MEN 2 B,
NAHSE21BMN,2024-02-18,16:00,ESNEUX S LOUIS UTD A,RSW LIEGE BASKET A,TOP DIVISION MEN 2 B,
NAHSE21BLM,2024-02-24,20:15,BC ASSE-TERNAT,ESNEUX S LOUIS UTD A,TOP DIVISION MEN 2 B,
NAHSE21BMB,2024-03-03,16:00,ESNEUX S LOUIS UTD A,BASKET SIJSELE,TOP DIVISION MEN 2 B,
NAHSE21BEM,2024-03-10,17:00,UBCF QUAREGNON,ESNEUX S LOUIS UTD A,TOP DIVISION MEN 2 B,
NAHSE21BMI,2024-03-17,16:00,ESNEUX S LOUIS UTD A,BBL'9 FLENU,TOP DIVISION MEN 2 B,
NAHSE21BGM,2024-03-24,18:00,BASKET WILLEBROEK,ESNEUX S LOUIS UTD A,TOP DIVISION MEN 2 B,
NAHSE21BMA,2024-04-06,21:00,ESNEUX S LOUIS UTD A,KBBC OOSTKAMP,TOP DIVISION MEN 2 B,
NAHSE21BHM,2024-04-13,20:00,ROYAL NIVELLES,ESNEUX S LOUIS UTD A,TOP DIVISION MEN 2 B,
NAHSE21BKM,2024-04-19,21:00,UNITED B WOLUWE,ESNEUX S LOUIS UTD A,TOP DIVISION MEN 2 B,
NAHSE21BMD,2024-04-28,16:00,ESNEUX S LOUIS UTD A,GUCO LIER B,TOP DIVISION MEN 2 B,
460242,2024-02-10,17:00,ESNEUX S LOUIS UTD,BC COINTE,U 16 - ELITES MM A,
460252,2024-02-17,14:45,ESNEUX S LOUIS UTD,UN HUY BASKET,U 16 - ELITES MM A,
460115,2024-03-09,17:00,RBC VISE A,ESNEUX S LOUIS UTD,U 16 - ELITES MM A,
460292,2024-03-16,15:00,ESNEUX S LOUIS UTD,RBC 4A AYWAILLE A,U 16 - ELITES MM A,
460304,2024-03-24,15:00,RBC AWANS A,ESNEUX S LOUIS UTD,U 16 - ELITES MM A,
460322,2024-04-07,11:00,ESNEUX S LOUIS UTD,RBC VISE A,U 16 - ELITES MM A,
460342,2024-04-20,9:00,ESNEUX S LOUIS UTD,ABC WAREMME,U 16 - ELITES MM A,
INJ1812ACE,2024-02-11,13:00,ESNEUX S LOUIS UTD,OXACO BOECHOUT,U 18 MM - NATIONAUX A,
INJ1812ACF,2024-02-18,11:00,ESNEUX S LOUIS UTD,RCS NATOYE,U 18 MM - NATIONAUX A,
INJ1812AAC,2024-03-10,16:00,NEXTGEN ACADEMY,ESNEUX S LOUIS UTD,U 18 MM - NATIONAUX A,
INJ1812ABC,2024-03-17,15:00,ANTWERP GIANTS,ESNEUX S LOUIS UTD,U 18 MM - NATIONAUX A,
INJ1812ACD,2024-03-23,10:00,ESNEUX S LOUIS UTD,KANG. MECHELEN,U 18 MM - NATIONAUX A,
INJ1812ACB,2024-04-01,14:00,ESNEUX S LOUIS UTD,ANTWERP GIANTS,U 18 MM - NATIONAUX A,
INJ1812AFC,2024-04-06,11:00,RCS NATOYE,ESNEUX S LOUIS UTD,U 18 MM - NATIONAUX A,
INJ2112AFC,2024-02-03,11:00,GUCO LIER,ESNEUX S LOUIS UTD,U 21 MM - NATIONAUX A,
INJ2112ACE,2024-02-11,11:00,ESNEUX S LOUIS UTD,ROYAL IV BRUSSEL,U 21 MM - NATIONAUX A,
INJ2112ABC,2024-02-25,13:30,BC OOSTENDE BASKET,ESNEUX S LOUIS UTD,U 21 MM - NATIONAUX A,
INJ2112ACA,2024-03-02,11:00,ESNEUX S LOUIS UTD,BELFIUS MONS-HT,U 21 MM - NATIONAUX A,
INJ2112ADC,2024-03-09,12:15,KORTRIJK SPURS,ESNEUX S LOUIS UTD,U 21 MM - NATIONAUX A,
INJ2112AAC,2024-03-29,20:30,BELFIUS MONS-HT,ESNEUX S LOUIS UTD,U 21 MM - NATIONAUX A,
INJ2112ACD,2024-04-01,12:00,ESNEUX S LOUIS UTD,KORTRIJK SPURS,U 21 MM - NATIONAUX A,
INJ2112ACB,2024-04-12,19:00,ESNEUX S LOUIS UTD,BC OOSTENDE BASKET,U 21 MM - NATIONAUX A,
INJ2112AEC,2024-04-21,17:00,ROYAL IV BRUSSEL,ESNEUX S LOUIS UTD,U 21 MM - NATIONAUX A,
INJ2112ACF,2024-04-27,13:00,ESNEUX S LOUIS UTD,GUCO LIER,U 21 MM - NATIONAUX A,
ING1412ABA,2024-02-03,14:00,GEMBAS KNESSELARE,ESNEUX S LOUIS UTD,U14 MM - NATIONAUX A,
ING1412AAD,2024-02-11,15:00,ESNEUX S LOUIS UTD,HUBO LIMBURG,U14 MM - NATIONAUX A,
ING1412ACA,2024-02-17,11:00,SAN-MAZUIN BELGRADE,ESNEUX S LOUIS UTD,U14 MM - NATIONAUX A,
ING1412AEA,2024-02-24,11:00,ATLAS A JUPILLE,ESNEUX S LOUIS UTD,U14 MM - NATIONAUX A,
ING1412AFA,2024-03-23,15:00,BAVI VILVOORDE,ESNEUX S LOUIS UTD,U14 MM - NATIONAUX A,
ING1412AAC,2024-04-06,13:00,ESNEUX S LOUIS UTD,SAN-MAZUIN BELGRADE,U14 MM - NATIONAUX A,
ING1412AAE,2024-04-13,11:00,ESNEUX S LOUIS UTD,ATLAS A JUPILLE,U14 MM - NATIONAUX A,
ING1412ADA,2024-04-21,10:30,HUBO LIMBURG,ESNEUX S LOUIS UTD,U14 MM - NATIONAUX A,
ING1412AAB,2024-04-27,15:00,ESNEUX S LOUIS UTD,GEMBAS KNESSELARE,U14 MM - NATIONAUX A,
