Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
544021,2025-09-13,10:30,ALL. FLEMALLE B,BC CRISNEE B,U 8 - MM E,
544032,2025-09-20,10:45,BC CRISNEE B,ROYAL ANS BC,U 8 - MM E,
544054,2025-10-04,9:00,RBC ESNEUX,BC CRISNEE B,U 8 - MM E,
544062,2025-10-11,10:45,BC CRISNEE B,BC VERLAINE A,U 8 - MM E,
544111,2025-11-15,9:00,ROYAL HERVE-BATTICE B,BC CRISNEE B,U 8 - MM E,
544122,2025-11-22,10:45,BC CRISNEE B,RBC AWANS,U 8 - MM E,
544134,2025-11-29,9:15,COLLEGE S LOUIS,BC CRISNEE B,U 8 - MM E,
544142,2025-12-06,12:00,BC CRISNEE B,ROYAL BC WANZE,U 8 - MM E,
544213,2025-12-14,9:00,ROYAL ANS BC,BC CRISNEE B,U 8 - MM E,
544072,2025-12-21,9:00,BC SPRIMONT C,BC CRISNEE B,U 8 - MM E,
544192,2026-01-10,10:45,BC CRISNEE B,ALL. FLEMALLE B,U 8 - MM E,
544222,2026-01-31,10:45,BC CRISNEE B,RBC ESNEUX,U 8 - MM E,
544235,2026-02-07,10:45,BC VERLAINE A,BC CRISNEE B,U 8 - MM E,
544262,2026-02-28,10:45,BC CRISNEE B,ROYAL HERVE-BATTICE B,U 8 - MM E,
544296,2026-03-22,9:00,ROYAL BC WANZE,BC CRISNEE B,U 8 - MM E,
544302,2026-03-28,10:45,BC CRISNEE B,COLLEGE S LOUIS,U 8 - MM E,
544322,2026-04-11,10:15,BC CRISNEE B,BC SPRIMONT C,U 8 - MM E,
544333,2026-04-18,13:00,RBC AWANS,BC CRISNEE B,U 8 - MM E,
545012,2025-09-06,9:30,BC CRISNEE A,GIANTS BRAIVES,U 8 - MM F,
545054,2025-10-04,12:15,RB TILFF,BC CRISNEE A,U 8 - MM F,
545062,2025-10-11,9:30,BC CRISNEE A,BC VERLAINE B,U 8 - MM F,
545072,2025-10-18,13:15,CONDROZ MODAVE BB,BC CRISNEE A,U 8 - MM F,
545102,2025-11-08,9:30,BC CRISNEE A,R 4A AYWAILLE-HAMOIR,U 8 - MM F,
545122,2025-11-22,9:30,BC CRISNEE A,RBC HANEFFE,U 8 - MM F,
545134,2025-11-29,13:00,UN HUY BASKET,BC CRISNEE A,U 8 - MM F,
545142,2025-12-06,9:30,BC CRISNEE A,ORP JAUCHE,U 8 - MM F,
545021,2025-12-14,13:00,LA VILLERSOISE,BC CRISNEE A,U 8 - MM F,
545192,2026-01-10,9:30,BC CRISNEE A,LA VILLERSOISE,U 8 - MM F,
545206,2026-01-18,9:00,GIANTS BRAIVES,BC CRISNEE A,U 8 - MM F,
545222,2026-01-31,9:30,BC CRISNEE A,RB TILFF,U 8 - MM F,
545235,2026-02-07,9:15,BC VERLAINE B,BC CRISNEE A,U 8 - MM F,
545275,2026-03-07,10:15,R 4A AYWAILLE-HAMOIR,BC CRISNEE A,U 8 - MM F,
545296,2026-03-21,11:00,ORP JAUCHE,BC CRISNEE A,U 8 - MM F,
545302,2026-03-28,9:30,BC CRISNEE A,UN HUY BASKET,U 8 - MM F,
545322,2026-04-11,11:30,BC CRISNEE A,CONDROZ MODAVE BB,U 8 - MM F,
545333,2026-04-18,11:00,RBC HANEFFE,BC CRISNEE A,U 8 - MM F,
