Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
415201,2024-03-31,14:00,MAIL. COMBLAIN,HENRI-CHAPELLE B,DD - DIVISION 2 B,
415327,2024-04-07,15:00,PEPINSTER EAST BELG C,MAIL. COMBLAIN,DD - DIVISION 2 B,
415341,2024-04-21,15:00,MAIL. COMBLAIN,LA VILLERSOISE,DD - DIVISION 2 B,
415352,2024-04-27,20:00,ABC WAREMME A,MAIL. COMBLAIN,DD - DIVISION 2 B,
403327,2024-04-05,21:00,BC REVEIL A,MAIL. COMBLAIN B,MM - DIVISION 2 B,
403124,2024-04-13,20:00,RBC CROATIA OUPEYE A,MAIL. COMBLAIN B,MM - DIVISION 2 B,
403341,2024-04-21,17:00,MAIL. COMBLAIN B,RSW LIEGE BASKET D,MM - DIVISION 2 B,
403352,2024-04-27,19:00,RBC STAVELOT A,MAIL. COMBLAIN B,MM - DIVISION 2 B,
524323,2024-04-06,12:30,RBC ALLEUR A,MAIL. COMBLAIN,U 10 - MM E,
524341,2024-04-21,9:00,MAIL. COMBLAIN,COLLEGE S LOUIS A,U 10 - MM E,
504323,2024-04-07,10:45,HARIMALIA BC A,MAIL. COMBLAIN,U 12 - MM E,
504341,2024-04-21,11:00,MAIL. COMBLAIN,GRACE-HOLLOGNE B,U 12 - MM E,
603321,2024-04-06,16:30,MAIL. COMBLAIN,DISON-ANDRIMONT,U 14 - DD B - Tour 2,
603332,2024-04-13,9:00,DISON-ANDRIMONT,MAIL. COMBLAIN,U 14 - DD B - Tour 2,
603351,2024-04-27,16:30,MAIL. COMBLAIN,ATLAS A JUPILLE,U 14 - DD B - Tour 2,
593321,2024-04-06,14:30,RBC BLEGNY,MAIL. COMBLAIN,U 16 - DD B - Tour 2,
593343,2024-04-21,9:00,PEPINSTER EAST BELG,MAIL. COMBLAIN,U 16 - DD B - Tour 2,
472323,2024-04-06,15:00,RBC 4A AYWAILLE B,MAIL. COMBLAIN,U 16 - PROV MM C,
472341,2024-04-21,13:00,MAIL. COMBLAIN,ROYAL BC NINANE B,U 16 - PROV MM C,
531323,2024-04-06,10:30,RSW LIEGE BASKET,MAIL. COMBLAIN,U 8 - MM B,
531341,2024-04-20,9:00,MAIL. COMBLAIN,THEUX BC B,U 8 - MM B,
