Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
760510,2024-08-24,18:00,R.UN.BELLAIRE A,RBC BLEGNY A,CPE PROV DAMES,
760522,2024-08-24,20:00,R.UN.BELLAIRE B,RBC HANEFFE C,CPE PROV DAMES,
761101,2024-09-28,16:00,R.UN.BELLAIRE,BC BELLEFLAMME,CPE PROV JUNIORS,
760013,2024-08-23,21:00,ETOILE JUPILLE B,R.UN.BELLAIRE C,CPE PROV MESSIEURS,
760053,2024-08-23,20:15,R.UN.BELLAIRE A,LA VILLERSOISE B (+ 5),CPE PROV MESSIEURS,
760014,2024-08-25,11:00,R.UN.BELLAIRE B (+ 10),GRACE-HOLLOGNE A,CPE PROV MESSIEURS,
763104,2024-08-31,16:00,R.UN.BELLAIRE,ROYAL ANS BC,CPE PROV MINIMES MM,
764101,2024-09-01,16:45,COLLEGE S LOUIS C,R.UN.BELLAIRE,CPE PROV PUPILLES MM,
413017,2024-09-01,18:00,PEPINSTER EAST BELG B,R.UN.BELLAIRE A,DD - DIVISION 1,
413026,2024-09-07,18:00,R.UN.BELLAIRE A,ROYAL SPA BC A,DD - DIVISION 1,
413034,2024-09-15,15:00,HENRI-CHAPELLE A,R.UN.BELLAIRE A,DD - DIVISION 1,
413046,2024-09-21,18:00,R.UN.BELLAIRE A,RBC ALLEUR C,DD - DIVISION 1,
413066,2024-10-05,18:00,R.UN.BELLAIRE A,COLLEGE S LOUIS,DD - DIVISION 1,
413073,2024-10-12,17:00,RABC ENSIVAL,R.UN.BELLAIRE A,DD - DIVISION 1,
413086,2024-10-19,18:00,R.UN.BELLAIRE A,RBC ESNEUX B,DD - DIVISION 1,
413115,2024-11-09,21:00,RBC CROATIA OUPEYE,R.UN.BELLAIRE A,DD - DIVISION 1,
413126,2024-11-16,18:00,R.UN.BELLAIRE A,ROYALE US AWANS,DD - DIVISION 1,
413136,2024-11-23,20:00,R.UN.BELLAIRE A,RBC BLEGNY A,DD - DIVISION 1,
413157,2024-12-08,13:00,ROYAL HERVE-BATTICE C,R.UN.BELLAIRE A,DD - DIVISION 1,
413163,2024-12-14,19:00,R HT-PRE OUGREE A,R.UN.BELLAIRE A,DD - DIVISION 1,
413176,2024-12-21,18:00,R.UN.BELLAIRE A,RBC AUBEL,DD - DIVISION 1,
413191,2025-01-04,17:00,COLLEGE S LOUIS,R.UN.BELLAIRE A,DD - DIVISION 1,
413206,2025-01-11,18:00,R.UN.BELLAIRE A,HENRI-CHAPELLE A,DD - DIVISION 1,
413216,2025-01-18,18:30,RBC ALLEUR C,R.UN.BELLAIRE A,DD - DIVISION 1,
413226,2025-01-25,18:00,R.UN.BELLAIRE A,PEPINSTER EAST BELG B,DD - DIVISION 1,
413246,2025-02-08,18:00,R.UN.BELLAIRE A,RABC ENSIVAL,DD - DIVISION 1,
413252,2025-02-16,14:00,RBC ESNEUX B,R.UN.BELLAIRE A,DD - DIVISION 1,
413265,2025-02-22,17:00,ROYAL SPA BC A,R.UN.BELLAIRE A,DD - DIVISION 1,
413286,2025-03-08,18:00,R.UN.BELLAIRE A,RBC CROATIA OUPEYE,DD - DIVISION 1,
413304,2025-03-23,17:00,ROYALE US AWANS,R.UN.BELLAIRE A,DD - DIVISION 1,
413316,2025-03-29,18:00,R.UN.BELLAIRE A,ROYAL HERVE-BATTICE C,DD - DIVISION 1,
413322,2025-04-06,17:00,RBC AUBEL,R.UN.BELLAIRE A,DD - DIVISION 1,
413336,2025-04-12,18:00,R.UN.BELLAIRE A,R HT-PRE OUGREE A,DD - DIVISION 1,
413341,2025-04-19,19:00,RBC BLEGNY A,R.UN.BELLAIRE A,DD - DIVISION 1,
416026,2024-09-07,20:00,R.UN.BELLAIRE B,RBC AWANS A,DD - DIVISION 3 A,
416066,2024-10-05,20:00,R.UN.BELLAIRE B,LA VILLERSOISE B,DD - DIVISION 3 A,
416086,2024-10-19,20:00,R.UN.BELLAIRE B,ABC WAREMME B,DD - DIVISION 3 A,
416115,2024-11-09,17:00,GIANTS BRAIVES,R.UN.BELLAIRE B,DD - DIVISION 3 A,
416126,2024-11-16,20:00,R.UN.BELLAIRE B,ETOILE JUPILLE,DD - DIVISION 3 A,
416136,2024-11-23,18:00,R.UN.BELLAIRE B,ROYAL BC WANZE,DD - DIVISION 3 A,
416191,2025-01-05,15:00,LA VILLERSOISE B,R.UN.BELLAIRE B,DD - DIVISION 3 A,
416216,2025-01-19,15:00,ALL. FLEMALLE B,R.UN.BELLAIRE B,DD - DIVISION 3 A,
416252,2025-02-15,18:00,ABC WAREMME B,R.UN.BELLAIRE B,DD - DIVISION 3 A,
416265,2025-02-23,11:00,RBC AWANS A,R.UN.BELLAIRE B,DD - DIVISION 3 A,
416046,2025-03-15,20:00,R.UN.BELLAIRE B,ALL. FLEMALLE B,DD - DIVISION 3 A,
416304,2025-03-23,12:00,ETOILE JUPILLE,R.UN.BELLAIRE B,DD - DIVISION 3 A,
416286,2025-04-05,18:00,R.UN.BELLAIRE B,GIANTS BRAIVES,DD - DIVISION 3 A,
416341,2025-04-20,13:00,ROYAL BC WANZE,R.UN.BELLAIRE B,DD - DIVISION 3 A,
402026,2024-09-08,11:00,FLERON BBC,R.UN.BELLAIRE A,MM - DIVISION 2 A,
402047,2024-09-21,19:00,RBC CROATIA OUPEYE A,R.UN.BELLAIRE A,MM - DIVISION 2 A,
