Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
764153,2024-04-13,12:30,RBC ESNEUX,ABC WAREMME A,CPE PROV U 14 MM,
773115,2024-04-13,15:00,RBC ESNEUX,ABC WAREMME A,CPE PROV U 16 DD,
772115,2024-04-14,10:00,RBC BLEGNY,RBC ESNEUX,CPE PROV U 19,
414296,2024-03-17,14:00,RBC ESNEUX B,HENRI-CHAPELLE A,DD - DIVISION 2 A,
414326,2024-04-07,14:00,RBC ESNEUX B,ROYAL SPA BC B,DD - DIVISION 2 A,
414346,2024-04-21,14:00,RBC ESNEUX B,RBC BLEGNY B,DD - DIVISION 2 A,
414351,2024-04-26,21:00,BC SPRIMONT B,RBC ESNEUX B,DD - DIVISION 2 A,
AW106187,2024-03-15,21:00,RBC ESNEUX,GANSHOREN DAMES,DD - REGIONALE 2 B,
AW106176,2024-03-17,15:00,BC CENTRE GAUME,RBC ESNEUX,DD - REGIONALE 2 B,
AW106214,2024-03-23,17:00,CASTORS BRAINE B,RBC ESNEUX,DD - REGIONALE 2 B,
AW106207,2024-04-07,12:00,RBC ESNEUX,PDL CHARLEROI,DD - REGIONALE 2 B,
AW106227,2024-04-14,12:00,RBC ESNEUX,UN HUY BASKET B,DD - REGIONALE 2 B,
AW106236,2024-04-20,17:00,RBC HANEFFE A,RBC ESNEUX,DD - REGIONALE 2 B,
AW106247,2024-04-28,12:00,RBC ESNEUX,BC BONINNE C,DD - REGIONALE 2 B,
525294,2024-03-16,10:30,RBC ESNEUX A,RABC ENSIVAL A,U 10 - MM F,
525302,2024-03-30,10:15,ROYAL BC NINANE B,RBC ESNEUX A,U 10 - MM F,
525324,2024-04-06,10:30,RBC ESNEUX A,CRISTAL SERAING C,U 10 - MM F,
525344,2024-04-20,10:30,RBC ESNEUX A,RBC AWANS C,U 10 - MM F,
526294,2024-03-16,12:00,RBC ESNEUX B,CRISTAL SERAING B,U 10 - MM G,
526302,2024-03-23,14:15,GRACE-HOLLOGNE A,RBC ESNEUX B,U 10 - MM G,
526324,2024-04-06,12:00,RBC ESNEUX B,RJS GRIVEGNEE,U 10 - MM G,
526344,2024-04-20,12:00,RBC ESNEUX B,ROYAL ANS BC A,U 10 - MM G,
500294,2024-03-16,10:45,RBC AWANS A,RBC ESNEUX,U 12 - MM A,
500306,2024-03-23,9:00,RBC ESNEUX,BC SPRIMONT A,U 12 - MM A,
500326,2024-04-06,9:00,RBC ESNEUX,ABC WAREMME B,U 12 - MM A,
504294,2024-03-16,9:00,RBC ESNEUX B,BCM HERSTAL,U 12 - MM E,
504302,2024-03-23,12:30,GRACE-HOLLOGNE B,RBC ESNEUX B,U 12 - MM E,
483294,2024-03-16,14:30,RBC ESNEUX,GRACE-HOLLOGNE,U 14 - ELITES MM B - Tour 2,
483301,2024-03-23,15:00,RSW LIEGE BASKET,RBC ESNEUX,U 14 - ELITES MM B - Tour 2,
483324,2024-04-06,14:15,RBC ESNEUX,ATLAS A JUPILLE,U 14 - ELITES MM B - Tour 2,
483344,2024-04-20,14:00,RBC ESNEUX,RBC AWANS A,U 14 - ELITES MM B - Tour 2,
592291,2024-03-16,16:30,RBC ESNEUX,LA VILLERSOISE,U 16 - DD A - Tour 2,
592241,2024-03-24,16:00,RBC ESNEUX,RBC AWANS,U 16 - DD A - Tour 2,
592322,2024-04-06,13:00,ABC WAREMME B,RBC ESNEUX,U 16 - DD A - Tour 2,
592344,2024-04-27,9:00,RBC VISE,RBC ESNEUX,U 16 - DD A - Tour 2,
460296,2024-03-17,10:00,RBC ESNEUX,RBC AWANS A,U 16 - ELITES MM A,
460125,2024-04-07,9:00,UN HUY BASKET,RBC ESNEUX,U 16 - ELITES MM A,
460346,2024-04-21,12:00,RBC ESNEUX,RBC 4A AYWAILLE A,U 16 - ELITES MM A,
460236,2024-04-27,14:00,RBC ESNEUX,BC COINTE,U 16 - ELITES MM A,
580294,2024-03-17,9:00,RBC VISE,RBC ESNEUX,U 19 - DD,
580306,2024-03-24,14:00,RBC ESNEUX,ABC WAREMME,U 19 - DD,
580125,2024-03-30,10:00,ABC WAREMME,RBC ESNEUX,U 19 - DD,
580322,2024-04-06,17:00,ALL. FLEMALLE,RBC ESNEUX,U 19 - DD,
580341,2024-04-21,11:00,LA VILLERSOISE,RBC ESNEUX,U 19 - DD,
580356,2024-04-28,10:00,RBC ESNEUX,RBC BLEGNY,U 19 - DD,
