Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
413324,2024-01-27,19:00,US AWANS,PEPINSTER EAST BELG B,DD - DIVISION 1,
413237,2024-02-04,13:00,PEPINSTER EAST BELG B,RABC ENSIVAL,DD - DIVISION 1,
413243,2024-02-10,18:00,R.UN.BELLAIRE A,PEPINSTER EAST BELG B,DD - DIVISION 1,
413255,2024-02-18,13:00,RBC AUBEL,PEPINSTER EAST BELG B,DD - DIVISION 1,
413267,2024-02-25,15:00,PEPINSTER EAST BELG B,HERVE-BATTICE B,DD - DIVISION 1,
413296,2024-03-16,19:00,R HT-PRE OUGREE A,PEPINSTER EAST BELG B,DD - DIVISION 1,
413287,2024-03-20,21:00,PEPINSTER EAST BELG B,BC COINTE A,DD - DIVISION 1,
413307,2024-03-23,19:00,PEPINSTER EAST BELG B,COLLEGE S LOUIS,DD - DIVISION 1,
413347,2024-04-21,15:00,PEPINSTER EAST BELG B,BC BELLEFLAMME B,DD - DIVISION 1,
413356,2024-04-28,14:00,RBC HANEFFE B,PEPINSTER EAST BELG B,DD - DIVISION 1,
415232,2024-02-03,20:00,ABC WAREMME A,PEPINSTER EAST BELG C,DD - DIVISION 2 B,
415247,2024-02-11,09:00,PEPINSTER EAST BELG C,HERVE-BATTICE C,DD - DIVISION 2 B,
415257,2024-02-18,15:00,PEPINSTER EAST BELG C,RBC VISE,DD - DIVISION 2 B,
415266,2024-02-25,13:00,LA VILLERSOISE,PEPINSTER EAST BELG C,DD - DIVISION 2 B,
415283,2024-03-10,17:00,BC VERLAINE B,PEPINSTER EAST BELG C,DD - DIVISION 2 B,
415304,2024-03-23,18:30,VAIL. JUPILLE,PEPINSTER EAST BELG C,DD - DIVISION 2 B,
415327,2024-04-07,15:00,PEPINSTER EAST BELG C,MAIL. COMBLAIN,DD - DIVISION 2 B,
415357,2024-04-28,11:00,RBC HANEFFE C,PEPINSTER EAST BELG C,DD - DIVISION 2 B,
AW104247,2024-01-28,12:30,PEPINSTER EAST BELG,BC BONINNE,DD - REGIONALE 1,
AW104152,2024-02-03,17:30,NAMUR CAPITALE,PEPINSTER EAST BELG,DD - REGIONALE 1,
AW104147,2024-02-11,15:00,PEPINSTER EAST BELG,HERVE-BATTICE,DD - REGIONALE 1,
AW104167,2024-02-17,17:00,PEPINSTER EAST BELG,UN HUY BASKET A,DD - REGIONALE 1,
AW104176,2024-02-24,18:30,MONS CAPITALE,PEPINSTER EAST BELG,DD - REGIONALE 1,
AW104187,2024-03-02,17:00,PEPINSTER EAST BELG,ROYAL BC CINEY,DD - REGIONALE 1,
AW104193,2024-03-09,19:00,ATLAS A JUPILLE A,PEPINSTER EAST BELG,DD - REGIONALE 1,
AW104067,2024-03-17,15:00,PEPINSTER EAST BELG,ATLAS A JUPILLE A,DD - REGIONALE 1,
AW104214,2024-03-24,11:15,BC LA RULLES,PEPINSTER EAST BELG,DD - REGIONALE 1,
AW104207,2024-04-06,17:00,PEPINSTER EAST BELG,CEP LADIES BASKETBALL,DD - REGIONALE 1,
AW104095,2024-04-14,15:00,REBOND OTTIGNIES,PEPINSTER EAST BELG,DD - REGIONALE 1,
AW104236,2024-04-20,19:00,RCS NATOYE,PEPINSTER EAST BELG,DD - REGIONALE 1,
402357,2024-01-28,17:00,PEPINSTER EAST BELG C,RABC ENSIVAL B,MM - DIVISION 2 A,
402232,2024-02-03,18:00,R.UN.BELLAIRE B,PEPINSTER EAST BELG C,MM - DIVISION 2 A,
402247,2024-02-11,11:00,PEPINSTER EAST BELG C,RBC ALLEUR C,MM - DIVISION 2 A,
402257,2024-02-18,17:00,PEPINSTER EAST BELG C,ACSA MOSA ANGL.,MM - DIVISION 2 A,
402266,2024-02-24,19:00,BC VERLAINE,PEPINSTER EAST BELG C,MM - DIVISION 2 A,
402157,2024-02-28,21:00,PEPINSTER EAST BELG C,RBC AUBEL B,MM - DIVISION 2 A,
402283,2024-03-10,15:00,HARIMALIA BC B,PEPINSTER EAST BELG C,MM - DIVISION 2 A,
402297,2024-03-17,13:00,PEPINSTER EAST BELG C,RBC VISE B,MM - DIVISION 2 A,
402304,2024-03-23,21:00,RBC AWANS A,PEPINSTER EAST BELG C,MM - DIVISION 2 A,
402327,2024-04-07,13:00,PEPINSTER EAST BELG C,RB TILFF B,MM - DIVISION 2 A,
402346,2024-04-21,17:00,RBC AUBEL B,PEPINSTER EAST BELG C,MM - DIVISION 2 A,
410232,2024-02-03,21:00,DISON-ANDRIMONT B,PEPINSTER EAST BELG D,MM - DIVISION 4 D,
410247,2024-02-11,17:00,PEPINSTER EAST BELG D,AVENIR JUPILLE B,MM - DIVISION 4 D,
410141,2024-02-19,20:45,RB TILFF D,PEPINSTER EAST BELG D,MM - DIVISION 4 D,
410266,2024-02-25,15:00,BC VERVIERS D,PEPINSTER EAST BELG D,MM - DIVISION 4 D,
410283,2024-03-09,17:00,HARIMALIA BC F,PEPINSTER EAST BELG D,MM - DIVISION 4 D,
410297,2024-03-17,11:00,PEPINSTER EAST BELG D,BC BELLEFLAMME E,MM - DIVISION 4 D,
410304,2024-03-24,12:00,VAIL. JUPILLE C,PEPINSTER EAST BELG D,MM - DIVISION 4 D,
410327,2024-04-07,11:00,PEPINSTER EAST BELG D,HENRI-CHAPELLE D,MM - DIVISION 4 D,
410346,2024-04-21,09:45,B. OTHEE CLUB,PEPINSTER EAST BELG D,MM - DIVISION 4 D,
