Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
764146,2023-11-04,13:00,RABC ENSIVAL,CONDROZ MODAVE BB,CPE PROV U 14 MM,
413054,2023-09-30,17:00,ROYAL SPA BC A,RABC ENSIVAL,DD - DIVISION 1,
413062,2023-10-08,9:30,RABC ENSIVAL,RBC AUBEL,DD - DIVISION 1,
413076,2023-10-14,19:00,R HT-PRE OUGREE A,RABC ENSIVAL,DD - DIVISION 1,
413082,2023-10-22,10:00,RABC ENSIVAL,COLLEGE S LOUIS,DD - DIVISION 1,
413112,2023-11-12,15:00,RABC ENSIVAL,BC BELLEFLAMME B,DD - DIVISION 1,
413123,2023-11-18,21:00,HERVE-BATTICE B,RABC ENSIVAL,DD - DIVISION 1,
413011,2023-11-24,20:30,RBC ALLEUR C,RABC ENSIVAL,DD - DIVISION 1,
413132,2023-11-26,13:00,RABC ENSIVAL,RBC BLEGNY A,DD - DIVISION 1,
413146,2023-12-03,10:00,RBC HANEFFE B,RABC ENSIVAL,DD - DIVISION 1,
413154,2023-12-10,13:00,US AWANS,RABC ENSIVAL,DD - DIVISION 1,
413162,2023-12-17,13:00,RABC ENSIVAL,BC COINTE A,DD - DIVISION 1,
413195,2024-01-07,13:00,RBC AUBEL,RABC ENSIVAL,DD - DIVISION 1,
413202,2024-01-14,11:00,RABC ENSIVAL,RBC HANEFFE B,DD - DIVISION 1,
413212,2024-01-21,15:30,BC COINTE A,RABC ENSIVAL,DD - DIVISION 1,
413237,2024-02-04,13:00,PEPINSTER EAST BELG B,RABC ENSIVAL,DD - DIVISION 1,
413242,2024-02-11,11:00,RABC ENSIVAL,RBC ALLEUR C,DD - DIVISION 1,
413253,2024-02-17,18:00,R.UN.BELLAIRE A,RABC ENSIVAL,DD - DIVISION 1,
413262,2024-02-24,17:00,RABC ENSIVAL,ROYAL SPA BC A,DD - DIVISION 1,
413282,2024-03-10,11:00,RABC ENSIVAL,R HT-PRE OUGREE A,DD - DIVISION 1,
413295,2024-03-16,19:00,BC BELLEFLAMME B,RABC ENSIVAL,DD - DIVISION 1,
413302,2024-03-24,11:00,RABC ENSIVAL,HERVE-BATTICE B,DD - DIVISION 1,
413321,2024-04-06,21:00,COLLEGE S LOUIS,RABC ENSIVAL,DD - DIVISION 1,
413342,2024-04-21,11:00,RABC ENSIVAL,US AWANS,DD - DIVISION 1,
413357,2024-04-26,19:00,RBC BLEGNY A,RABC ENSIVAL,DD - DIVISION 1,
402054,2023-09-30,21:00,RBC AWANS A,RABC ENSIVAL B,MM - DIVISION 2 A,
402062,2023-10-07,19:00,RABC ENSIVAL B,RBC VISE B,MM - DIVISION 2 A,
402076,2023-10-15,17:00,RBC AUBEL B,RABC ENSIVAL B,MM - DIVISION 2 A,
