Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
AW241036,2025-09-27,11:00,R EXC BRUXELLES,R 4A AYWAILLE-HAMOIR,COUPE AWBB U21 - GARCONS,
762113,2025-09-28,10:00,R 4A AYWAILLE-HAMOIR,COLLEGE S LOUIS,CPE PROV CADETS,
761105,2025-09-28,12:00,R 4A AYWAILLE-HAMOIR,HENRI-CHAPELLE,CPE PROV JUNIORS,
764132,2025-09-27,15:00,RABC ENSIVAL A,R 4A AYWAILLE-HAMOIR B,CPE PROV PUPILLES MM,
415031,2025-09-20,20:00,R.UN.BELLAIRE B,R 4A AYWAILLE-HAMOIR A,DD - DIVISION 2 B,
415054,2025-10-04,19:00,R 4A AYWAILLE-HAMOIR A,PEPINSTER EAST BELG C,DD - DIVISION 2 B,
415063,2025-10-11,17:00,VAIL. JUPILLE,R 4A AYWAILLE-HAMOIR A,DD - DIVISION 2 B,
415075,2025-10-19,17:00,BC VERLAINE A,R 4A AYWAILLE-HAMOIR A,DD - DIVISION 2 B,
415144,2025-10-25,21:00,R 4A AYWAILLE-HAMOIR A,HENRI-CHAPELLE B,DD - DIVISION 2 B,
415104,2025-11-08,19:00,R 4A AYWAILLE-HAMOIR A,AVENIR JUPILLE B,DD - DIVISION 2 B,
415117,2025-11-15,21:00,ABC WAREMME B,R 4A AYWAILLE-HAMOIR A,DD - DIVISION 2 B,
415124,2025-11-21,20:30,R 4A AYWAILLE-HAMOIR A,ROYAL ANS BC,DD - DIVISION 2 B,
415131,2025-11-30,15:00,RBC VISE A,R 4A AYWAILLE-HAMOIR A,DD - DIVISION 2 B,
415154,2025-12-14,12:00,RBC HANEFFE C,R 4A AYWAILLE-HAMOIR A,DD - DIVISION 2 B,
415164,2025-12-20,19:00,R 4A AYWAILLE-HAMOIR A,RBC ALLEUR D,DD - DIVISION 2 B,
415184,2026-01-03,19:00,R 4A AYWAILLE-HAMOIR A,BC VERLAINE A,DD - DIVISION 2 B,
415194,2026-01-10,19:00,R 4A AYWAILLE-HAMOIR A,CRISTAL SGH A,DD - DIVISION 2 B,
415206,2026-01-17,17:00,ROYAL BC NINANE B,R 4A AYWAILLE-HAMOIR A,DD - DIVISION 2 B,
415214,2026-01-23,20:30,R 4A AYWAILLE-HAMOIR A,R.UN.BELLAIRE B,DD - DIVISION 2 B,
415222,2026-02-01,15:00,PEPINSTER EAST BELG C,R 4A AYWAILLE-HAMOIR A,DD - DIVISION 2 B,
415244,2026-02-07,19:00,R 4A AYWAILLE-HAMOIR A,VAIL. JUPILLE,DD - DIVISION 2 B,
415272,2026-03-07,17:00,AVENIR JUPILLE B,R 4A AYWAILLE-HAMOIR A,DD - DIVISION 2 B,
415264,2026-03-14,19:00,R 4A AYWAILLE-HAMOIR A,ABC WAREMME B,DD - DIVISION 2 B,
415296,2026-03-22,11:00,HENRI-CHAPELLE B,R 4A AYWAILLE-HAMOIR A,DD - DIVISION 2 B,
415304,2026-03-27,20:30,R 4A AYWAILLE-HAMOIR A,RBC VISE A,DD - DIVISION 2 B,
415313,2026-04-05,13:00,ROYAL ANS BC,R 4A AYWAILLE-HAMOIR A,DD - DIVISION 2 B,
415324,2026-04-11,19:00,R 4A AYWAILLE-HAMOIR A,RBC HANEFFE C,DD - DIVISION 2 B,
415337,2026-04-19,13:00,RBC ALLEUR D,R 4A AYWAILLE-HAMOIR A,DD - DIVISION 2 B,
416035,2025-09-20,17:00,R 4A AYWAILLE-HAMOIR B,ABC WAREMME C,DD - DIVISION 3 A,
416051,2025-10-05,15:00,LA VILLERSOISE B,R 4A AYWAILLE-HAMOIR B,DD - DIVISION 3 A,
416065,2025-10-11,17:00,R 4A AYWAILLE-HAMOIR B,BCM HERSTAL,DD - DIVISION 3 A,
416074,2025-10-19,14:00,RBC ESNEUX C,R 4A AYWAILLE-HAMOIR B,DD - DIVISION 3 A,
416125,2025-11-22,17:00,CRISTAL SGH B,R 4A AYWAILLE-HAMOIR B,DD - DIVISION 3 A,
416135,2025-11-29,17:00,R 4A AYWAILLE-HAMOIR B,RBC BLEGNY C,DD - DIVISION 3 A,
416145,2025-12-06,17:00,R 4A AYWAILLE-HAMOIR B,ROYAL HERVE-BATTICE D,DD - DIVISION 3 A,
416185,2026-01-03,17:00,R 4A AYWAILLE-HAMOIR B,RBC ESNEUX C,DD - DIVISION 3 A,
416194,2026-01-11,16:30,CS OUTREMEUSE,R 4A AYWAILLE-HAMOIR B,DD - DIVISION 3 A,
416217,2026-01-24,19:00,ABC WAREMME C,R 4A AYWAILLE-HAMOIR B,DD - DIVISION 3 A,
416225,2026-01-31,17:00,R 4A AYWAILLE-HAMOIR B,LA VILLERSOISE B,DD - DIVISION 3 A,
