Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
417247,2024-02-10,21:00,BC BELLEFLAMME C,RBC 4A AYWAILLE,DD - DIVISION 3 B,
417252,2024-02-18,16:30,CRISTAL SERAING B,RBC 4A AYWAILLE,DD - DIVISION 3 B,
417267,2024-02-23,21:00,RBC BLEGNY D,RBC 4A AYWAILLE,DD - DIVISION 3 B,
417286,2024-03-09,17:00,RB UNION LIEGE,RBC 4A AYWAILLE,DD - DIVISION 3 B,
417293,2024-03-16,17:00,RBC 4A AYWAILLE,R HT-PRE OUGREE B,DD - DIVISION 3 B,
417302,2024-03-23,20:00,R.UN.BELLAIRE B,RBC 4A AYWAILLE,DD - DIVISION 3 B,
417323,2024-04-06,17:00,RBC 4A AYWAILLE,ALL. FLEMALLE B,DD - DIVISION 3 B,
417166,2024-04-11,20:00,B. OTHEE CLUB,RBC 4A AYWAILLE,DD - DIVISION 3 B,
417053,2024-04-13,17:00,RBC 4A AYWAILLE,RBC BLEGNY D,DD - DIVISION 3 B,
417343,2024-04-20,17:00,BC COINTE B,RBC 4A AYWAILLE,DD - DIVISION 3 B,
417353,2024-04-27,17:00,RBC 4A AYWAILLE,HANNUT BC,DD - DIVISION 3 B,
405247,2024-02-10,18:00,RSW LIEGE BASKET E,RBC 4A AYWAILLE A,MM - DIVISION 3 B,
405233,2024-02-12,19:00,RBC 4A AYWAILLE A,HENRI-CHAPELLE B,MM - DIVISION 3 B,
405252,2024-02-17,17:00,RBC STAVELOT B,RBC 4A AYWAILLE A,MM - DIVISION 3 B,
405267,2024-02-23,19:00,RBC BLEGNY A,RBC 4A AYWAILLE A,MM - DIVISION 3 B,
405286,2024-03-09,21:00,RB UNION LIEGE B,RBC 4A AYWAILLE A,MM - DIVISION 3 B,
405293,2024-03-16,21:00,RBC 4A AYWAILLE A,BC ST VITH,MM - DIVISION 3 B,
405302,2024-03-23,21:00,HARIMALIA BC D,RBC 4A AYWAILLE A,MM - DIVISION 3 B,
405323,2024-04-06,21:00,RBC 4A AYWAILLE A,RBC WELKENRAEDT A,MM - DIVISION 3 B,
405053,2024-04-13,19:00,RBC 4A AYWAILLE A,RBC BLEGNY A,MM - DIVISION 3 B,
405343,2024-04-20,18:30,HERVE-BATTICE B,RBC 4A AYWAILLE A,MM - DIVISION 3 B,
405353,2024-04-23,20:30,RBC 4A AYWAILLE A,ROYAL SPA BC C,MM - DIVISION 3 B,
406247,2024-02-10,20:30,RBC 4A AYWAILLE B,RBC BLEGNY B,MM - DIVISION 3 C,
406233,2024-02-12,20:30,RBC 4A AYWAILLE B,RABC ENSIVAL C,MM - DIVISION 3 C,
406267,2024-02-25,13:00,BC VERVIERS C,RBC 4A AYWAILLE B,MM - DIVISION 3 C,
406286,2024-03-10,17:00,LA VILLERSOISE B,RBC 4A AYWAILLE B,MM - DIVISION 3 C,
406293,2024-03-16,19:00,RBC 4A AYWAILLE B,LA SPECIALE,MM - DIVISION 3 C,
406323,2024-04-06,19:00,RBC 4A AYWAILLE B,RBC WELKENRAEDT B,MM - DIVISION 3 C,
406252,2024-04-13,21:00,BCM HERSTAL A,RBC 4A AYWAILLE B,MM - DIVISION 3 C,
406343,2024-04-20,19:00,HARIMALIA BC C,RBC 4A AYWAILLE B,MM - DIVISION 3 C,
406353,2024-04-27,19:00,RBC 4A AYWAILLE B,VAIL. JUPILLE B,MM - DIVISION 3 C,
409243,2024-02-10,18:30,RBC 4A AYWAILLE C,BBC EUPEN,MM - DIVISION 4 C,
409253,2024-02-17,19:00,RBC 4A AYWAILLE C,RBC STAVELOT C,MM - DIVISION 4 C,
409263,2024-02-24,18:30,RBC 4A AYWAILLE C,RBC AUBEL C,MM - DIVISION 4 C,
409216,2024-03-02,18:30,DF BC MALMEDY,RBC 4A AYWAILLE C,MM - DIVISION 4 C,
409283,2024-03-09,18:30,RBC 4A AYWAILLE C,BC OLNE,MM - DIVISION 4 C,
409291,2024-03-16,21:00,PRAYON TROOZ B,RBC 4A AYWAILLE C,MM - DIVISION 4 C,
409325,2024-04-07,11:00,RBC VISE C,RBC 4A AYWAILLE C,MM - DIVISION 4 C,
409343,2024-04-20,19:00,RBC 4A AYWAILLE C,ATLAS A JUPILLE D,MM - DIVISION 4 C,
409354,2024-04-27,21:00,RBC CROATIA OUPEYE B,RBC 4A AYWAILLE C,MM - DIVISION 4 C,
521242,2024-02-10,13:00,ABC WAREMME C,RBC 4A AYWAILLE A,U 10 - MM B,
521253,2024-02-17,9:00,RBC 4A AYWAILLE A,ALL. FLEMALLE B,U 10 - MM B,
521064,2024-02-25,12:30,ALL. FLEMALLE B,RBC 4A AYWAILLE A,U 10 - MM B,
521293,2024-03-16,10:30,RBC 4A AYWAILLE A,ROYAL BC NINANE A,U 10 - MM B,
521323,2024-04-06,10:30,RBC 4A AYWAILLE A,BC SPRIMONT A,U 10 - MM B,
521224,2024-04-20,15:00,PEPINSTER EAST BELG A,RBC 4A AYWAILLE A,U 10 - MM B,
524241,2024-02-11,14:30,RB TILFF A,RBC 4A AYWAILLE B,U 10 - MM E,
524253,2024-02-17,12:45,RBC ALLEUR A,RBC 4A AYWAILLE B,U 10 - MM E,
524294,2024-03-16,9:00,RBC 4A AYWAILLE B,CRISTAL SERAING A,U 10 - MM E,
524302,2024-03-24,10:00,COLLEGE S LOUIS A,RBC 4A AYWAILLE B,U 10 - MM E,
524344,2024-04-20,9:00,RBC 4A AYWAILLE B,VAIL. JUPILLE,U 10 - MM E,
524136,2024-04-28,12:30,CRISTAL SERAING A,RBC 4A AYWAILLE B,U 10 - MM E,
505243,2024-02-10,15:00,RBC 4A AYWAILLE,ROYAL BC NINANE,U 12 - MM F,
505292,2024-03-16,15:00,DISON-ANDRIMONT,RBC 4A AYWAILLE,U 12 - MM F,
505303,2024-03-23,11:00,RBC 4A AYWAILLE,BC BELLEFLAMME C,U 12 - MM F,
505321,2024-04-06,11:30,BC SPRIMONT C,RBC 4A AYWAILLE,U 12 - MM F,
505346,2024-04-20,13:00,RB UNION LIEGE,RBC 4A AYWAILLE,U 12 - MM F,
460254,2024-02-18,11:00,RBC AWANS A,RBC 4A AYWAILLE A,U 16 - ELITES MM A,
460033,2024-02-24,13:00,RBC 4A AYWAILLE A,RBC VISE A,U 16 - ELITES MM A,
460292,2024-03-16,15:00,ESNEUX S LOUIS UTD,RBC 4A AYWAILLE A,U 16 - ELITES MM A,
460303,2024-03-23,13:00,RBC 4A AYWAILLE A,UN HUY BASKET,U 16 - ELITES MM A,
460321,2024-04-06,9:00,ABC WAREMME,RBC 4A AYWAILLE A,U 16 - ELITES MM A,
460346,2024-04-21,12:00,RBC ESNEUX,RBC 4A AYWAILLE A,U 16 - ELITES MM A,
472253,2024-02-17,13:00,RBC 4A AYWAILLE B,BBC EUPEN C,U 16 - PROV MM C,
472035,2024-02-25,14:30,ALL. FLEMALLE A,RBC 4A AYWAILLE B,U 16 - PROV MM C,
472293,2024-03-16,15:00,RBC 4A AYWAILLE B,ROYAL BC NINANE B,U 16 - PROV MM C,
472305,2024-03-24,11:00,GIANTS BRAIVES,RBC 4A AYWAILLE B,U 16 - PROV MM C,
472323,2024-04-06,15:00,RBC 4A AYWAILLE B,MAIL. COMBLAIN,U 16 - PROV MM C,
472343,2024-04-27,13:00,RBC 4A AYWAILLE B,R HT-PRE OUGREE A,U 16 - PROV MM C,
441252,2024-02-17,17:00,RBC 4A AYWAILLE,UN HUY BASKET,U 18 - PROV MM B,
441133,2024-03-17,13:00,HARIMALIA BC A,RBC 4A AYWAILLE,U 18 - PROV MM B,(Salle de Croatia Oupeye)
441322,2024-03-23,17:00,RBC 4A AYWAILLE,ROYAL BC WANZE B,U 18 - PROV MM B,
441304,2024-03-24,12:30,CRISTAL SERAING,RBC 4A AYWAILLE,U 18 - PROV MM B,
441342,2024-04-20,17:00,RBC 4A AYWAILLE,REBOND NEUVILLE,U 18 - PROV MM B,
441202,2024-04-27,17:00,DISON-ANDRIMONT,RBC 4A AYWAILLE,U 18 - PROV MM B,
420194,2024-02-11,13:00,BC BELLEFLAMME,RBC 4A AYWAILLE,U 21 - MM,
420253,2024-02-17,15:00,RBC 4A AYWAILLE,R.UN.BELLAIRE,U 21 - MM,
420263,2024-02-24,15:00,RBC 4A AYWAILLE,LA VILLERSOISE,U 21 - MM,
420325,2024-03-03,11:00,RBC AWANS,RBC 4A AYWAILLE,U 21 - MM,
