Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
AW217030,2025-01-25,21:00,ROYAL BC WANZE (+ 10),ESL UNITED A,COUPE AWBB MESSIEURS,(Salle Neufchateau)
761113,2025-02-02,17:00,CRISTAL SERAING,ROYAL BC WANZE A,CPE PROV JUNIORS,(Salle d'Oupeye)
416221,2025-01-26,13:00,ROYAL BC WANZE,RBC AWANS A,DD - DIVISION 3 A,
416241,2025-02-09,13:00,ROYAL BC WANZE,LA VILLERSOISE B,DD - DIVISION 3 A,
416281,2025-03-09,13:00,ROYAL BC WANZE,ETOILE JUPILLE,DD - DIVISION 3 A,
416312,2025-03-29,18:00,ABC WAREMME B,ROYAL BC WANZE,DD - DIVISION 3 A,
416321,2025-04-06,13:00,ROYAL BC WANZE,BCM HERSTAL,DD - DIVISION 3 A,
416335,2025-04-12,17:00,GIANTS BRAIVES,ROYAL BC WANZE,DD - DIVISION 3 A,
416341,2025-04-20,13:00,ROYAL BC WANZE,R.UN.BELLAIRE B,DD - DIVISION 3 A,
401214,2025-01-18,19:00,ESL UNITED C,ROYAL BC WANZE A,MM - DIVISION 1,
401136,2025-01-30,21:00,THEUX BC A,ROYAL BC WANZE A,MM - DIVISION 1,
401021,2025-02-01,19:00,RBC HANEFFE A,ROYAL BC WANZE A,MM - DIVISION 1,
401241,2025-02-09,17:00,ROYAL BC WANZE A,RB UNION LIEGE A,MM - DIVISION 1,
401257,2025-02-15,21:00,RABC ENSIVAL A,ROYAL BC WANZE A,MM - DIVISION 1,
401262,2025-02-23,17:00,ROYAL BC WANZE A,RBC HANEFFE A,MM - DIVISION 1,
401281,2025-03-09,17:00,ROYAL BC WANZE A,ETOILE JUPILLE A,MM - DIVISION 1,
401221,2025-03-13,20:45,ROYAL BC WANZE A,HANNUT BC A,MM - DIVISION 1,
401303,2025-03-21,21:00,BC BELLEFLAMME B,ROYAL BC WANZE A,MM - DIVISION 1,
401312,2025-03-29,20:30,HENRI-CHAPELLE A,ROYAL BC WANZE A,MM - DIVISION 1,
401321,2025-04-06,17:00,ROYAL BC WANZE A,RBC ALLEUR B,MM - DIVISION 1,
401335,2025-04-13,16:00,RBC DISON-ANDRIMONT A,ROYAL BC WANZE A,MM - DIVISION 1,
401341,2025-04-20,17:00,ROYAL BC WANZE A,THEUX BC A,MM - DIVISION 1,
405213,2025-01-19,11:00,BC BELLEFLAMME E,ROYAL BC WANZE B,MM - DIVISION 3 B,
