Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
416155,2023-12-09,17:00,RBC WELKENRAEDT,ABC WAREMME B,DD - DIVISION 3 A,
416161,2023-12-17,14:00,RBC HANEFFE D,RBC WELKENRAEDT,DD - DIVISION 3 A,
416192,2024-01-06,17:00,ROYAL BC NINANE B,RBC WELKENRAEDT,DD - DIVISION 3 A,
416203,2024-01-14,11:00,RBC ALLEUR D,RBC WELKENRAEDT,DD - DIVISION 3 A,
416215,2024-01-20,17:00,RBC WELKENRAEDT,RBC HANEFFE D,DD - DIVISION 3 A,
416235,2024-02-03,17:00,RBC WELKENRAEDT,ROYAL SPA BC C,DD - DIVISION 3 A,
416244,2024-02-10,19:00,RBC AWANS,RBC WELKENRAEDT,DD - DIVISION 3 A,
416257,2024-02-17,21:00,RBC BLEGNY C,RBC WELKENRAEDT,DD - DIVISION 3 A,
416265,2024-02-25,13:00,RBC WELKENRAEDT,REBOND NEUVILLE,DD - DIVISION 3 A,
416285,2024-03-09,17:00,RBC WELKENRAEDT,ETOILE JUPILLE,DD - DIVISION 3 A,
416295,2024-03-17,13:00,RBC WELKENRAEDT,DISON-ANDRIMONT B,DD - DIVISION 3 A,
416323,2024-04-06,17:00,RBC STAVELOT,RBC WELKENRAEDT,DD - DIVISION 3 A,
416347,2024-04-20,18:00,ABC WAREMME B,RBC WELKENRAEDT,DD - DIVISION 3 A,
416355,2024-04-27,17:00,RBC WELKENRAEDT,ALL. FLEMALLE C,DD - DIVISION 3 A,
405155,2023-12-09,19:00,RBC WELKENRAEDT A,RBC BLEGNY A,MM - DIVISION 3 B,
405161,2023-12-17,11:30,BC ST VITH,RBC WELKENRAEDT A,MM - DIVISION 3 B,
405192,2024-01-06,17:00,RBC STAVELOT B,RBC WELKENRAEDT A,MM - DIVISION 3 B,
405203,2024-01-13,18:30,HERVE-BATTICE B,RBC WELKENRAEDT A,MM - DIVISION 3 B,
405215,2024-01-20,21:00,RBC WELKENRAEDT A,BC ST VITH,MM - DIVISION 3 B,
405235,2024-02-03,21:00,RBC WELKENRAEDT A,LA VILLERSOISE C,MM - DIVISION 3 B,
405244,2024-02-10,21:00,ROYAL SPA BC C,RBC WELKENRAEDT A,MM - DIVISION 3 B,
405257,2024-02-17,18:00,RSW LIEGE BASKET E,RBC WELKENRAEDT A,MM - DIVISION 3 B,
405265,2024-02-25,17:00,RBC WELKENRAEDT A,HENRI-CHAPELLE B,MM - DIVISION 3 B,
405285,2024-03-09,21:00,RBC WELKENRAEDT A,AVENIR JUPILLE A,MM - DIVISION 3 B,
405295,2024-03-17,17:00,RBC WELKENRAEDT A,HARIMALIA BC D,MM - DIVISION 3 B,
405306,2024-03-23,21:00,RB UNION LIEGE B,RBC WELKENRAEDT A,MM - DIVISION 3 B,
405323,2024-04-06,21:00,RBC 4A AYWAILLE A,RBC WELKENRAEDT A,MM - DIVISION 3 B,
405347,2024-04-19,19:00,RBC BLEGNY A,RBC WELKENRAEDT A,MM - DIVISION 3 B,
405355,2024-04-27,21:00,RBC WELKENRAEDT A,BC BELLEFLAMME C,MM - DIVISION 3 B,
406161,2023-12-16,19:00,LA SPECIALE,RBC WELKENRAEDT B,MM - DIVISION 3 C,
406192,2024-01-06,21:00,BCM HERSTAL A,RBC WELKENRAEDT B,MM - DIVISION 3 C,
406203,2024-01-13,19:00,HARIMALIA BC C,RBC WELKENRAEDT B,MM - DIVISION 3 C,
406215,2024-01-20,19:00,RBC WELKENRAEDT B,LA SPECIALE,MM - DIVISION 3 C,
406235,2024-02-03,19:00,RBC WELKENRAEDT B,ROYAL SPA BC B,MM - DIVISION 3 C,
406244,2024-02-11,10:00,VAIL. JUPILLE B,RBC WELKENRAEDT B,MM - DIVISION 3 C,
406257,2024-02-17,19:00,RBC BLEGNY B,RBC WELKENRAEDT B,MM - DIVISION 3 C,
406265,2024-02-25,15:00,RBC WELKENRAEDT B,RABC ENSIVAL C,MM - DIVISION 3 C,
406285,2024-03-09,19:00,RBC WELKENRAEDT B,BC BELLEFLAMME D,MM - DIVISION 3 C,
406295,2024-03-17,15:00,RBC WELKENRAEDT B,ROYAL BC NINANE C,MM - DIVISION 3 C,
406306,2024-03-24,15:00,LA VILLERSOISE B,RBC WELKENRAEDT B,MM - DIVISION 3 C,
406323,2024-04-06,19:00,RBC 4A AYWAILLE B,RBC WELKENRAEDT B,MM - DIVISION 3 C,
406347,2024-04-21,13:00,BC VERVIERS C,RBC WELKENRAEDT B,MM - DIVISION 3 C,
406355,2024-04-27,19:00,RBC WELKENRAEDT B,ROYAL BC WANZE B,MM - DIVISION 3 C,
502155,2023-12-09,11:00,RBC WELKENRAEDT,THEUX BC A,U 12 - MM C,
502165,2023-12-16,9:00,RBC WELKENRAEDT,ROYAL SPA BC,U 12 - MM C,
502213,2024-01-20,9:00,HERVE-BATTICE E,RBC WELKENRAEDT,U 12 - MM C,
502226,2024-01-27,14:30,DF BC MALMEDY,RBC WELKENRAEDT,U 12 - MM C,
502235,2024-02-03,9:00,RBC WELKENRAEDT,RBC BLEGNY A,U 12 - MM C,
