Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
AW209001,2025-08-02,20:00,ATLAS A JUPILLE,BBC LIBRAMONT (+ 8),AW209001,
AW209008,2025-08-16,20:15,B.C.BOUSSU (+ 5),ATLAS A JUPILLE,AW209008,
AW209011,2025-08-23,20:00,ATLAS A JUPILLE,ALL. FLEMALLE (+ 8),AW209011,
AW209014,2025-08-30,21:00,BB GEMBLOUX,ATLAS A JUPILLE (+ 8),AW209014,
AW209001,2025-08-02,20:00,ATLAS A JUPILLE,BBC LIBRAMONT (+ 8),AWBB MM - POULE I,AW209001
AW209008,2025-08-16,20:15,B.C.BOUSSU (+ 5),ATLAS A JUPILLE,AWBB MM - POULE I,AW209008
AW209011,2025-08-23,20:00,ATLAS A JUPILLE,ALL. FLEMALLE (+ 8),AWBB MM - POULE I,AW209011
AW209014,2025-08-30,21:00,BB GEMBLOUX,ATLAS A JUPILLE (+ 8),AWBB MM - POULE I,AW209014
760521,2025-08-23,17:00,RBC AWANS (+ 5),ATLAS A JUPILLE,CPE PROV DAMES,(Salle d'Oreye)
760034,2025-08-24,15:00,ATLAS A JUPILLE C,RSW LIEGE BASKET C (+ 5),CPE PROV MESSIEURS,
414016,2025-09-07,17:00,ATLAS A JUPILLE,PRAYON TROOZ B,DD - DIVISION 2 A,
414024,2025-09-14,16:00,RBC HANEFFE B,ATLAS A JUPILLE,DD - DIVISION 2 A,
414036,2025-09-21,17:00,ROYAL BC NINANE A,ATLAS A JUPILLE,DD - DIVISION 2 A,
414056,2025-10-04,19:00,ATLAS A JUPILLE,ROYALE US AWANS,DD - DIVISION 2 A,
414061,2025-10-12,16:30,LA VILLERSOISE A,ATLAS A JUPILLE,DD - DIVISION 2 A,
414076,2025-10-18,19:00,ATLAS A JUPILLE,RBC STAVELOT,DD - DIVISION 2 A,
414107,2025-11-08,19:00,COLLEGE S LOUIS,ATLAS A JUPILLE,DD - DIVISION 2 A,
414116,2025-11-15,19:00,ATLAS A JUPILLE,ABC WAREMME A,DD - DIVISION 2 A,
414126,2025-11-23,13:00,ATLAS A JUPILLE,ALL. FLEMALLE A,DD - DIVISION 2 A,
414137,2025-11-28,21:00,RBC BLEGNY B,ATLAS A JUPILLE,DD - DIVISION 2 A,
414144,2025-12-06,19:00,RBC DISON-ANDRIMONT A,ATLAS A JUPILLE,DD - DIVISION 2 A,
414152,2025-12-14,10:00,BC SPRIMONT B,ATLAS A JUPILLE,DD - DIVISION 2 A,
414166,2025-12-20,19:00,ATLAS A JUPILLE,AVENIR JUPILLE A,DD - DIVISION 2 A,
414182,2026-01-03,17:00,RBC STAVELOT,ATLAS A JUPILLE,DD - DIVISION 2 A,
414196,2026-01-10,19:00,ATLAS A JUPILLE,RBC HANEFFE B,DD - DIVISION 2 A,
414205,2026-01-16,21:00,PRAYON TROOZ B,ATLAS A JUPILLE,DD - DIVISION 2 A,
414216,2026-01-24,19:00,ATLAS A JUPILLE,ROYAL BC NINANE A,DD - DIVISION 2 A,
414223,2026-02-01,17:00,ROYALE US AWANS,ATLAS A JUPILLE,DD - DIVISION 2 A,
414246,2026-02-14,19:00,ATLAS A JUPILLE,LA VILLERSOISE A,DD - DIVISION 2 A,
414265,2026-02-28,18:00,ABC WAREMME A,ATLAS A JUPILLE,DD - DIVISION 2 A,
414276,2026-03-07,19:00,ATLAS A JUPILLE,COLLEGE S LOUIS,DD - DIVISION 2 A,
414296,2026-03-21,19:00,ATLAS A JUPILLE,RBC DISON-ANDRIMONT A,DD - DIVISION 2 A,
414306,2026-03-28,19:00,ATLAS A JUPILLE,RBC BLEGNY B,DD - DIVISION 2 A,
414311,2026-04-05,15:00,ALL. FLEMALLE A,ATLAS A JUPILLE,DD - DIVISION 2 A,
414326,2026-04-11,19:00,ATLAS A JUPILLE,BC SPRIMONT B,DD - DIVISION 2 A,
414333,2026-04-19,17:00,AVENIR JUPILLE A,ATLAS A JUPILLE,DD - DIVISION 2 A,
402015,2025-09-07,13:00,ATLAS A JUPILLE B,BC BELLEFLAMME C,MM - DIVISION 2 A,
402026,2025-09-13,19:00,ESL UNITED E,ATLAS A JUPILLE B,MM - DIVISION 2 A,
402037,2025-09-20,19:00,RBC VISE A,ATLAS A JUPILLE B,MM - DIVISION 2 A,
402055,2025-10-05,11:00,ATLAS A JUPILLE B,ABC WAREMME B,MM - DIVISION 2 A,
402062,2025-10-11,19:00,RBC STAVELOT A,ATLAS A JUPILLE B,MM - DIVISION 2 A,
402075,2025-10-19,13:00,ATLAS A JUPILLE B,BC VERVIERS B,MM - DIVISION 2 A,
402105,2025-11-07,20:30,ATLAS A JUPILLE B,RBC ALLEUR C,MM - DIVISION 2 A,
402116,2025-11-16,15:00,ROYAL BC WANZE B,ATLAS A JUPILLE B,MM - DIVISION 2 A,
402125,2025-11-21,20:30,ATLAS A JUPILLE B,FLERON BBC A,MM - DIVISION 2 A,
402132,2025-11-29,17:00,BC SPRIMONT C,ATLAS A JUPILLE B,MM - DIVISION 2 A,
402143,2025-12-06,21:00,ROYAL SPA BC C,ATLAS A JUPILLE B,MM - DIVISION 2 A,
402153,2025-12-13,21:00,RBC AWANS A,ATLAS A JUPILLE B,MM - DIVISION 2 A,
402165,2025-12-21,13:00,ATLAS A JUPILLE B,HARIMALIA BC C,MM - DIVISION 2 A,
402184,2026-01-03,17:30,BC VERVIERS B,ATLAS A JUPILLE B,MM - DIVISION 2 A,
402195,2026-01-11,13:00,ATLAS A JUPILLE B,ESL UNITED E,MM - DIVISION 2 A,
402204,2026-01-17,19:00,BC BELLEFLAMME C,ATLAS A JUPILLE B,MM - DIVISION 2 A,
402215,2026-01-25,13:00,ATLAS A JUPILLE B,RBC VISE A,MM - DIVISION 2 A,
402221,2026-01-31,17:00,ABC WAREMME B,ATLAS A JUPILLE B,MM - DIVISION 2 A,
402245,2026-02-15,13:00,ATLAS A JUPILLE B,RBC STAVELOT A,MM - DIVISION 2 A,
402265,2026-03-01,13:00,ATLAS A JUPILLE B,ROYAL BC WANZE B,MM - DIVISION 2 A,
402277,2026-03-08,11:00,RBC ALLEUR C,ATLAS A JUPILLE B,MM - DIVISION 2 A,
402295,2026-03-22,13:00,ATLAS A JUPILLE B,ROYAL SPA BC C,MM - DIVISION 2 A,
402305,2026-03-29,13:00,ATLAS A JUPILLE B,BC SPRIMONT C,MM - DIVISION 2 A,
402315,2026-04-05,11:00,FLERON BBC A,ATLAS A JUPILLE B,MM - DIVISION 2 A,
402325,2026-04-12,13:00,ATLAS A JUPILLE B,RBC AWANS A,MM - DIVISION 2 A,
402331,2026-04-19,17:00,HARIMALIA BC C,ATLAS A JUPILLE B,MM - DIVISION 2 A,
406013,2025-09-05,20:30,ATLAS A JUPILLE C,RBC VISE C,MM - DIVISION 3 C,
406027,2025-09-12,19:00,RBC BLEGNY A,ATLAS A JUPILLE C,MM - DIVISION 3 C,
406056,2025-10-03,21:00,BC REVEIL A,ATLAS A JUPILLE C,MM - DIVISION 3 C,
406063,2025-10-10,20:30,ATLAS A JUPILLE C,BC COINTE C,MM - DIVISION 3 C,
406077,2025-10-18,21:00,ESL UNITED F,ATLAS A JUPILLE C,MM - DIVISION 3 C,
406032,2025-10-25,19:00,RBC STAVELOT B,ATLAS A JUPILLE C,MM - DIVISION 3 C,
