Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
417286,2024-03-09,17:00,RB UNION LIEGE,RBC 4A AYWAILLE,DD - DIVISION 3 B,
417294,2024-03-17,17:00,AVENIR JUPILLE B,RB UNION LIEGE,DD - DIVISION 3 B,
417306,2024-03-23,17:00,RB UNION LIEGE,ALL. FLEMALLE B,DD - DIVISION 3 B,
417322,2024-04-07,14:30,CRISTAL SERAING B,RB UNION LIEGE,DD - DIVISION 3 B,
417341,2024-04-20,19:00,R HT-PRE OUGREE B,RB UNION LIEGE,DD - DIVISION 3 B,
417356,2024-04-27,17:00,RB UNION LIEGE,RBC BLEGNY D,DD - DIVISION 3 B,
401294,2024-03-15,21:00,ETOILE JUPILLE A,RB UNION LIEGE A,MM - DIVISION 1,
401306,2024-03-23,19:00,RB UNION LIEGE A,UN HUY BASKET A,MM - DIVISION 1,
401286,2024-03-28,21:00,RB UNION LIEGE A,ATLAS A JUPILLE B,MM - DIVISION 1,
401322,2024-04-05,20:15,R.UN.BELLAIRE A,RB UNION LIEGE A,MM - DIVISION 1,
401202,2024-04-13,19:00,DISON-ANDRIMONT A,RB UNION LIEGE A,MM - DIVISION 1,
401341,2024-04-20,21:00,RB TILFF A,RB UNION LIEGE A,MM - DIVISION 1,
401356,2024-04-27,19:00,RB UNION LIEGE A,RSW LIEGE BASKET C,MM - DIVISION 1,
405286,2024-03-09,19:00,RB UNION LIEGE B,RBC 4A AYWAILLE A,MM - DIVISION 3 B,
405294,2024-03-16,21:00,AVENIR JUPILLE A,RB UNION LIEGE B,MM - DIVISION 3 B,
405306,2024-03-23,21:00,RB UNION LIEGE B,RBC WELKENRAEDT A,MM - DIVISION 3 B,
405322,2024-04-06,21:00,RBC STAVELOT B,RB UNION LIEGE B,MM - DIVISION 3 B,
405341,2024-04-21,11:30,BC ST VITH,RB UNION LIEGE B,MM - DIVISION 3 B,
405356,2024-04-27,21:00,RB UNION LIEGE B,RBC BLEGNY A,MM - DIVISION 3 B,
505301,2024-03-23,14:00,ESP. HAMOIR 96,RB UNION LIEGE,U 12 - MM F,
505346,2024-04-20,13:00,RB UNION LIEGE,RBC 4A AYWAILLE,U 12 - MM F,
602281,2024-03-09,15:00,RB UNION LIEGE,BC SPRIMONT,U 14 - DD A - Tour 2,
602232,2024-03-16,15:30,ALL. FLEMALLE,RB UNION LIEGE,U 14 - DD A - Tour 2,(Athenée Guy Lang)
602241,2024-03-24,11:00,RB UNION LIEGE,ROYAL BC WANZE,U 14 - DD A - Tour 2,(Salle Constitution)
602251,2024-04-06,13:00,RB UNION LIEGE,RBC ALLEUR,U 14 - DD A - Tour 2,(Salle Constitution)
602344,2024-04-21,9:00,BC SPRIMONT,RB UNION LIEGE,U 14 - DD A - Tour 2,
