Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
414207,2026-01-17,17:00,RBC STAVELOT,COLLEGE S LOUIS,DD - DIVISION 2 A,
414213,2026-01-25,17:00,ROYALE US AWANS,RBC STAVELOT,DD - DIVISION 2 A,
414222,2026-01-31,17:00,RBC STAVELOT,RBC DISON-ANDRIMONT A,DD - DIVISION 2 A,
414182,2026-02-04,20:30,RBC STAVELOT,ATLAS A JUPILLE,DD - DIVISION 2 A,
414192,2026-02-07,21:00,LA VILLERSOISE A,RBC STAVELOT,DD - DIVISION 2 A,
414245,2026-02-15,12:00,ABC WAREMME A,RBC STAVELOT,DD - DIVISION 2 A,(Hall d'Oreye)
414275,2026-03-07,17:00,PRAYON TROOZ B,RBC STAVELOT,DD - DIVISION 2 A,
414291,2026-03-22,15:00,ALL. FLEMALLE A,RBC STAVELOT,DD - DIVISION 2 A,
414302,2026-03-28,17:00,RBC STAVELOT,RBC HANEFFE B,DD - DIVISION 2 A,
414317,2026-04-03,21:00,RBC BLEGNY B,RBC STAVELOT,DD - DIVISION 2 A,
414322,2026-04-11,17:00,RBC STAVELOT,ROYAL BC NINANE A,DD - DIVISION 2 A,
414332,2026-04-18,19:00,BC SPRIMONT B,RBC STAVELOT,DD - DIVISION 2 A,
402207,2026-01-17,19:00,RBC VISE A,RBC STAVELOT A,MM - DIVISION 2 A,
402222,2026-01-31,19:00,RBC STAVELOT A,BC VERVIERS B,MM - DIVISION 2 A,
402192,2026-02-07,19:00,ABC WAREMME B,RBC STAVELOT A,MM - DIVISION 2 A,
402245,2026-02-14,21:00,ATLAS A JUPILLE B,RBC STAVELOT A,MM - DIVISION 2 A,
402262,2026-02-28,19:00,RBC STAVELOT A,RBC AWANS A,MM - DIVISION 2 A,
402275,2026-03-08,13:00,FLERON BBC A,RBC STAVELOT A,MM - DIVISION 2 A,
402032,2026-03-13,19:00,RBC STAVELOT A,ROYAL SPA BC C,MM - DIVISION 2 A,
402291,2026-03-22,17:00,HARIMALIA BC C,RBC STAVELOT A,MM - DIVISION 2 A,
402302,2026-03-28,19:00,RBC STAVELOT A,BC BELLEFLAMME C,MM - DIVISION 2 A,
402317,2026-04-05,11:00,RBC ALLEUR C,RBC STAVELOT A,MM - DIVISION 2 A,
402322,2026-04-12,09:30,RBC STAVELOT A,ESL UNITED E,MM - DIVISION 2 A,
402332,2026-04-18,17:00,BC SPRIMONT C,RBC STAVELOT A,MM - DIVISION 2 A,
406207,2026-01-17,19:00,RBC STAVELOT B,RBC BLEGNY A,MM - DIVISION 3 C,
406213,2026-01-25,15:00,ATLAS A JUPILLE C,RBC STAVELOT B,MM - DIVISION 3 C,
406222,2026-01-31,21:00,RBC STAVELOT B,BC COINTE C,MM - DIVISION 3 C,
406245,2026-02-15,17:00,CRISTAL SGH B,RBC STAVELOT B,MM - DIVISION 3 C,
406262,2026-02-28,17:00,RBC STAVELOT B,UN HUY BASKET A,MM - DIVISION 3 C,
406275,2026-03-07,21:00,R 4A AYWAILLE-HAMOIR B,RBC STAVELOT B,MM - DIVISION 3 C,
406192,2026-03-13,21:00,RBC STAVELOT B,RBC VISE C,MM - DIVISION 3 C,
406291,2026-03-21,17:00,RBC WELKENRAEDT A,RBC STAVELOT B,MM - DIVISION 3 C,
406302,2026-03-28,21:00,RBC STAVELOT B,BC SANKT VITH,MM - DIVISION 3 C,
406317,2026-04-04,17:00,ESL UNITED F,RBC STAVELOT B,MM - DIVISION 3 C,
406322,2026-04-11,21:00,RBC STAVELOT B,BBC EUPEN,MM - DIVISION 3 C,
406332,2026-04-19,11:00,THEUX BC B,RBC STAVELOT B,MM - DIVISION 3 C,
411207,2026-01-18,11:30,RBC STAVELOT C,RBC BLEGNY C,MM - DIVISION 4 E,
411213,2026-01-24,18:00,R.UN.BELLAIRE B,RBC STAVELOT C,MM - DIVISION 4 E,
411222,2026-02-01,11:30,RBC STAVELOT C,BC REVEIL B,MM - DIVISION 4 E,
411245,2026-02-06,20:30,R 4A AYWAILLE-HAMOIR D,RBC STAVELOT C,MM - DIVISION 4 E,
411262,2026-03-01,11:30,RBC STAVELOT C,AVENIR JUPILLE B,MM - DIVISION 4 E,
411275,2026-03-08,16:30,RBC AUBEL,RBC STAVELOT C,MM - DIVISION 4 E,
411291,2026-03-21,19:00,RBC WELKENRAEDT B,RBC STAVELOT C,MM - DIVISION 4 E,
411302,2026-03-29,11:30,RBC STAVELOT C,RB TILFF E,MM - DIVISION 4 E,
411317,2026-04-04,18:30,HENRI-CHAPELLE C,RBC STAVELOT C,MM - DIVISION 4 E,
411322,2026-04-11,19:00,RBC STAVELOT C,DF BC MALMEDY,MM - DIVISION 4 E,
411332,2026-04-18,20:00,RABC ENSIVAL C,RBC STAVELOT C,MM - DIVISION 4 E,
520206,2026-01-17,09:00,RBC STAVELOT A,HENRI-CHAPELLE A,U 10 - MM A,
520213,2026-01-24,11:30,BC BELLEFLAMME A,RBC STAVELOT A,U 10 - MM A,
520192,2026-02-14,11:00,ROYAL SPA BC C,RBC STAVELOT A,U 10 - MM A,
520262,2026-02-28,09:00,RBC STAVELOT A,ROYAL HERVE-BATTICE A,U 10 - MM A,
520275,2026-03-08,10:00,FLERON BBC,RBC STAVELOT A,U 10 - MM A,
520296,2026-03-21,10:45,ROYAL BC NINANE A,RBC STAVELOT A,U 10 - MM A,
520322,2026-04-11,09:00,RBC STAVELOT A,PEPINSTER EAST BELG D,U 10 - MM A,
520333,2026-04-18,10:00,RSW LIEGE BASKET,RBC STAVELOT A,U 10 - MM A,
524206,2026-01-17,10:30,RBC STAVELOT B,BBC EUPEN,U 10 - MM E,
524213,2026-01-24,13:00,DF BC MALMEDY,RBC STAVELOT B,U 10 - MM E,
524235,2026-02-07,11:00,CRISTAL SGH B,RBC STAVELOT B,U 10 - MM E,
524262,2026-02-28,10:30,RBC STAVELOT B,ROYAL HERVE-BATTICE D,U 10 - MM E,
524275,2026-03-08,14:30,RBC AUBEL A,RBC STAVELOT B,U 10 - MM E,
524296,2026-03-21,10:30,HENRI-CHAPELLE B,RBC STAVELOT B,U 10 - MM E,
524302,2026-03-28,10:30,RBC STAVELOT B,BC SANKT VITH,U 10 - MM E,
524322,2026-04-11,10:30,RBC STAVELOT B,THEUX BC B,U 10 - MM E,
610206,2026-01-17,12:30,RBC STAVELOT,R HT-PRE OUGREE,U 12 - DD,
610222,2026-01-31,12:30,RBC STAVELOT,RBC DISON-ANDRIMONT,U 12 - DD,
610235,2026-02-07,13:00,CRISTAL SGH,RBC STAVELOT,U 12 - DD,
610262,2026-02-28,12:30,RBC STAVELOT,ALL. FLEMALLE,U 12 - DD,
610302,2026-03-28,12:30,RBC STAVELOT,BC COINTE,U 12 - DD,
610213,2026-04-04,11:00,RBC AWANS,RBC STAVELOT,U 12 - DD,
610322,2026-04-11,12:30,RBC STAVELOT,RABC ENSIVAL,U 12 - DD,
610192,2026-04-18,13:00,ROYAL HERVE-BATTICE,RBC STAVELOT,U 12 - DD,
504206,2026-01-17,09:00,ROYAL BC NINANE B,RBC STAVELOT A,U 12 - MM E,
504222,2026-01-31,10:30,RBC STAVELOT A,BC BELLEFLAMME C,U 12 - MM E,
504235,2026-02-07,15:00,CRISTAL SGH C,RBC STAVELOT A,U 12 - MM E,
504262,2026-02-28,10:30,RBC STAVELOT A,HARIMALIA BC A,U 12 - MM E,
504275,2026-03-08,12:30,RBC AUBEL B,RBC STAVELOT A,U 12 - MM E,
504192,2026-03-14,10:30,RBC STAVELOT A,BBC EUPEN,U 12 - MM E,
504333,2026-04-04,13:00,DF BC MALMEDY,RBC STAVELOT A,U 12 - MM E,
504322,2026-04-11,10:30,RBC STAVELOT A,THEUX BC A,U 12 - MM E,
490206,2026-01-17,14:30,RBC STAVELOT,BBC EUPEN,U 14 - PROV MM A,
490222,2026-01-31,14:30,RBC STAVELOT,PRAYON TROOZ,U 14 - PROV MM A,
490235,2026-02-07,12:45,RBC BLEGNY A,RBC STAVELOT,U 14 - PROV MM A,
490262,2026-02-28,14:30,RBC STAVELOT,RBC WELKENRAEDT,U 14 - PROV MM A,
490296,2026-03-21,13:00,ATLAS A JUPILLE B,RBC STAVELOT,U 14 - PROV MM A,
490302,2026-03-29,09:30,RBC STAVELOT,BC SANKT VITH,U 14 - PROV MM A,
490333,2026-04-04,15:00,DF BC MALMEDY,RBC STAVELOT,U 14 - PROV MM A,
490322,2026-04-11,14:30,RBC STAVELOT,THEUX BC B,U 14 - PROV MM A,
471206,2026-01-18,11:00,ROYAL BC NINANE,RBC STAVELOT,U 16 - PROV MM B,
471213,2026-01-24,09:00,THEUX BC,RBC STAVELOT,U 16 - PROV MM B,
471262,2026-03-01,13:30,RBC STAVELOT,ROYAL SPA BC,U 16 - PROV MM B,
471275,2026-03-07,15:00,HANNUT BC,RBC STAVELOT,U 16 - PROV MM B,
471012,2026-03-14,14:30,RBC STAVELOT,ROYAL BC NINANE,U 16 - PROV MM B,
471296,2026-03-22,09:00,ROYAL BC WANZE,RBC STAVELOT,U 16 - PROV MM B,
471302,2026-03-29,13:30,RBC STAVELOT,PRAYON TROOZ A,U 16 - PROV MM B,
471322,2026-04-12,13:30,RBC STAVELOT,RBC BLEGNY,U 16 - PROV MM B,
471333,2026-04-19,17:00,HARIMALIA BC B,RBC STAVELOT,U 16 - PROV MM B,
440205,2026-01-18,09:30,RBC STAVELOT,RBC VISE B,U 18 - PROV MM,
440217,2026-01-24,14:30,RBC ALLEUR B,RBC STAVELOT,U 18 - PROV MM,
440225,2026-02-01,09:30,RBC STAVELOT,ALL. FLEMALLE B,U 18 - PROV MM,
440242,2026-02-14,15:00,RBC WELKENRAEDT,RBC STAVELOT,U 18 - PROV MM,
440266,2026-03-01,09:30,RBC STAVELOT,BBC EUPEN B,U 18 - PROV MM,
440035,2026-03-14,12:30,RBC STAVELOT,RBC ALLEUR B,U 18 - PROV MM,
440293,2026-03-21,16:30,BCM HERSTAL,RBC STAVELOT,U 18 - PROV MM,
440307,2026-03-28,14:30,RBC STAVELOT,ROYAL BC NINANE B,U 18 - PROV MM,
440315,2026-04-04,15:00,CRISTAL SGH C,RBC STAVELOT,U 18 - PROV MM,
440323,2026-04-12,11:30,RBC STAVELOT,ROYAL ANS BC B,U 18 - PROV MM,
540213,2026-01-24,10:30,R.UN.BELLAIRE,RBC STAVELOT,U 8 - MM A,
540235,2026-02-07,11:30,ROYAL MOSA AC 1941,RBC STAVELOT,U 8 - MM A,
540192,2026-02-14,16:30,RBC BLEGNY,RBC STAVELOT,U 8 - MM A,
540262,2026-02-28,09:00,RBC STAVELOT,ROYAL SPA BC A,U 8 - MM A,
540275,2026-03-08,11:00,RBC AUBEL,RBC STAVELOT,U 8 - MM A,
540062,2026-03-14,10:30,RBC STAVELOT,ROYAL MOSA AC 1941,U 8 - MM A,
540296,2026-03-21,10:45,ROYAL BC NINANE,RBC STAVELOT,U 8 - MM A,
540302,2026-03-28,09:00,RBC STAVELOT,RABC ENSIVAL,U 8 - MM A,
540322,2026-04-11,09:00,RBC STAVELOT,THEUX BC,U 8 - MM A,
540333,2026-04-18,10:00,RBC VISE B,RBC STAVELOT,U 8 - MM A,(Salle de Fourons)
