Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
AW203001,2025-08-24,17:00,ABC WAREMME,WEZEMBEEK OPPEM (+ 8),AW203001,
AW203008,2025-08-15,21:00,ETOILE JUPILLE (+ 5),ABC WAREMME,AW203008,
AW203011,2025-08-23,17:00,ABC WAREMME,ROYAL SPA BC,AW203011,
AW203014,2025-08-31,17:00,RSW LIEGE BASKET,ABC WAREMME (+ 8),AW203014,
AW203008,2025-08-15,21:00,ETOILE JUPILLE (+ 5),ABC WAREMME,AWBB MM - POULE C,AW203008
AW203011,2025-08-23,17:00,ABC WAREMME,ROYAL SPA BC,AWBB MM - POULE C,AW203011
AW203001,2025-08-24,17:00,ABC WAREMME,WEZEMBEEK OPPEM (+ 8),AWBB MM - POULE C,AW203001
AW203014,2025-08-31,17:00,RSW LIEGE BASKET,ABC WAREMME (+ 8),AWBB MM - POULE C,AW203014
AW245044,2025-09-27,10:45,REBOND OTTIGNIES A,ABC WAREMME,COUPE AWBB U12 -GARCONS,
760501,2025-08-23,17:00,ABC WAREMME C,UN HUY BASKET,CPE PROV DAMES,
760502,2025-08-23,19:00,ABC WAREMME A,ROYALE US AWANS,CPE PROV DAMES,
760005,2025-08-09,20:00,ABC WAREMME C (+ 5),BC SPRIMONT D,CPE PROV MESSIEURS,
760058,2025-08-30,17:00,ABC WAREMME B,FLERON BBC A,CPE PROV MESSIEURS,
764114,2025-08-30,15:00,ROYAL SPA BC,ABC WAREMME,CPE PROV PUPILLES MM,
414015,2025-09-06,21:00,ABC WAREMME A,RBC HANEFFE B,DD - DIVISION 2 A,
414026,2025-09-14,17:00,ROYAL BC NINANE A,ABC WAREMME A,DD - DIVISION 2 A,
414037,2025-09-20,19:00,COLLEGE S LOUIS,ABC WAREMME A,DD - DIVISION 2 A,
414055,2025-10-04,18:00,ABC WAREMME A,LA VILLERSOISE A,DD - DIVISION 2 A,
414062,2025-10-11,17:00,RBC STAVELOT,ABC WAREMME A,DD - DIVISION 2 A,
414075,2025-10-18,18:00,ABC WAREMME A,RBC DISON-ANDRIMONT A,DD - DIVISION 2 A,
414105,2025-11-08,17:30,ABC WAREMME A,RBC BLEGNY B,DD - DIVISION 2 A,
414116,2025-11-15,19:00,ATLAS A JUPILLE,ABC WAREMME A,DD - DIVISION 2 A,
414125,2025-11-22,19:00,ABC WAREMME A,PRAYON TROOZ B,DD - DIVISION 2 A,
414132,2025-11-29,19:00,BC SPRIMONT B,ABC WAREMME A,DD - DIVISION 2 A,
414143,2025-12-07,17:00,ROYALE US AWANS,ABC WAREMME A,DD - DIVISION 2 A,
414153,2025-12-14,17:00,AVENIR JUPILLE A,ABC WAREMME A,DD - DIVISION 2 A,
414165,2025-12-20,17:00,ABC WAREMME A,ALL. FLEMALLE A,DD - DIVISION 2 A,
414184,2026-01-04,16:00,RBC DISON-ANDRIMONT A,ABC WAREMME A,DD - DIVISION 2 A,
414195,2026-01-10,18:00,ABC WAREMME A,ROYAL BC NINANE A,DD - DIVISION 2 A,
414204,2026-01-18,12:00,RBC HANEFFE B,ABC WAREMME A,DD - DIVISION 2 A,
414215,2026-01-24,18:00,ABC WAREMME A,COLLEGE S LOUIS,DD - DIVISION 2 A,
414221,2026-02-01,13:00,LA VILLERSOISE A,ABC WAREMME A,DD - DIVISION 2 A,
414245,2026-02-15,12:00,ABC WAREMME A,RBC STAVELOT,DD - DIVISION 2 A,(Hall d'Oreye)
