Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
AW254046,2024-09-28,10:30,HENRI-CHAPELLE,BC SPRIMONT A,COUPE AWBB BENJAMINS,
149,2024-09-29,15:00,BB GEMBLOUX,BC SPRIMONT,COUPE AWBB MESSIEURS,
AW256013,2024-09-28,13:00,LA VILLERSOISE,BC SPRIMONT,COUPE AWBB MINIMES DD,
AW252110,2024-09-29,10:00,BC SPRIMONT A,WEZEMBEEK OPPEM,COUPE AWBB MINIMES MM,
AW252098,2024-09-29,12:00,BC SPRIMONT B,NEXTGEN ACADEMY B,COUPE AWBB MINIMES MM,
AW253043,2024-09-29,14:00,BC SPRIMONT A,ATLAS A JUPILLE,COUPE AWBB PUPILLES MM,
762107,2024-09-29,12:00,BC SPRIMONT,HENRI-CHAPELLE,CPE PROV CADETS,
760541,2024-09-29,10:00,RBC HANEFFE B,BC SPRIMONT B,CPE PROV DAMES,
760533,2024-09-29,16:00,BC SPRIMONT C,ROYAL BC WANZE,CPE PROV DAMES,
414044,2024-09-21,17:00,AVENIR JUPILLE A,BC SPRIMONT B,DD - DIVISION 2 A,
414066,2024-10-05,17:00,ATLAS A JUPILLE B,BC SPRIMONT B,DD - DIVISION 2 A,
414082,2024-10-20,13:00,HENRI-CHAPELLE B,BC SPRIMONT B,DD - DIVISION 2 A,
414031,2024-11-02,19:00,BC SPRIMONT B,RBC HANEFFE B,DD - DIVISION 2 A,
414111,2024-11-10,09:00,BC SPRIMONT B,RBC ALLEUR D,DD - DIVISION 2 A,
414123,2024-11-17,17:00,CRISTAL SERAING A,BC SPRIMONT B,DD - DIVISION 2 A,
414131,2024-11-24,17:00,BC SPRIMONT B,VAIL. JUPILLE,DD - DIVISION 2 A,
414156,2024-12-08,13:00,ALL. FLEMALLE A,BC SPRIMONT B,DD - DIVISION 2 A,
414165,2024-12-15,10:00,HANNUT BC,BC SPRIMONT B,DD - DIVISION 2 A,
414171,2024-12-22,11:00,BC SPRIMONT B,ABC WAREMME A,DD - DIVISION 2 A,
414191,2025-01-05,09:00,BC SPRIMONT B,ATLAS A JUPILLE B,DD - DIVISION 2 A,
414203,2025-01-12,14:00,RBC HANEFFE B,BC SPRIMONT B,DD - DIVISION 2 A,
414211,2025-01-19,11:00,BC SPRIMONT B,AVENIR JUPILLE A,DD - DIVISION 2 A,
414251,2025-02-16,15:00,BC SPRIMONT B,HENRI-CHAPELLE B,DD - DIVISION 2 A,
414261,2025-02-22,19:00,BC SPRIMONT B,MAIL. COMBLAIN,DD - DIVISION 2 A,
414287,2025-03-09,11:00,RBC ALLEUR D,BC SPRIMONT B,DD - DIVISION 2 A,
414301,2025-03-16,17:00,BC SPRIMONT B,CRISTAL SERAING A,DD - DIVISION 2 A,
414311,2025-03-30,18:00,BC SPRIMONT B,ALL. FLEMALLE A,DD - DIVISION 2 A,
414327,2025-04-05,20:00,ABC WAREMME A,BC SPRIMONT B,DD - DIVISION 2 A,
414331,2025-04-13,15:00,BC SPRIMONT B,HANNUT BC,DD - DIVISION 2 A,
414344,2025-04-19,20:30,VAIL. JUPILLE,BC SPRIMONT B,DD - DIVISION 2 A,
418033,2024-09-15,11:45,ROYAL BASKET OTHEE,BC SPRIMONT C,DD - DIVISION 3 C,
418041,2024-09-21,21:00,BC SPRIMONT C,ROYAL BC NINANE B,DD - DIVISION 3 C,
418071,2024-10-13,16:30,CS OUTREMEUSE,BC SPRIMONT C,DD - DIVISION 3 C,
418151,2024-11-02,17:00,BC SPRIMONT C,RBC HANEFFE D,DD - DIVISION 3 C,
418121,2024-11-16,21:00,BC SPRIMONT C,R HT-PRE OUGREE B,DD - DIVISION 3 C,
418136,2024-11-24,13:00,ALL. FLEMALLE C,BC SPRIMONT C,DD - DIVISION 3 C,
418161,2024-12-14,21:00,BC SPRIMONT C,RBC AWANS B,DD - DIVISION 3 C,
418177,2024-12-21,17:00,ROYAL HERVE-BATTICE C,BC SPRIMONT C,DD - DIVISION 3 C,
418201,2025-01-11,21:00,BC SPRIMONT C,ROYAL BASKET OTHEE,DD - DIVISION 3 C,
418214,2025-01-18,19:00,ROYAL BC NINANE B,BC SPRIMONT C,DD - DIVISION 3 C,
418241,2025-02-08,21:00,BC SPRIMONT C,CS OUTREMEUSE,DD - DIVISION 3 C,
418262,2025-02-22,20:00,ABC WAREMME C,BC SPRIMONT C,DD - DIVISION 3 C,
418335,2025-03-08,17:00,RBC AWANS B,BC SPRIMONT C,DD - DIVISION 3 C,
418303,2025-03-22,19:00,R HT-PRE OUGREE B,BC SPRIMONT C,DD - DIVISION 3 C,
418312,2025-03-30,12:00,RBC HANEFFE D,BC SPRIMONT C,DD - DIVISION 3 C,
418321,2025-04-05,21:00,BC SPRIMONT C,ROYAL HERVE-BATTICE C,DD - DIVISION 3 C,
418341,2025-04-19,21:00,BC SPRIMONT C,ALL. FLEMALLE C,DD - DIVISION 3 C,
AW106010,2024-09-14,18:00,BBC LIBRAMONT,BC SPRIMONT A,DD - REGIONALE 2 B,
AW106015,2024-09-21,21:00,BC SPRIMONT A,LADIES CHARLEROI C,DD - REGIONALE 2 B,
AW106029,2024-10-05,19:00,BC SPRIMONT A,PRAYON TROOZ A,DD - REGIONALE 2 B,
AW106036,2024-10-12,18:00,BCCA NEUFCHATEAU,BC SPRIMONT A,DD - REGIONALE 2 B,
AW106043,2024-10-19,21:00,BC SPRIMONT A,NAMUR CAPITALE C,DD - REGIONALE 2 B,
AW106053,2024-11-10,11:15,ROYAL BC CINEY,BC SPRIMONT A,DD - REGIONALE 2 B,
AW106057,2024-11-16,21:00,BC SPRIMONT A,BC LA RULLES,DD - REGIONALE 2 B,
AW106069,2024-11-23,20:00,REBOND OTTIGNIES B,BC SPRIMONT A,DD - REGIONALE 2 B,
AW106071,2024-12-08,13:00,BC SPRIMONT A,BC BONINNE C,DD - REGIONALE 2 B,
AW106085,2024-12-14,21:00,BC SPRIMONT A,CFB FLEURUS-CAMPINAIRE,DD - REGIONALE 2 B,
AW106084,2024-12-21,20:30,RBC ALLEUR B,BC SPRIMONT A,DD - REGIONALE 2 B,
AW106099,2025-01-11,19:00,BC SPRIMONT A,BBC LIBRAMONT,DD - REGIONALE 2 B,
AW106109,2025-01-18,20:15,LADIES CHARLEROI C,BC SPRIMONT A,DD - REGIONALE 2 B,
AW106113,2025-01-25,21:00,BC SPRIMONT A,CASTORS BRAINE C,DD - REGIONALE 2 B,
AW106127,2025-02-08,21:00,BC SPRIMONT A,BCCA NEUFCHATEAU,DD - REGIONALE 2 B,
AW106140,2025-02-16,15:00,NAMUR CAPITALE C,BC SPRIMONT A,DD - REGIONALE 2 B,
AW106093,2025-02-23,12:00,RBC ESNEUX A,BC SPRIMONT A,DD - REGIONALE 2 B,
AW106141,2025-03-08,19:00,BC SPRIMONT A,ROYAL BC CINEY,DD - REGIONALE 2 B,
AW106150,2025-03-16,11:00,BC LA RULLES,BC SPRIMONT A,DD - REGIONALE 2 B,
AW106125,2025-03-22,19:00,PRAYON TROOZ A,BC SPRIMONT A,DD - REGIONALE 2 B,
AW106163,2025-03-29,20:00,BC BONINNE C,BC SPRIMONT A,DD - REGIONALE 2 B,
AW106169,2025-04-05,21:00,BC SPRIMONT A,RBC ALLEUR B,DD - REGIONALE 2 B,
AW106180,2025-04-11,20:45,CFB FLEURUS-CAMPINAIRE,BC SPRIMONT A,DD - REGIONALE 2 B,
AW106155,2025-04-27,11:00,BC SPRIMONT A,REBOND OTTIGNIES B,DD - REGIONALE 2 B,
406033,2024-09-14,19:00,HARIMALIA BC D,BC SPRIMONT C,MM - DIVISION 3 C,
406041,2024-09-21,17:00,BC SPRIMONT C,VAIL. JUPILLE B,MM - DIVISION 3 C,
406061,2024-10-05,17:00,BC SPRIMONT C,R 4A AYWAILLE-HAMOIR A,MM - DIVISION 3 C,
406071,2024-10-13,11:00,R REN. MONTEGNEE A,BC SPRIMONT C,MM - DIVISION 3 C,
406081,2024-10-19,17:00,BC SPRIMONT C,BC VERLAINE A,MM - DIVISION 3 C,
