Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
760082,2024-09-28,17:00,BC VERVIERS C,VAIL. JUPILLE A,CPE PROV MESSIEURS,
763119,2024-09-28,13:00,VAIL. JUPILLE,ROYAL BC NINANE,CPE PROV MINIMES MM,
414063,2024-10-06,17:00,CRISTAL SERAING A,VAIL. JUPILLE,DD - DIVISION 2 A,
414075,2024-10-13,10:00,HANNUT BC,VAIL. JUPILLE,DD - DIVISION 2 A,
414084,2024-10-20,14:00,VAIL. JUPILLE,ALL. FLEMALLE A,DD - DIVISION 2 A,
414117,2024-11-09,20:00,ABC WAREMME A,VAIL. JUPILLE,DD - DIVISION 2 A,
414124,2024-11-16,20:30,VAIL. JUPILLE,MAIL. COMBLAIN,DD - DIVISION 2 A,
414131,2024-11-24,17:00,BC SPRIMONT B,VAIL. JUPILLE,DD - DIVISION 2 A,
414154,2024-12-07,20:30,VAIL. JUPILLE,RBC HANEFFE B,DD - DIVISION 2 A,
414164,2024-12-15,12:00,VAIL. JUPILLE,RBC ALLEUR D,DD - DIVISION 2 A,
414174,2024-12-21,19:00,AVENIR JUPILLE A,VAIL. JUPILLE,DD - DIVISION 2 A,
414194,2025-01-04,20:30,VAIL. JUPILLE,CRISTAL SERAING A,DD - DIVISION 2 A,
414206,2025-01-12,13:00,ATLAS A JUPILLE B,VAIL. JUPILLE,DD - DIVISION 2 A,
414222,2025-01-26,11:00,HENRI-CHAPELLE B,VAIL. JUPILLE,DD - DIVISION 2 A,
414244,2025-02-08,20:30,VAIL. JUPILLE,HANNUT BC,DD - DIVISION 2 A,
414256,2025-02-16,13:00,ALL. FLEMALLE A,VAIL. JUPILLE,DD - DIVISION 2 A,
414284,2025-03-08,20:30,VAIL. JUPILLE,ABC WAREMME A,DD - DIVISION 2 A,
414302,2025-03-16,11:30,MAIL. COMBLAIN,VAIL. JUPILLE,DD - DIVISION 2 A,
414313,2025-03-30,14:00,RBC HANEFFE B,VAIL. JUPILLE,DD - DIVISION 2 A,
414324,2025-04-05,20:30,VAIL. JUPILLE,AVENIR JUPILLE A,DD - DIVISION 2 A,
414337,2025-04-12,18:30,RBC ALLEUR D,VAIL. JUPILLE,DD - DIVISION 2 A,
414344,2025-04-19,20:30,VAIL. JUPILLE,BC SPRIMONT B,DD - DIVISION 2 A,
405063,2024-10-06,12:00,BC BELLEFLAMME E,VAIL. JUPILLE A,MM - DIVISION 3 B,
405075,2024-10-11,19:00,ATLAS A JUPILLE C,VAIL. JUPILLE A,MM - DIVISION 3 B,
405084,2024-10-19,18:30,VAIL. JUPILLE A,ALL. FLEMALLE B,MM - DIVISION 3 B,
405117,2024-11-09,17:00,RABC ENSIVAL B,VAIL. JUPILLE A,MM - DIVISION 3 B,
405124,2024-11-16,18:30,VAIL. JUPILLE A,RBC BLEGNY A,MM - DIVISION 3 B,
405131,2024-11-23,18:30,HENRI-CHAPELLE B,VAIL. JUPILLE A,MM - DIVISION 3 B,
405154,2024-12-07,18:30,VAIL. JUPILLE A,BC COINTE C,MM - DIVISION 3 B,
405164,2024-12-14,18:30,VAIL. JUPILLE A,ROYAL SPA BC B,MM - DIVISION 3 B,
405174,2024-12-21,17:00,RBC DISON-ANDRIMONT B,VAIL. JUPILLE A,MM - DIVISION 3 B,
405194,2025-01-04,18:30,VAIL. JUPILLE A,BC BELLEFLAMME E,MM - DIVISION 3 B,
405206,2025-01-11,17:00,LA VILLERSOISE B,VAIL. JUPILLE A,MM - DIVISION 3 B,
405214,2025-01-18,18:30,VAIL. JUPILLE A,RBC WELKENRAEDT A,MM - DIVISION 3 B,
405222,2025-01-26,15:00,ROYAL BC WANZE B,VAIL. JUPILLE A,MM - DIVISION 3 B,
405244,2025-02-08,18:30,VAIL. JUPILLE A,ATLAS A JUPILLE C,MM - DIVISION 3 B,
405256,2025-02-15,21:00,ALL. FLEMALLE B,VAIL. JUPILLE A,MM - DIVISION 3 B,
405264,2025-02-22,18:30,VAIL. JUPILLE A,RBC CROATIA OUPEYE B,MM - DIVISION 3 B,
405337,2025-03-01,19:00,ROYAL SPA BC B,VAIL. JUPILLE A,MM - DIVISION 3 B,
405284,2025-03-09,12:00,VAIL. JUPILLE A,RABC ENSIVAL B,MM - DIVISION 3 B,
405302,2025-03-21,21:00,RBC BLEGNY A,VAIL. JUPILLE A,MM - DIVISION 3 B,
405313,2025-03-28,20:00,BC COINTE C,VAIL. JUPILLE A,MM - DIVISION 3 B,
405324,2025-04-05,18:30,VAIL. JUPILLE A,RBC DISON-ANDRIMONT B,MM - DIVISION 3 B,
405344,2025-04-19,18:30,VAIL. JUPILLE A,HENRI-CHAPELLE B,MM - DIVISION 3 B,
406063,2024-10-05,19:00,HARIMALIA BC D,VAIL. JUPILLE B,MM - DIVISION 3 C,
406075,2024-10-11,21:00,ESL UNITED F,VAIL. JUPILLE B,MM - DIVISION 3 C,
406117,2024-11-10,15:00,BC VERLAINE A,VAIL. JUPILLE B,MM - DIVISION 3 C,
406124,2024-11-17,10:00,VAIL. JUPILLE B,RBC BLEGNY B,MM - DIVISION 3 C,
406131,2024-11-24,11:00,R REN. MONTEGNEE A,VAIL. JUPILLE B,MM - DIVISION 3 C,
406154,2024-12-08,10:00,VAIL. JUPILLE B,BC SANKT VITH,MM - DIVISION 3 C,
406164,2024-12-15,10:00,VAIL. JUPILLE B,ROYAL SPA BC C,MM - DIVISION 3 C,
406174,2024-12-21,17:00,AVENIR JUPILLE A,VAIL. JUPILLE B,MM - DIVISION 3 C,
406194,2025-01-05,10:00,VAIL. JUPILLE B,HARIMALIA BC D,MM - DIVISION 3 C,
406206,2025-01-12,11:00,THEUX BC B,VAIL. JUPILLE B,MM - DIVISION 3 C,
406214,2025-01-19,10:00,VAIL. JUPILLE B,BC SPRIMONT C,MM - DIVISION 3 C,
406222,2025-01-25,17:00,ABC WAREMME B,VAIL. JUPILLE B,MM - DIVISION 3 C,
406244,2025-02-09,10:00,VAIL. JUPILLE B,ESL UNITED F,MM - DIVISION 3 C,
406256,2025-02-15,21:00,R 4A AYWAILLE-HAMOIR A,VAIL. JUPILLE B,MM - DIVISION 3 C,
406264,2025-02-23,10:00,VAIL. JUPILLE B,ROYALE US AWANS A,MM - DIVISION 3 C,
406337,2025-03-01,21:00,ROYAL SPA BC C,VAIL. JUPILLE B,MM - DIVISION 3 C,
406284,2025-03-09,10:00,VAIL. JUPILLE B,BC VERLAINE A,MM - DIVISION 3 C,
406084,2025-03-16,11:00,VAIL. JUPILLE B,R 4A AYWAILLE-HAMOIR A,MM - DIVISION 3 C,
406302,2025-03-21,19:00,RBC BLEGNY B,VAIL. JUPILLE B,MM - DIVISION 3 C,
406313,2025-03-28,21:00,BC SANKT VITH,VAIL. JUPILLE B,MM - DIVISION 3 C,
406324,2025-04-06,10:00,VAIL. JUPILLE B,AVENIR JUPILLE A,MM - DIVISION 3 C,
406344,2025-04-20,10:00,VAIL. JUPILLE B,R REN. MONTEGNEE A,MM - DIVISION 3 C,
407063,2024-10-05,19:00,BC COINTE D,VAIL. JUPILLE C,MM - DIVISION 4 A,
407075,2024-10-12,21:00,RBC VISE D,VAIL. JUPILLE C,MM - DIVISION 4 A,
407084,2024-10-20,12:00,VAIL. JUPILLE C,RB UNION LIEGE B,MM - DIVISION 4 A,
407117,2024-11-09,20:00,R.UN.BELLAIRE C,VAIL. JUPILLE C,MM - DIVISION 4 A,
407131,2024-11-24,15:00,RB TILFF D,VAIL. JUPILLE C,MM - DIVISION 4 A,
407337,2024-12-01,17:00,PEPINSTER EAST BELG D,VAIL. JUPILLE C,MM - DIVISION 4 A,
