Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
762131,2024-01-07,15:00,ROYAL SPA BC,ROYAL BC NINANE,CPE PROV U 18,
413194,2024-01-07,13:00,ROYAL SPA BC A,R.UN.BELLAIRE A,DD - DIVISION 1,
413204,2024-01-14,13:00,ROYAL SPA BC A,US AWANS,DD - DIVISION 1,
413217,2024-01-21,15:00,PEPINSTER EAST BELG B,ROYAL SPA BC A,DD - DIVISION 1,
413236,2024-02-03,18:00,RBC HANEFFE B,ROYAL SPA BC A,DD - DIVISION 1,
413244,2024-02-10,17:00,ROYAL SPA BC A,BC BELLEFLAMME B,DD - DIVISION 1,
413254,2024-02-17,17:00,ROYAL SPA BC A,RBC ALLEUR C,DD - DIVISION 1,
413262,2024-02-23,19:00,RABC ENSIVAL,ROYAL SPA BC A,DD - DIVISION 1,
413284,2024-03-10,11:00,ROYAL SPA BC A,RBC AUBEL,DD - DIVISION 1,
413292,2024-03-16,17:00,BC COINTE A,ROYAL SPA BC A,DD - DIVISION 1,
413304,2024-03-24,15:00,ROYAL SPA BC A,RBC BLEGNY A,DD - DIVISION 1,
413326,2024-04-06,19:00,R HT-PRE OUGREE A,ROYAL SPA BC A,DD - DIVISION 1,
413344,2024-04-13,17:00,ROYAL SPA BC A,COLLEGE S LOUIS,DD - DIVISION 1,
413353,2024-04-27,19:00,HERVE-BATTICE B,ROYAL SPA BC A,DD - DIVISION 1,
414204,2024-01-12,21:00,ROYAL SPA BC B,AVENIR JUPILLE A,DD - DIVISION 2 A,
414217,2024-01-21,11:00,HENRI-CHAPELLE A,ROYAL SPA BC B,DD - DIVISION 2 A,
414236,2024-02-04,15:00,BC VERLAINE A,ROYAL SPA BC B,DD - DIVISION 2 A,
414244,2024-02-09,21:00,ROYAL SPA BC B,ALL. FLEMALLE A,DD - DIVISION 2 A,
414254,2024-02-16,21:00,ROYAL SPA BC B,CRISTAL SERAING A,DD - DIVISION 2 A,
414262,2024-02-25,17:00,ROYAL BC NINANE A,ROYAL SPA BC B,DD - DIVISION 2 A,
414292,2024-03-16,19:00,DISON-ANDRIMONT A,ROYAL SPA BC B,DD - DIVISION 2 A,
414304,2024-03-22,21:00,ROYAL SPA BC B,RBC BLEGNY B,DD - DIVISION 2 A,
414326,2024-04-07,14:00,RBC ESNEUX B,ROYAL SPA BC B,DD - DIVISION 2 A,
