Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
415241,2024-01-27,21:00,RBC CROATIA OUPEYE,ABC WAREMME A,DD - DIVISION 2 B,
415233,2024-02-03,17:00,HERVE-BATTICE C,RBC CROATIA OUPEYE,DD - DIVISION 2 B,
415012,2024-02-09,21:00,ABC WAREMME A,RBC CROATIA OUPEYE,DD - DIVISION 2 B,
415044,2024-02-18,15:00,ROYAL ANS BC,RBC CROATIA OUPEYE,DD - DIVISION 2 B,
415265,2024-02-24,19:00,RBC VISE,RBC CROATIA OUPEYE,DD - DIVISION 2 B,
415291,2024-03-06,20:00,RBC CROATIA OUPEYE,BC VERLAINE B,DD - DIVISION 2 B,
415281,2024-03-09,19:00,MAIL. COMBLAIN,RBC CROATIA OUPEYE,DD - DIVISION 2 B,
415307,2024-03-24,13:00,HENRI-CHAPELLE B,RBC CROATIA OUPEYE,DD - DIVISION 2 B,
415321,2024-04-06,21:00,RBC CROATIA OUPEYE,RBC HANEFFE C,DD - DIVISION 2 B,
415344,2024-04-20,20:30,VAIL. JUPILLE,RBC CROATIA OUPEYE,DD - DIVISION 2 B,
403014,2024-01-27,19:00,RBC CROATIA OUPEYE A,LA VILLERSOISE A,MM - DIVISION 2 B,
403025,2024-02-03,19:00,RBC VISE A,RBC CROATIA OUPEYE A,MM - DIVISION 2 B,
403246,2024-02-11,15:00,LA VILLERSOISE A,RBC CROATIA OUPEYE A,MM - DIVISION 2 B,
403251,2024-02-17,19:00,ESNEUX S LOUIS UTD E,RBC CROATIA OUPEYE A,MM - DIVISION 2 B,(Collège Saint-Louis)
403052,2024-02-24,18:00,RBC STAVELOT A,RBC CROATIA OUPEYE A,MM - DIVISION 2 B,
403285,2024-03-09,19:00,ALL. FLEMALLE A,RBC CROATIA OUPEYE A,MM - DIVISION 2 B,(Athénée Guy Lang)
403087,2024-03-11,21:00,BC VERVIERS B,RBC CROATIA OUPEYE A,MM - DIVISION 2 B,
403294,2024-03-16,19:00,RBC CROATIA OUPEYE A,RSW LIEGE BASKET D,MM - DIVISION 2 B,
403144,2024-03-20,20:00,RBC CROATIA OUPEYE A,HERVE-BATTICE A,MM - DIVISION 2 B,
403301,2024-03-24,13:00,MAIL. COMBLAIN B,RBC CROATIA OUPEYE A,MM - DIVISION 2 B,
403324,2024-04-06,19:00,RBC CROATIA OUPEYE A,BC VERVIERS B,MM - DIVISION 2 B,
403124,2024-04-13,20:00,RBC CROATIA OUPEYE A,MAIL. COMBLAIN B,MM - DIVISION 2 B,
403342,2024-04-21,13:00,THEUX BC A,RBC CROATIA OUPEYE A,MM - DIVISION 2 B,
403354,2024-04-27,19:00,RBC CROATIA OUPEYE A,HARIMALIA BC A,MM - DIVISION 2 B,
409025,2024-02-03,21:00,RBC VISE C,RBC CROATIA OUPEYE B,MM - DIVISION 4 C,
409246,2024-02-11,11:00,RBC AUBEL C,RBC CROATIA OUPEYE B,MM - DIVISION 4 C,
409251,2024-02-17,21:00,PRAYON TROOZ B,RBC CROATIA OUPEYE B,MM - DIVISION 4 C,
409285,2024-03-10,17:00,ALL. FLEMALLE C,RBC CROATIA OUPEYE B,MM - DIVISION 4 C,
409294,2024-03-16,17:00,RBC CROATIA OUPEYE B,DF BC MALMEDY,MM - DIVISION 4 C,
409301,2024-03-24,11:00,HENRI-CHAPELLE C,RBC CROATIA OUPEYE B,MM - DIVISION 4 C,
409324,2024-04-06,17:00,RBC CROATIA OUPEYE B,BBC EUPEN,MM - DIVISION 4 C,
409342,2024-04-20,19:00,RBC STAVELOT C,RBC CROATIA OUPEYE B,MM - DIVISION 4 C,
409354,2024-04-27,21:00,RBC CROATIA OUPEYE B,RBC 4A AYWAILLE C,MM - DIVISION 4 C,
