Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
764150,2025-12-13,15:00,ORP JAUCHE,THEUX BC,CPE PROV PUPILLES MM,
417117,2025-11-15,17:00,ORP JAUCHE,GIANTS BRAIVES,DD - DIVISION 3 B,
417122,2025-11-23,11:45,ROYAL BASKET OTHEE,ORP JAUCHE,DD - DIVISION 3 B,
417167,2025-12-06,17:00,ORP JAUCHE,RBC HANEFFE D,DD - DIVISION 3 B,
417035,2025-12-10,18:45,REBOND NEUVILLE,ORP JAUCHE,DD - DIVISION 3 B,
417151,2025-12-14,13:00,ALL. FLEMALLE B,ORP JAUCHE,DD - DIVISION 3 B,
417202,2026-01-04,11:00,UN HUY BASKET C,ORP JAUCHE,DD - DIVISION 3 B,
417197,2026-01-10,17:00,ORP JAUCHE,RBC AWANS,DD - DIVISION 3 B,
417217,2026-01-24,19:00,ORP JAUCHE,REBOND NEUVILLE,DD - DIVISION 3 B,
417264,2026-02-28,17:00,GIANTS BRAIVES,ORP JAUCHE,DD - DIVISION 3 B,
417277,2026-03-07,17:00,ORP JAUCHE,BC VERLAINE B,DD - DIVISION 3 B,
417306,2026-03-28,19:00,R HT-PRE OUGREE B,ORP JAUCHE,DD - DIVISION 3 B,
417317,2026-04-04,19:00,ORP JAUCHE,ROYAL BASKET OTHEE,DD - DIVISION 3 B,
417327,2026-04-11,17:00,ORP JAUCHE,ALL. FLEMALLE B,DD - DIVISION 3 B,
417334,2026-04-19,14:00,RBC HANEFFE D,ORP JAUCHE,DD - DIVISION 3 B,
407111,2025-11-16,17:00,RBC VISE D,ORP JAUCHE A,MM - DIVISION 4 A,
407135,2025-11-30,13:30,ROYAL MOSA AC 1941 B,ORP JAUCHE A,MM - DIVISION 4 A,
407147,2025-12-06,21:00,ORP JAUCHE A,RBC HANEFFE C,MM - DIVISION 4 A,
407157,2025-12-13,17:00,ORP JAUCHE A,LA VILLERSOISE C,MM - DIVISION 4 A,
407187,2026-01-03,21:00,ORP JAUCHE A,THEUX BC C,MM - DIVISION 4 A,
407193,2026-01-10,17:00,VAIL. JUPILLE C,ORP JAUCHE A,MM - DIVISION 4 A,
407207,2026-01-17,17:00,ORP JAUCHE A,RSW LIEGE BASKET C,MM - DIVISION 4 A,
407215,2026-01-25,11:00,BC VERLAINE,ORP JAUCHE A,MM - DIVISION 4 A,
